# results from simulated data from project "project.tab"
# date: 2024-06-12T14:54:29-03:00
tree	node	age	pixels	farthest
triassic-slow-0	0	241293124	0.767241	0.178522
triassic-slow-0	1	151582112	0.029126	0.363281
triassic-slow-0	2	76032340	0.886792	0.055292
triassic-slow-0	4	15227712	0.970000	0.052546
triassic-slow-0	7	135154845	0.116071	0.328166
triassic-slow-0	9	80029250	0.185714	0.322981
triassic-slow-0	11	61915284	0.031008	0.473722
triassic-slow-0	13	7921325	0.870000	0.104870
triassic-slow-0	15	3671550	0.960000	0.071450
triassic-slow-0	18	185236210	0.587838	0.214343
triassic-slow-0	19	150413168	0.065421	0.475863
triassic-slow-0	21	18444427	0.960000	0.052501
triassic-slow-0	24	183887367	0.608696	0.316631
triassic-slow-0	25	105735932	0.568807	0.177954
triassic-slow-0	27	86656620	0.743119	0.210676
triassic-slow-0	28	14772686	1.000000	0.000000
triassic-slow-0	30	11723290	0.980000	0.052005
triassic-slow-0	33	64540973	0.873134	0.060446
triassic-slow-0	35	14217318	0.970000	0.098297
triassic-slow-0	36	13487125	0.960000	0.084684
triassic-slow-0	39	5256655	0.960000	0.088499
triassic-slow-0	42	152358660	0.009009	0.484600
triassic-slow-0	43	82026584	0.118182	0.259489
triassic-slow-0	44	21016119	0.858491	0.092922
triassic-slow-0	47	72905758	0.500000	0.334839
triassic-slow-0	49	43277226	0.028846	0.354260
triassic-slow-0	51	33965242	0.181818	0.214254
triassic-slow-0	53	30181205	0.299065	0.161163
triassic-slow-0	56	149058666	0.009009	0.484600
triassic-slow-0	57	96065217	0.512397	0.307266
triassic-slow-0	59	73174620	0.842593	0.167504
triassic-slow-0	61	15494132	0.980000	0.052546
triassic-slow-0	64	145719038	0.000000	0.522659
triassic-slow-0	65	131396777	0.147826	0.346578
triassic-slow-0	67	118724556	0.017857	0.368038
triassic-slow-0	69	107641469	0.042735	0.369850
triassic-slow-0	70	20238	0.950000	0.103114
triassic-slow-0	73	104555571	0.000000	0.329609
triassic-slow-0	74	86821643	0.541667	0.209441
triassic-slow-0	76	58276462	0.980583	0.052501
triassic-slow-0	78	20255573	1.000000	0.000000
triassic-slow-0	81	83559497	0.158333	0.314429
triassic-slow-0	82	36463947	0.923810	0.052801
triassic-slow-0	85	38765422	0.970000	0.056224
triassic-slow-0	86	1969638	0.990000	0.052005
triassic-slow-0	89	16329493	0.990000	0.052171
triassic-slow-0	91	8926485	0.980000	0.089985
triassic-slow-0	94	75708428	0.925926	0.052459
triassic-slow-0	95	17256897	0.960396	0.053344
triassic-slow-0	98	74112508	0.910000	0.052546
triassic-slow-0	99	67541207	0.918182	0.055318
triassic-slow-0	101	49948158	0.980000	0.052171
triassic-slow-0	102	49632897	0.980000	0.052171
triassic-slow-0	104	9401551	0.960000	0.052801
triassic-slow-0	107	14960952	0.910000	0.106970
triassic-slow-0	109	4815863	0.990000	0.052005
triassic-slow-0	112	70393546	0.989130	0.052459
triassic-slow-0	113	37308540	1.000000	0.000000
triassic-slow-0	116	69516171	0.967213	0.052459
triassic-slow-0	117	67876076	0.948276	0.052546
triassic-slow-0	119	29257507	1.000000	0.000000
triassic-slow-0	122	64558195	0.909091	0.052546
triassic-slow-0	123	2426791	0.960000	0.128681
triassic-slow-0	126	56614542	0.945312	0.104889
triassic-slow-0	128	32717675	0.960000	0.062117
triassic-slow-1	0	225454935	0.981132	0.052401
triassic-slow-1	1	193552447	1.000000	0.000000
triassic-slow-1	2	117960914	1.000000	0.000000
