# results from simulated data from project "project.tab"
# date: 2024-06-11T17:40:23-03:00
tree	terms	rootAge	lambda	ml-lambda
triassic-slow-0	66	241.293	718.743668	909.082031
triassic-slow-1	77	225.455	155.624829	277.734375
triassic-slow-10	59	212.448	995.007881	1572.656250
triassic-slow-11	89	222.146	480.070273	666.894531
triassic-slow-12	58	220.388	533.232958	572.167969
triassic-slow-13	69	201.051	150.068092	275.781250
triassic-slow-14	75	210.149	730.549871	401.757812
triassic-slow-15	77	245.085	527.131588	987.207031
triassic-slow-16	96	231.035	678.561566	982.324219
triassic-slow-17	63	237.734	880.957011	332.421875
triassic-slow-18	73	218.902	293.192654	536.035156
triassic-slow-19	56	219.160	677.688592	429.101562
triassic-slow-2	75	204.381	924.872641	988.183594
triassic-slow-20	77	234.420	804.823191	895.410156
triassic-slow-21	57	234.373	267.210818	257.226562
triassic-slow-22	51	245.295	282.651182	350.488281
triassic-slow-23	59	219.232	735.006485	985.253906
triassic-slow-24	92	224.592	591.255169	503.320312
triassic-slow-25	64	219.276	391.762372	238.671875
triassic-slow-26	64	215.165	796.261408	721.093750
triassic-slow-27	73	242.323	509.631650	313.378906
triassic-slow-28	72	234.303	319.738125	272.851562
triassic-slow-29	55	210.242	332.627275	371.484375
triassic-slow-3	50	202.419	887.044222	1156.152344
triassic-slow-30	86	224.941	223.510875	228.417969
triassic-slow-31	89	221.524	998.634185	1123.925781
triassic-slow-32	70	248.863	414.497672	662.011719
triassic-slow-33	64	230.763	731.234665	866.601562
triassic-slow-34	86	214.364	767.609042	1016.503906
triassic-slow-35	79	210.052	238.613414	374.414062
triassic-slow-36	69	242.696	515.353780	680.566406
triassic-slow-37	57	209.338	239.436571	302.148438
triassic-slow-38	65	228.300	734.869628	828.515625
triassic-slow-39	53	206.713	295.431481	326.562500
triassic-slow-4	78	227.386	272.586124	333.886719
triassic-slow-40	54	213.735	919.016915	1162.500000
triassic-slow-41	62	208.976	524.404942	904.687500
triassic-slow-42	73	239.116	252.094794	405.664062
triassic-slow-43	61	245.404	567.679484	612.207031
triassic-slow-44	59	244.425	920.565141	911.523438
triassic-slow-45	74	240.121	528.814038	444.726562
triassic-slow-46	60	235.931	596.978388	337.792969
triassic-slow-47	56	212.237	634.591309	725.976562
triassic-slow-48	74	248.435	540.770477	498.437500
triassic-slow-49	57	234.575	671.607213	450.097656
triassic-slow-5	59	249.334	940.818790	752.343750
triassic-slow-6	61	235.931	614.565490	1131.250000
triassic-slow-7	56	244.553	667.849203	1135.644531
triassic-slow-8	51	209.437	648.521128	1065.820312
triassic-slow-9	85	213.481	733.202257	315.332031
