# simulated lambda of project "project.tab"
# date: 2024-05-27T21:24:37-03:00
tree	lambda
paleogene-avg-0	17.489943
paleogene-avg-1	53.110230
paleogene-avg-10	55.493254
paleogene-avg-11	39.668359
paleogene-avg-12	39.836620
paleogene-avg-13	78.564204
paleogene-avg-14	70.648552
paleogene-avg-15	93.513761
paleogene-avg-16	48.492575
paleogene-avg-17	14.652745
paleogene-avg-18	42.498296
paleogene-avg-19	88.747209
paleogene-avg-2	89.679623
paleogene-avg-20	31.390995
paleogene-avg-21	66.618415
paleogene-avg-22	22.530941
paleogene-avg-23	20.222308
paleogene-avg-24	57.035652
paleogene-avg-25	90.669867
paleogene-avg-26	14.827432
paleogene-avg-27	82.072208
paleogene-avg-28	86.586683
paleogene-avg-29	31.869747
paleogene-avg-3	16.795200
paleogene-avg-30	85.428397
paleogene-avg-31	49.271170
paleogene-avg-32	93.711092
paleogene-avg-33	22.273073
paleogene-avg-34	96.363492
paleogene-avg-35	82.783705
paleogene-avg-36	41.882543
paleogene-avg-37	13.008520
paleogene-avg-38	18.784518
paleogene-avg-39	47.576212
paleogene-avg-4	21.807363
paleogene-avg-40	66.835963
paleogene-avg-41	29.362335
paleogene-avg-42	79.907846
paleogene-avg-43	71.362544
paleogene-avg-44	58.762885
paleogene-avg-45	36.111842
paleogene-avg-46	71.902153
paleogene-avg-47	13.140845
paleogene-avg-48	79.703734
paleogene-avg-49	95.598429
paleogene-avg-5	55.248307
paleogene-avg-6	89.438573
paleogene-avg-7	17.538483
paleogene-avg-8	90.572345
paleogene-avg-9	84.325758
