# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:24:37-03:00
tree	node	parent	age	taxon
paleogene-avg-0	0	-1	52949969	
paleogene-avg-0	1	0	48010921	
paleogene-avg-0	2	1	36325410	
paleogene-avg-0	3	2	28033735	
paleogene-avg-0	4	3	0	Term60
paleogene-avg-0	5	3	0	Term61
paleogene-avg-0	6	2	20503932	
paleogene-avg-0	7	6	0	Term57
paleogene-avg-0	8	6	10553898	
paleogene-avg-0	9	8	0	Term58
paleogene-avg-0	10	8	0	Term59
paleogene-avg-0	11	1	30372771	
paleogene-avg-0	12	11	22828374	
paleogene-avg-0	13	12	0	Term62
paleogene-avg-0	14	12	10906104	
paleogene-avg-0	15	14	3278573	
paleogene-avg-0	16	15	0	Term63
paleogene-avg-0	17	15	0	Term64
paleogene-avg-0	18	14	755475	
paleogene-avg-0	19	18	0	Term65
paleogene-avg-0	20	18	0	Term66
paleogene-avg-0	21	11	27268911	
paleogene-avg-0	22	21	25850282	
paleogene-avg-0	23	22	192767	
paleogene-avg-0	24	23	0	Term67
paleogene-avg-0	25	23	0	Term68
paleogene-avg-0	26	22	12935253	
paleogene-avg-0	27	26	0	Term69
paleogene-avg-0	28	26	6506544	
paleogene-avg-0	29	28	0	Term70
paleogene-avg-0	30	28	0	Term71
paleogene-avg-0	31	21	5661206	
paleogene-avg-0	32	31	3837249	
paleogene-avg-0	33	32	0	Term75
paleogene-avg-0	34	32	0	Term76
paleogene-avg-0	35	31	2173584	
paleogene-avg-0	36	35	0	Term72
paleogene-avg-0	37	35	1588254	
paleogene-avg-0	38	37	0	Term73
paleogene-avg-0	39	37	0	Term74
paleogene-avg-0	40	0	41824698	
paleogene-avg-0	41	40	32013117	
paleogene-avg-0	42	41	4040445	
paleogene-avg-0	43	42	0	Term2
paleogene-avg-0	44	42	1602633	
paleogene-avg-0	45	44	0	Term0
paleogene-avg-0	46	44	0	Term1
paleogene-avg-0	47	41	25799897	
paleogene-avg-0	48	47	998423	
paleogene-avg-0	49	48	0	Term26
paleogene-avg-0	50	48	0	Term27
paleogene-avg-0	51	47	21505381	
paleogene-avg-0	52	51	18444786	
paleogene-avg-0	53	52	0	Term20
paleogene-avg-0	54	52	6533491	
paleogene-avg-0	55	54	0	Term21
paleogene-avg-0	56	54	5947956	
paleogene-avg-0	57	56	4342054	
paleogene-avg-0	58	57	0	Term24
paleogene-avg-0	59	57	0	Term25
paleogene-avg-0	60	56	2428730	
paleogene-avg-0	61	60	0	Term22
paleogene-avg-0	62	60	0	Term23
paleogene-avg-0	63	51	20657311	
paleogene-avg-0	64	63	17817094	
paleogene-avg-0	65	64	0	Term3
paleogene-avg-0	66	64	14122083	
paleogene-avg-0	67	66	7828188	
paleogene-avg-0	68	67	0	Term10
paleogene-avg-0	69	67	0	Term9
paleogene-avg-0	70	66	9379404	
paleogene-avg-0	71	70	9197271	
paleogene-avg-0	72	71	0	Term4
paleogene-avg-0	73	71	0	Term5
paleogene-avg-0	74	70	2955442	
paleogene-avg-0	75	74	0	Term6
paleogene-avg-0	76	74	868133	
paleogene-avg-0	77	76	0	Term7
paleogene-avg-0	78	76	0	Term8
paleogene-avg-0	79	63	17440079	
paleogene-avg-0	80	79	13351603	
paleogene-avg-0	81	80	0	Term16
paleogene-avg-0	82	80	8267134	
paleogene-avg-0	83	82	0	Term19
paleogene-avg-0	84	82	6570455	
paleogene-avg-0	85	84	0	Term17
paleogene-avg-0	86	84	0	Term18
paleogene-avg-0	87	79	13879800	
paleogene-avg-0	88	87	0	Term11
paleogene-avg-0	89	87	11574908	
paleogene-avg-0	90	89	0	Term12
paleogene-avg-0	91	89	6346512	
paleogene-avg-0	92	91	0	Term13
paleogene-avg-0	93	91	6285107	
paleogene-avg-0	94	93	0	Term14
paleogene-avg-0	95	93	0	Term15
paleogene-avg-0	96	40	34183661	
paleogene-avg-0	97	96	29403608	
paleogene-avg-0	98	97	0	Term53
paleogene-avg-0	99	97	27882235	
paleogene-avg-0	100	99	0	Term54
paleogene-avg-0	101	99	368355	
paleogene-avg-0	102	101	0	Term55
paleogene-avg-0	103	101	0	Term56
paleogene-avg-0	104	96	29853161	
paleogene-avg-0	105	104	8214010	
paleogene-avg-0	106	105	8163926	
paleogene-avg-0	107	106	0	Term30
paleogene-avg-0	108	106	0	Term31
paleogene-avg-0	109	105	1811376	
paleogene-avg-0	110	109	0	Term28
paleogene-avg-0	111	109	0	Term29
paleogene-avg-0	112	104	23503565	
paleogene-avg-0	113	112	19098703	
paleogene-avg-0	114	113	5549991	
paleogene-avg-0	115	114	0	Term44
paleogene-avg-0	116	114	0	Term45
paleogene-avg-0	117	113	12693286	
paleogene-avg-0	118	117	3313205	
paleogene-avg-0	119	118	0	Term51
paleogene-avg-0	120	118	0	Term52
paleogene-avg-0	121	117	7639092	
paleogene-avg-0	122	121	3363374	
paleogene-avg-0	123	122	0	Term46
paleogene-avg-0	124	122	0	Term47
paleogene-avg-0	125	121	5215448	
paleogene-avg-0	126	125	0	Term50
paleogene-avg-0	127	125	4539012	
paleogene-avg-0	128	127	0	Term48
paleogene-avg-0	129	127	0	Term49
paleogene-avg-0	130	112	19828330	
paleogene-avg-0	131	130	17807131	
paleogene-avg-0	132	131	16489981	
paleogene-avg-0	133	132	0	Term38
paleogene-avg-0	134	132	0	Term39
paleogene-avg-0	135	131	16626272	
paleogene-avg-0	136	135	0	Term40
paleogene-avg-0	137	135	4655597	
paleogene-avg-0	138	137	0	Term43
paleogene-avg-0	139	137	280676	
paleogene-avg-0	140	139	0	Term41
paleogene-avg-0	141	139	0	Term42
paleogene-avg-0	142	130	14603044	
paleogene-avg-0	143	142	0	Term37
paleogene-avg-0	144	142	7930487	
paleogene-avg-0	145	144	3974984	
paleogene-avg-0	146	145	0	Term32
paleogene-avg-0	147	145	0	Term33
paleogene-avg-0	148	144	6706699	
paleogene-avg-0	149	148	0	Term34
paleogene-avg-0	150	148	2297930	
paleogene-avg-0	151	150	0	Term35
paleogene-avg-0	152	150	0	Term36
paleogene-avg-1	0	-1	40861091	
paleogene-avg-1	1	0	30057595	
paleogene-avg-1	2	1	7595560	
paleogene-avg-1	3	2	0	Term2
paleogene-avg-1	4	2	5802860	
paleogene-avg-1	5	4	0	Term0
paleogene-avg-1	6	4	0	Term1
paleogene-avg-1	7	1	29706299	
paleogene-avg-1	8	7	10797759	
paleogene-avg-1	9	8	0	Term3
paleogene-avg-1	10	8	0	Term4
paleogene-avg-1	11	7	21473946	
paleogene-avg-1	12	11	13453941	
paleogene-avg-1	13	12	9500237	
paleogene-avg-1	14	13	0	Term15
paleogene-avg-1	15	13	402315	
paleogene-avg-1	16	15	0	Term16
paleogene-avg-1	17	15	0	Term17
paleogene-avg-1	18	12	12577528	
paleogene-avg-1	19	18	12024159	
paleogene-avg-1	20	19	0	Term18
paleogene-avg-1	21	19	7692966	
paleogene-avg-1	22	21	0	Term19
paleogene-avg-1	23	21	0	Term20
paleogene-avg-1	24	18	2913118	
paleogene-avg-1	25	24	0	Term23
paleogene-avg-1	26	24	2825147	
paleogene-avg-1	27	26	0	Term21
paleogene-avg-1	28	26	0	Term22
paleogene-avg-1	29	11	11116067	
paleogene-avg-1	30	29	11090129	
paleogene-avg-1	31	30	5911089	
paleogene-avg-1	32	31	0	Term8
paleogene-avg-1	33	31	0	Term9
paleogene-avg-1	34	30	3803152	
paleogene-avg-1	35	34	0	Term7
paleogene-avg-1	36	34	1410065	
paleogene-avg-1	37	36	0	Term5
paleogene-avg-1	38	36	0	Term6
paleogene-avg-1	39	29	5410410	
paleogene-avg-1	40	39	0	Term10
paleogene-avg-1	41	39	5402282	
paleogene-avg-1	42	41	0	Term11
paleogene-avg-1	43	41	4277904	
paleogene-avg-1	44	43	0	Term12
paleogene-avg-1	45	43	3949568	
paleogene-avg-1	46	45	0	Term13
paleogene-avg-1	47	45	0	Term14
paleogene-avg-1	48	0	34739449	
paleogene-avg-1	49	48	23649512	
paleogene-avg-1	50	49	18690387	
