# simulated lambda of project "project.tab"
# date: 2024-05-27T21:26:40-03:00
tree	lambda
paleogene-fast-0	7.718874
paleogene-fast-1	7.095590
paleogene-fast-10	5.014883
paleogene-fast-11	1.996088
paleogene-fast-12	1.639296
paleogene-fast-13	4.561466
paleogene-fast-14	9.168874
paleogene-fast-15	2.564005
paleogene-fast-16	9.967935
paleogene-fast-17	2.983935
paleogene-fast-18	7.144269
paleogene-fast-19	9.315265
paleogene-fast-2	5.003973
paleogene-fast-20	9.298388
paleogene-fast-21	2.200512
paleogene-fast-22	5.680246
paleogene-fast-23	8.697944
paleogene-fast-24	2.062082
paleogene-fast-25	4.273435
paleogene-fast-26	6.658952
paleogene-fast-27	7.953231
paleogene-fast-28	7.647916
paleogene-fast-29	9.314856
paleogene-fast-3	5.574903
paleogene-fast-30	5.632372
paleogene-fast-31	2.534388
paleogene-fast-32	7.925896
paleogene-fast-33	8.327365
paleogene-fast-34	5.051706
paleogene-fast-35	4.947688
paleogene-fast-36	2.224579
paleogene-fast-37	9.840113
paleogene-fast-38	3.155215
paleogene-fast-39	9.367803
paleogene-fast-4	3.954221
paleogene-fast-40	9.480426
paleogene-fast-41	1.117006
paleogene-fast-42	5.472108
paleogene-fast-43	1.619842
paleogene-fast-44	6.226529
paleogene-fast-45	7.749828
paleogene-fast-46	3.179507
paleogene-fast-47	8.061433
paleogene-fast-48	8.289229
paleogene-fast-49	8.797992
paleogene-fast-5	3.885938
paleogene-fast-6	3.456527
paleogene-fast-7	8.957589
paleogene-fast-8	9.338531
paleogene-fast-9	3.351141
