# results from simulated data from project "project.tab"
# date: 2024-05-28T09:42:06-03:00
tree	node	age	pixels	farthest
cretaceous-avg-0	0	78532285	0.600000	0.127440
cretaceous-avg-0	1	70030742	0.100000	0.210965
cretaceous-avg-0	2	62566236	0.240000	0.137102
cretaceous-avg-0	3	21244035	1.000000	0.000000
cretaceous-avg-0	4	6577007	0.080000	0.287813
cretaceous-avg-0	7	17347491	0.760000	0.114141
cretaceous-avg-0	8	8288793	0.990000	0.052019
cretaceous-avg-0	11	1211564	0.840000	0.221631
cretaceous-avg-0	14	20627940	1.000000	0.000000
cretaceous-avg-0	16	3876372	0.900000	0.158442
cretaceous-avg-0	18	3111939	0.970000	0.052319
cretaceous-avg-0	20	2465157	0.900000	0.052319
cretaceous-avg-0	22	991520	0.980000	0.099316
cretaceous-avg-0	25	41649498	0.000000	0.682262
cretaceous-avg-0	26	35199476	0.000000	0.814087
cretaceous-avg-0	28	23323190	0.500000	0.105241
cretaceous-avg-0	30	5294612	1.000000	0.000000
cretaceous-avg-0	33	34455249	0.660000	0.080926
cretaceous-avg-0	35	25336226	0.510000	0.262212
cretaceous-avg-0	37	21888475	0.010000	0.518204
cretaceous-avg-0	39	18063139	0.280000	0.390683
cretaceous-avg-0	40	2833146	0.330000	0.183704
cretaceous-avg-0	43	4109713	1.000000	0.000000
cretaceous-avg-0	44	1866087	0.990000	0.077113
cretaceous-avg-0	47	1764176	1.000000	0.000000
cretaceous-avg-0	50	43325985	1.000000	0.000000
cretaceous-avg-0	51	42870458	1.000000	0.000000
cretaceous-avg-0	53	24702026	1.000000	0.000000
cretaceous-avg-0	54	18796117	0.950000	0.052801
cretaceous-avg-0	55	4560510	0.570000	0.258686
cretaceous-avg-0	58	16300877	0.940000	0.076885
cretaceous-avg-0	60	1685611	0.920000	0.180630
cretaceous-avg-0	63	21689114	1.000000	0.000000
cretaceous-avg-0	64	8733877	1.000000	0.000000
cretaceous-avg-0	66	7485533	0.960000	0.052844
cretaceous-avg-0	69	17737156	1.000000	0.000000
cretaceous-avg-0	71	15257992	1.000000	0.000000
cretaceous-avg-0	73	3801297	1.000000	0.000000
cretaceous-avg-0	76	37530485	1.000000	0.000000
cretaceous-avg-0	77	28694536	1.000000	0.000000
cretaceous-avg-0	79	25206787	1.000000	0.000000
cretaceous-avg-0	81	24739655	1.000000	0.000000
cretaceous-avg-0	82	8734841	1.000000	0.000000
cretaceous-avg-0	85	11332805	0.970000	0.063697
cretaceous-avg-0	87	11226022	0.970000	0.052529
cretaceous-avg-0	89	9024391	0.110000	0.331846
cretaceous-avg-0	92	30724765	1.000000	0.000000
cretaceous-avg-0	93	24762498	0.000000	0.506505
cretaceous-avg-0	95	9373840	0.880000	0.104072
cretaceous-avg-0	98	24343692	0.890000	0.052546
cretaceous-avg-0	99	9676169	0.000000	0.657460
cretaceous-avg-0	102	18530403	0.840000	0.113497
cretaceous-avg-0	104	12350474	1.000000	0.000000
cretaceous-avg-0	106	6183709	0.370000	0.176713
cretaceous-avg-0	108	3683338	1.000000	0.000000
cretaceous-avg-1	0	87448469	0.750000	0.085992
cretaceous-avg-1	1	70290957	1.000000	0.000000
cretaceous-avg-1	3	61572007	1.000000	0.000000
cretaceous-avg-1	4	36108496	1.000000	0.000000
cretaceous-avg-1	5	3813475	1.000000	0.000000
cretaceous-avg-1	8	35342113	1.000000	0.000000
cretaceous-avg-1	9	287420	0.960000	0.052125
cretaceous-avg-1	12	34575316	1.000000	0.000000
cretaceous-avg-1	14	13100602	1.000000	0.000000
cretaceous-avg-1	16	9666644	1.000000	0.000000
cretaceous-avg-1	19	40904224	0.970000	0.053521
cretaceous-avg-1	20	40102567	1.000000	0.000000
cretaceous-avg-1	22	33285639	1.000000	0.000000
cretaceous-avg-1	24	29138686	1.000000	0.000000
cretaceous-avg-1	25	1988322	1.000000	0.000000
cretaceous-avg-1	28	27067427	0.990000	0.052633
cretaceous-avg-1	30	2038326	1.000000	0.000000
cretaceous-avg-1	33	40888902	0.970000	0.053521
cretaceous-avg-1	34	6598140	1.000000	0.000000
cretaceous-avg-1	37	40147516	1.000000	0.000000
cretaceous-avg-1	38	8737354	1.000000	0.000000
cretaceous-avg-1	40	2624502	0.990000	0.052528
cretaceous-avg-1	43	32597949	1.000000	0.000000
cretaceous-avg-1	45	25524721	0.800000	0.059870
cretaceous-avg-1	47	11700455	1.000000	0.000000
cretaceous-avg-1	48	11447660	1.000000	0.000000
cretaceous-avg-1	51	2638675	1.000000	0.000000
cretaceous-avg-1	54	85295168	0.890000	0.073947
cretaceous-avg-1	55	71770008	0.970000	0.058237
cretaceous-avg-1	56	21412977	0.970000	0.052342
cretaceous-avg-1	58	7090988	0.910000	0.055308
cretaceous-avg-1	60	884042	1.000000	0.000000
cretaceous-avg-1	63	44556991	0.780000	0.104496
cretaceous-avg-1	64	38641218	1.000000	0.000000
cretaceous-avg-1	66	19246016	1.000000	0.000000
cretaceous-avg-1	68	7604715	0.880000	0.054051
cretaceous-avg-1	70	7185482	0.750000	0.080568
cretaceous-avg-1	73	26996696	0.770000	0.177989
cretaceous-avg-1	74	10962050	1.000000	0.000000
cretaceous-avg-1	76	3660718	0.960000	0.142486
cretaceous-avg-1	79	26838843	0.850000	0.105981
cretaceous-avg-1	80	14337373	1.000000	0.000000
cretaceous-avg-1	83	9357529	1.000000	0.000000
cretaceous-avg-1	85	8818772	0.990000	0.052372
cretaceous-avg-1	86	7471470	1.000000	0.000000
cretaceous-avg-1	89	6556764	0.600000	0.115284
cretaceous-avg-1	92	45788600	0.770000	0.117099
cretaceous-avg-1	93	20980578	1.000000	0.000000
cretaceous-avg-1	95	19147190	1.000000	0.000000
cretaceous-avg-1	96	369216	0.960000	0.053451
cretaceous-avg-1	99	7142097	0.960000	0.140928
cretaceous-avg-1	101	2288703	1.000000	0.000000
cretaceous-avg-1	104	45534971	0.850000	0.147504
cretaceous-avg-1	105	23614184	1.000000	0.000000
cretaceous-avg-1	106	1225954	1.000000	0.000000
cretaceous-avg-1	109	18828017	1.000000	0.000000
cretaceous-avg-1	110	14913652	1.000000	0.000000
cretaceous-avg-1	113	7426666	0.950000	0.052419
cretaceous-avg-1	116	37545020	1.000000	0.000000
cretaceous-avg-1	118	28806218	1.000000	0.000000
cretaceous-avg-1	119	26402407	1.000000	0.000000
cretaceous-avg-1	120	21841318	1.000000	0.000000
cretaceous-avg-1	122	5154526	1.000000	0.000000
cretaceous-avg-1	125	5054565	0.840000	0.120662
cretaceous-avg-1	127	1107406	1.000000	0.000000
cretaceous-avg-1	130	19652259	1.000000	0.000000
cretaceous-avg-1	132	12001124	1.000000	0.000000
cretaceous-avg-1	133	10057531	1.000000	0.000000
cretaceous-avg-1	135	683358	0.980000	0.104918
cretaceous-avg-1	138	2835788	1.000000	0.000000
cretaceous-avg-1	140	1278479	1.000000	0.000000
cretaceous-avg-10	0	127569754	1.000000	0.000000
cretaceous-avg-10	1	64558059	1.000000	0.000000
cretaceous-avg-10	2	55948499	1.000000	0.000000
cretaceous-avg-10	3	37036155	0.990000	0.052324
cretaceous-avg-10	5	17898699	0.880000	0.184718
cretaceous-avg-10	7	10244915	1.000000	0.000000
cretaceous-avg-10	9	3701492	0.930000	0.109803
cretaceous-avg-10	12	41727137	1.000000	0.000000
cretaceous-avg-10	14	28003280	0.690000	0.139318
cretaceous-avg-10	16	25108863	0.980000	0.052633
cretaceous-avg-10	17	3299429	1.000000	0.000000
cretaceous-avg-10	20	7457276	0.960000	0.052417
cretaceous-avg-10	22	1508022	0.810000	0.105668
cretaceous-avg-10	25	55578021	1.000000	0.000000
