# results from simulated data from project "project.tab"
# date: 2024-05-28T09:41:55-03:00
tree	node	age	pixels	farthest
cretaceous-slow-0	0	136517518	0.470000	0.249727
cretaceous-slow-0	1	119882431	0.010000	0.366820
cretaceous-slow-0	2	65494478	0.950000	0.068089
cretaceous-slow-0	4	46040918	0.410000	0.217907
cretaceous-slow-0	6	13935909	0.940000	0.106215
cretaceous-slow-0	7	12405458	0.970000	0.105179
cretaceous-slow-0	10	6597564	0.940000	0.052005
cretaceous-slow-0	13	107119214	0.050000	0.293806
cretaceous-slow-0	14	12627068	0.940000	0.065173
cretaceous-slow-0	16	4771297	0.980000	0.061598
cretaceous-slow-0	19	104541294	0.010000	0.343804
cretaceous-slow-0	21	29625117	0.950000	0.056200
cretaceous-slow-0	23	8658724	0.960000	0.057843
cretaceous-slow-0	25	6633809	0.930000	0.104756
cretaceous-slow-0	28	123958461	0.770000	0.157127
cretaceous-slow-0	29	88007651	0.850000	0.135972
cretaceous-slow-0	30	33501482	0.970000	0.079433
cretaceous-slow-0	31	23609095	0.850000	0.148454
cretaceous-slow-0	34	4862813	0.940000	0.088933
cretaceous-slow-0	37	47109835	0.980000	0.052122
cretaceous-slow-0	38	36070425	0.980000	0.102474
cretaceous-slow-0	41	46604012	0.970000	0.052422
cretaceous-slow-0	43	38469075	0.850000	0.111360
cretaceous-slow-0	44	32447075	0.800000	0.135965
cretaceous-slow-0	46	20477525	0.680000	0.172511
cretaceous-slow-0	48	19344971	0.710000	0.157568
cretaceous-slow-0	50	17926318	0.820000	0.157568
cretaceous-slow-0	53	17256739	0.850000	0.110787
cretaceous-slow-0	55	14314936	0.770000	0.134672
cretaceous-slow-0	57	8208205	0.610000	0.157686
cretaceous-slow-0	59	87666	0.640000	0.209630
cretaceous-slow-0	62	77172475	1.000000	0.000000
cretaceous-slow-0	63	70995295	0.960000	0.054389
cretaceous-slow-0	64	28406791	1.000000	0.000000
cretaceous-slow-0	66	4916333	0.960000	0.073683
cretaceous-slow-0	68	943875	0.980000	0.121238
cretaceous-slow-0	71	70600015	0.980000	0.054389
cretaceous-slow-0	72	24284291	0.880000	0.090654
cretaceous-slow-0	73	21496692	0.830000	0.134291
cretaceous-slow-0	76	17339425	0.960000	0.127576
cretaceous-slow-0	79	62638049	0.990000	0.149186
cretaceous-slow-0	81	17375697	0.990000	0.052503
cretaceous-slow-0	83	12566802	0.960000	0.053221
cretaceous-slow-0	85	11090474	0.980000	0.101021
cretaceous-slow-0	88	67167008	0.960000	0.135476
cretaceous-slow-0	89	51575662	0.540000	0.228940
cretaceous-slow-0	90	23721483	0.980000	0.052459
cretaceous-slow-0	92	12852561	0.960000	0.108178
cretaceous-slow-0	94	5647468	0.990000	0.107320
cretaceous-slow-0	97	28874246	0.700000	0.157740
cretaceous-slow-0	99	26322095	0.930000	0.105220
cretaceous-slow-0	101	24602736	0.960000	0.052633
cretaceous-slow-0	103	22977038	0.970000	0.059756
cretaceous-slow-0	105	12241380	0.740000	0.115200
cretaceous-slow-0	107	5425163	0.910000	0.081949
cretaceous-slow-0	110	64180161	0.930000	0.155660
cretaceous-slow-0	111	17914577	1.000000	0.000000
cretaceous-slow-0	114	50054347	0.970000	0.139099
cretaceous-slow-0	116	35984966	0.790000	0.159336
cretaceous-slow-0	117	17581078	0.620000	0.158176
cretaceous-slow-0	119	11430000	0.860000	0.105408
cretaceous-slow-0	122	35591135	0.810000	0.108414
cretaceous-slow-0	123	11969008	0.470000	0.210515
cretaceous-slow-0	125	8329197	0.750000	0.157250
cretaceous-slow-0	128	23742009	0.850000	0.174194
cretaceous-slow-0	130	22107642	0.860000	0.174194
cretaceous-slow-0	131	19766683	0.890000	0.098945
cretaceous-slow-0	134	9269853	0.750000	0.108218
cretaceous-slow-0	136	8282037	0.700000	0.142038
cretaceous-slow-0	138	5313665	0.970000	0.104576
cretaceous-slow-1	0	133937982	1.000000	0.000000
cretaceous-slow-1	1	103001503	0.900000	0.130666
