# results from simulated data from project "project.tab"
# date: 2024-05-28T17:41:22-03:00
tree	node	age	pixels	farthest
jurassic-avg-0	0	196051376	0.990000	0.051502
jurassic-avg-0	1	156710425	1.000000	0.000000
jurassic-avg-0	2	58166994	1.000000	0.000000
jurassic-avg-0	4	2294296	0.880000	0.094370
jurassic-avg-0	6	178694	0.970000	0.055291
jurassic-avg-0	9	144469418	1.000000	0.000000
jurassic-avg-0	10	20478716	0.260000	0.156864
jurassic-avg-0	13	57987769	0.390000	0.157974
jurassic-avg-0	14	8875372	1.000000	0.000000
jurassic-avg-0	17	4992738	1.000000	0.000000
jurassic-avg-0	20	163253916	0.960000	0.055925
jurassic-avg-0	21	142797726	0.470000	0.118388
jurassic-avg-0	22	34898657	0.260000	0.158152
jurassic-avg-0	25	75888703	0.910000	0.066674
jurassic-avg-0	26	73676155	0.940000	0.080932
jurassic-avg-0	28	63622859	1.000000	0.000000
jurassic-avg-0	31	68533261	1.000000	0.000000
jurassic-avg-0	32	18974417	0.050000	0.379706
jurassic-avg-0	34	8594752	1.000000	0.000000
jurassic-avg-0	36	3908151	0.990000	0.072030
jurassic-avg-0	39	52833585	1.000000	0.000000
jurassic-avg-0	40	30529807	1.000000	0.000000
jurassic-avg-0	42	6614106	0.990000	0.052324
jurassic-avg-0	45	45954957	1.000000	0.000000
jurassic-avg-0	47	38627174	0.980000	0.052546
jurassic-avg-0	49	10155994	0.620000	0.147715
jurassic-avg-0	52	153986557	0.720000	0.105142
jurassic-avg-0	53	102587301	1.000000	0.000000
jurassic-avg-0	54	70800141	0.890000	0.052125
jurassic-avg-0	56	42412531	1.000000	0.000000
jurassic-avg-0	58	15742558	1.000000	0.000000
jurassic-avg-0	61	85149260	1.000000	0.000000
jurassic-avg-0	62	51669437	1.000000	0.000000
jurassic-avg-0	65	61997331	1.000000	0.000000
jurassic-avg-0	67	44270307	1.000000	0.000000
jurassic-avg-0	69	17727014	1.000000	0.000000
jurassic-avg-0	72	101651619	0.190000	0.167829
jurassic-avg-0	73	90301026	0.930000	0.104298
jurassic-avg-0	74	28741611	0.970000	0.052633
jurassic-avg-0	76	8075240	1.000000	0.000000
jurassic-avg-0	79	50074347	1.000000	0.000000
jurassic-avg-0	80	23470985	1.000000	0.000000
jurassic-avg-0	83	13722652	1.000000	0.000000
jurassic-avg-0	86	88629390	1.000000	0.000000
jurassic-avg-0	87	74230734	1.000000	0.000000
jurassic-avg-0	89	41751675	1.000000	0.000000
jurassic-avg-0	91	27804836	1.000000	0.000000
jurassic-avg-0	92	6562663	0.990000	0.052546
jurassic-avg-0	95	156153	0.950000	0.094370
jurassic-avg-0	98	88073559	1.000000	0.000000
jurassic-avg-0	99	29034165	0.950000	0.107320
jurassic-avg-0	100	27931009	0.880000	0.052417
jurassic-avg-0	103	8627066	1.000000	0.000000
jurassic-avg-0	106	69615551	1.000000	0.000000
jurassic-avg-0	107	5693344	1.000000	0.000000
jurassic-avg-0	110	55010452	1.000000	0.000000
jurassic-avg-0	111	6878633	1.000000	0.000000
jurassic-avg-0	113	4162779	0.970000	0.111024
jurassic-avg-0	116	54081494	1.000000	0.000000
jurassic-avg-0	117	36300948	1.000000	0.000000
jurassic-avg-0	120	26884755	1.000000	0.000000
jurassic-avg-0	122	14637073	1.000000	0.000000
jurassic-avg-1	0	169207346	0.780000	0.062531
jurassic-avg-1	1	149692874	0.400000	0.104783
jurassic-avg-1	2	965828	0.990000	0.052511
jurassic-avg-1	5	112328925	0.530000	0.063353
jurassic-avg-1	6	52880734	1.000000	0.000000
jurassic-avg-1	8	4617707	1.000000	0.000000
jurassic-avg-1	11	80031808	0.950000	0.052501
jurassic-avg-1	12	79873265	0.990000	0.079115
jurassic-avg-1	13	66598973	0.980000	0.052456
jurassic-avg-1	16	22293011	0.450000	0.155998
jurassic-avg-1	19	42361091	1.000000	0.000000
jurassic-avg-1	21	27156225	1.000000	0.000000
jurassic-avg-1	23	8638175	0.590000	0.172627
jurassic-avg-1	26	161767823	0.700000	0.052801
jurassic-avg-1	27	87960594	1.000000	0.000000
jurassic-avg-1	28	82697648	1.000000	0.000000
jurassic-avg-1	30	24479906	1.000000	0.000000
jurassic-avg-1	33	38142954	1.000000	0.000000
jurassic-avg-1	35	230335	0.990000	0.052519
jurassic-avg-1	38	129868115	0.500000	0.104978
jurassic-avg-1	39	109170772	0.830000	0.069611
jurassic-avg-1	41	46303145	0.970000	0.052319
jurassic-avg-1	42	23083456	1.000000	0.000000
jurassic-avg-1	45	35462997	1.000000	0.000000
jurassic-avg-1	47	6181628	1.000000	0.000000
jurassic-avg-1	50	121943610	0.930000	0.052633
jurassic-avg-1	51	46058028	1.000000	0.000000
jurassic-avg-1	53	19296025	0.930000	0.103944
jurassic-avg-1	54	8634345	1.000000	0.000000
jurassic-avg-1	57	9627539	1.000000	0.000000
jurassic-avg-1	59	5795399	0.880000	0.158224
jurassic-avg-1	62	110717553	1.000000	0.000000
jurassic-avg-1	63	73503223	0.810000	0.058566
jurassic-avg-1	65	48073672	1.000000	0.000000
jurassic-avg-1	67	16572433	1.000000	0.000000
jurassic-avg-1	70	95052934	1.000000	0.000000
jurassic-avg-1	71	17532099	1.000000	0.000000
jurassic-avg-1	74	81538351	1.000000	0.000000
jurassic-avg-1	75	64558934	1.000000	0.000000
jurassic-avg-1	76	17104906	1.000000	0.000000
jurassic-avg-1	79	60311553	1.000000	0.000000
jurassic-avg-1	81	26417576	0.760000	0.155864
jurassic-avg-1	83	18835138	1.000000	0.000000
jurassic-avg-1	86	58783544	0.460000	0.104630
jurassic-avg-1	87	27156709	1.000000	0.000000
jurassic-avg-1	89	7926784	0.970000	0.052459
jurassic-avg-1	92	39890068	1.000000	0.000000
jurassic-avg-1	94	29963909	1.000000	0.000000
jurassic-avg-1	95	22121406	1.000000	0.000000
jurassic-avg-1	97	20785289	1.000000	0.000000
jurassic-avg-1	100	21533465	1.000000	0.000000
jurassic-avg-1	102	16764162	1.000000	0.000000
jurassic-avg-10	0	170260250	0.440000	0.074967
jurassic-avg-10	1	95360691	0.980000	0.053073
jurassic-avg-10	4	139454919	0.850000	0.052401
jurassic-avg-10	5	21561458	0.430000	0.190528
jurassic-avg-10	8	130765350	0.940000	0.052418
jurassic-avg-10	9	73670601	0.960000	0.052528
jurassic-avg-10	10	61585803	0.920000	0.055912
jurassic-avg-10	11	35622670	1.000000	0.000000
jurassic-avg-10	13	10289141	1.000000	0.000000
jurassic-avg-10	16	53802313	0.980000	0.052801
jurassic-avg-10	17	52663929	0.880000	0.052546
jurassic-avg-10	20	13970648	0.150000	0.239248
jurassic-avg-10	23	45805085	0.980000	0.052324
jurassic-avg-10	24	32255650	0.970000	0.052501
jurassic-avg-10	26	10848874	1.000000	0.000000
jurassic-avg-10	28	281104	1.000000	0.000000
jurassic-avg-10	31	41603313	0.930000	0.053881
jurassic-avg-10	32	7094142	0.990000	0.052319
jurassic-avg-10	35	30672635	0.990000	0.052633
jurassic-avg-10	37	27052509	0.950000	0.105047
jurassic-avg-10	40	112476359	1.000000	0.000000
jurassic-avg-10	42	99442481	0.990000	0.052373
jurassic-avg-10	44	98580517	1.000000	0.000000
jurassic-avg-10	45	71577105	0.750000	0.058535
jurassic-avg-10	46	34565501	1.000000	0.000000
jurassic-avg-10	48	32859055	0.960000	0.052501
jurassic-avg-10	51	55166729	1.000000	0.000000
jurassic-avg-10	53	21697335	0.880000	0.058535
jurassic-avg-10	55	14667054	0.680000	0.058536
jurassic-avg-10	58	89600544	1.000000	0.000000
jurassic-avg-10	59	79443803	1.000000	0.000000
jurassic-avg-10	61	73097839	0.930000	0.081155
jurassic-avg-10	62	44179779	0.870000	0.052633
jurassic-avg-10	64	7861658	1.000000	0.000000
jurassic-avg-10	67	49327244	0.800000	0.120982
jurassic-avg-10	69	32158408	0.680000	0.104831
jurassic-avg-10	71	21677616	0.970000	0.052319
jurassic-avg-10	73	15527415	0.990000	0.052501
jurassic-avg-10	76	73051461	0.880000	0.072989
jurassic-avg-10	77	57769832	0.600000	0.133149
jurassic-avg-10	78	52510958	0.660000	0.058762
jurassic-avg-10	80	27795795	1.000000	0.000000
jurassic-avg-10	83	23170031	0.830000	0.052529
jurassic-avg-10	85	22209190	0.940000	0.053167
jurassic-avg-10	87	10098183	0.880000	0.064133
