# results from simulated data from project "project.tab"
# date: 2024-05-28T17:41:55-03:00
tree	node	age	pixels	farthest
jurassic-fast-0	0	168199166	0.980000	0.052019
jurassic-fast-0	1	162445733	0.900000	0.075510
jurassic-fast-0	2	90202427	1.000000	0.000000
jurassic-fast-0	3	76179540	0.970000	0.052342
jurassic-fast-0	4	34222582	0.950000	0.052342
jurassic-fast-0	7	7837412	0.880000	0.052801
jurassic-fast-0	10	59134879	0.640000	0.102538
jurassic-fast-0	11	33195235	0.950000	0.055629
jurassic-fast-0	14	45339307	0.660000	0.054916
jurassic-fast-0	16	25989028	0.170000	0.176697
jurassic-fast-0	19	142069882	1.000000	0.000000
jurassic-fast-0	20	80269520	0.980000	0.052125
jurassic-fast-0	22	38052827	0.930000	0.052319
jurassic-fast-0	24	13990934	1.000000	0.000000
jurassic-fast-0	27	73696911	0.830000	0.052733
jurassic-fast-0	29	60676158	0.940000	0.052633
jurassic-fast-0	30	42341764	0.980000	0.052501
jurassic-fast-0	31	13375194	0.990000	0.052546
jurassic-fast-0	33	3652642	0.870000	0.139365
jurassic-fast-0	36	40580847	0.970000	0.052125
jurassic-fast-0	37	23984861	0.990000	0.052546
jurassic-fast-0	40	14688425	0.490000	0.071506
jurassic-fast-0	43	40121575	0.880000	0.052950
jurassic-fast-0	44	23775569	0.150000	0.164480
jurassic-fast-0	46	19238989	0.960000	0.052360
jurassic-fast-0	49	13625305	0.810000	0.088985
jurassic-fast-0	50	13026703	0.800000	0.064167
jurassic-fast-0	53	10752322	1.000000	0.000000
jurassic-fast-0	54	5688892	1.000000	0.000000
jurassic-fast-0	57	3483764	1.000000	0.000000
jurassic-fast-0	60	142940466	0.190000	0.101217
jurassic-fast-0	61	125037703	0.300000	0.120181
jurassic-fast-0	62	8246911	1.000000	0.000000
jurassic-fast-0	65	86670483	0.980000	0.052511
jurassic-fast-0	67	67425589	0.910000	0.078987
jurassic-fast-0	69	3425109	0.880000	0.052529
jurassic-fast-0	72	141301135	0.860000	0.104831
jurassic-fast-0	73	107589609	1.000000	0.000000
jurassic-fast-0	74	69272423	0.960000	0.052324
jurassic-fast-0	76	61634505	0.850000	0.052633
jurassic-fast-0	78	11872561	0.880000	0.079796
jurassic-fast-0	80	7735904	0.810000	0.104626
jurassic-fast-0	83	99097781	0.960000	0.052360
jurassic-fast-0	84	64006528	1.000000	0.000000
jurassic-fast-0	85	21972054	1.000000	0.000000
jurassic-fast-0	88	27566131	0.950000	0.052373
jurassic-fast-0	89	12661829	0.780000	0.082090
jurassic-fast-0	92	2930131	0.840000	0.053031
jurassic-fast-0	95	81775916	0.900000	0.053578
jurassic-fast-0	96	37175506	0.970000	0.052375
jurassic-fast-0	97	22037074	0.940000	0.052319
jurassic-fast-0	100	17723978	0.930000	0.052417
jurassic-fast-0	103	19649508	0.880000	0.054784
jurassic-fast-0	104	1048863	1.000000	0.000000
jurassic-fast-0	107	10399046	1.000000	0.000000
jurassic-fast-0	109	5581141	0.970000	0.094370
jurassic-fast-0	111	4317761	0.600000	0.081748
jurassic-fast-0	114	133480057	0.950000	0.052482
jurassic-fast-0	115	103559455	0.980000	0.052822
jurassic-fast-0	116	15462204	0.950000	0.052768
jurassic-fast-0	119	51425095	0.740000	0.081949
jurassic-fast-0	120	5252204	1.000000	0.000000
jurassic-fast-0	123	24165368	0.920000	0.052320
jurassic-fast-0	125	9750919	0.990000	0.052501
jurassic-fast-0	127	1196289	1.000000	0.000000
jurassic-fast-0	130	113843458	0.960000	0.052419
jurassic-fast-0	131	74543488	0.640000	0.090124
jurassic-fast-0	133	7390178	0.980000	0.052459
jurassic-fast-0	135	114310	0.990000	0.104918
jurassic-fast-0	138	108479464	0.830000	0.056438
jurassic-fast-0	139	8588165	0.640000	0.083841
jurassic-fast-0	142	80009540	1.000000	0.000000
jurassic-fast-0	143	54560054	0.960000	0.052417
jurassic-fast-0	145	10125975	1.000000	0.000000
jurassic-fast-0	147	6068022	0.980000	0.052529
jurassic-fast-0	150	32121512	0.990000	0.052511
jurassic-fast-0	151	24911060	1.000000	0.000000
jurassic-fast-0	154	837368	1.000000	0.000000
jurassic-fast-1	0	145209912	0.820000	0.076728
jurassic-fast-1	1	132661762	0.910000	0.092692
jurassic-fast-1	2	79432128	0.670000	0.070501
jurassic-fast-1	4	66500871	0.940000	0.094370
jurassic-fast-1	5	57534950	0.970000	0.069414
jurassic-fast-1	8	5878306	0.980000	0.052501
jurassic-fast-1	11	127020150	0.880000	0.052417
jurassic-fast-1	12	67825322	0.970000	0.052633
jurassic-fast-1	13	30066244	0.910000	0.053815
jurassic-fast-1	16	26908933	0.970000	0.126549
jurassic-fast-1	18	3341761	1.000000	0.000000
jurassic-fast-1	21	98836594	0.410000	0.080585
jurassic-fast-1	22	70929373	0.960000	0.052125
jurassic-fast-1	24	64291005	1.000000	0.000000
jurassic-fast-1	26	55888443	0.940000	0.052419
jurassic-fast-1	27	32402970	0.440000	0.105933
jurassic-fast-1	29	19323033	0.860000	0.094370
jurassic-fast-1	31	2052606	0.860000	0.052633
jurassic-fast-1	34	27754090	0.960000	0.052005
jurassic-fast-1	36	24306550	0.830000	0.052633
jurassic-fast-1	38	8709575	0.950000	0.058536
jurassic-fast-1	41	66821063	0.650000	0.145293
jurassic-fast-1	42	56907875	0.880000	0.052529
jurassic-fast-1	44	45392602	0.800000	0.065518
jurassic-fast-1	45	11895358	0.810000	0.104740
jurassic-fast-1	47	646740	0.580000	0.104978
jurassic-fast-1	50	20224744	0.440000	0.069102
jurassic-fast-1	52	12868252	0.340000	0.116288
jurassic-fast-1	54	4338769	1.000000	0.000000
jurassic-fast-1	57	62631076	0.980000	0.052419
