# results from simulated data from project "project.tab"
# date: 2024-05-28T17:41:02-03:00
tree	node	age	pixels	farthest
jurassic-slow-0	0	167330446	0.820000	0.100114
jurassic-slow-0	1	151697251	0.970000	0.052263
jurassic-slow-0	2	26622999	1.000000	0.000000
jurassic-slow-0	5	118533407	1.000000	0.000000
jurassic-slow-0	6	81290774	1.000000	0.000000
jurassic-slow-0	8	28069650	0.950000	0.055725
jurassic-slow-0	10	5925792	0.900000	0.138075
jurassic-slow-0	13	84488999	1.000000	0.000000
jurassic-slow-0	14	10112148	0.980000	0.075238
jurassic-slow-0	17	74617611	1.000000	0.000000
jurassic-slow-0	18	30251524	0.990000	0.157332
jurassic-slow-0	20	8391539	0.960000	0.052125
jurassic-slow-0	23	68494607	1.000000	0.000000
jurassic-slow-0	24	63522393	1.000000	0.000000
jurassic-slow-0	26	61011677	1.000000	0.000000
jurassic-slow-0	29	30618942	0.610000	0.157380
jurassic-slow-0	31	28854126	0.750000	0.210788
jurassic-slow-0	32	22236146	0.720000	0.281490
jurassic-slow-0	34	4453862	0.980000	0.056388
jurassic-slow-0	36	2132200	0.940000	0.124303
jurassic-slow-0	39	15365586	0.910000	0.081258
jurassic-slow-0	41	629011	0.970000	0.107719
jurassic-slow-0	43	149649	0.990000	0.052180
jurassic-slow-0	46	134381000	0.020000	0.312260
jurassic-slow-0	47	73154776	0.880000	0.104405
jurassic-slow-0	49	26809751	0.970000	0.157437
jurassic-slow-0	52	127637394	0.470000	0.181919
jurassic-slow-0	53	108571032	1.000000	0.000000
jurassic-slow-0	55	67076828	0.810000	0.104496
jurassic-slow-0	56	7708382	0.970000	0.104783
jurassic-slow-0	58	7368951	0.970000	0.104783
jurassic-slow-0	61	58326452	1.000000	0.000000
jurassic-slow-0	62	22342071	1.000000	0.000000
jurassic-slow-0	64	21477565	0.980000	0.052459
jurassic-slow-0	65	12934102	1.000000	0.000000
jurassic-slow-0	68	4362713	0.980000	0.121005
jurassic-slow-0	71	22335087	0.840000	0.106216
jurassic-slow-0	73	9873565	1.000000	0.000000
jurassic-slow-0	75	6567558	0.980000	0.054551
jurassic-slow-0	77	2576539	0.930000	0.054733
jurassic-slow-0	80	75352895	0.990000	0.057798
jurassic-slow-0	81	45689400	0.530000	0.237025
jurassic-slow-0	82	6089460	1.000000	0.000000
jurassic-slow-0	84	1320173	0.960000	0.166846
jurassic-slow-0	87	5142535	0.990000	0.066219
jurassic-slow-0	89	189881	0.980000	0.052320
jurassic-slow-0	92	70578275	0.930000	0.115794
jurassic-slow-0	93	41176928	0.570000	0.158521
jurassic-slow-0	94	30039299	0.990000	0.058237
jurassic-slow-0	97	5359836	0.970000	0.135233
jurassic-slow-0	100	54969523	1.000000	0.000000
jurassic-slow-0	101	16325599	0.980000	0.067127
jurassic-slow-0	103	9424146	0.990000	0.052529
jurassic-slow-0	106	17512522	1.000000	0.000000
jurassic-slow-0	108	6247245	0.960000	0.158989
jurassic-slow-0	110	1485722	0.970000	0.093575
jurassic-slow-1	0	172661044	0.430000	0.278334
jurassic-slow-1	1	86228527	0.990000	0.055725
jurassic-slow-1	3	74857084	0.950000	0.056556
jurassic-slow-1	4	57529561	0.940000	0.161023
jurassic-slow-1	6	3364532	0.960000	0.055175
jurassic-slow-1	9	33264791	0.960000	0.103985
jurassic-slow-1	10	24459146	0.960000	0.056112
jurassic-slow-1	13	4945292	0.860000	0.103985
jurassic-slow-1	16	153488923	0.750000	0.104720
jurassic-slow-1	17	89875347	0.960000	0.052375
jurassic-slow-1	18	87588731	0.970000	0.052125
jurassic-slow-1	19	66882849	0.730000	0.107226
jurassic-slow-1	22	15363130	0.900000	0.106576
jurassic-slow-1	25	75783255	0.980000	0.052419
jurassic-slow-1	26	34410678	0.100000	0.307681
jurassic-slow-1	28	24014389	0.810000	0.206257
jurassic-slow-1	31	23968847	0.830000	0.149099
jurassic-slow-1	33	16503430	0.810000	0.103985
jurassic-slow-1	35	14482555	0.840000	0.104944
jurassic-slow-1	37	13111313	0.790000	0.157833
