# results from simulated data from project "project.tab"
# date: 2024-05-28T00:32:38-03:00
tree	node	age	pixels	farthest
neogene-avg-0	0	7765059	0.780000	0.138056
neogene-avg-0	1	7412327	0.650000	0.196810
neogene-avg-0	2	2775695	0.850000	0.143658
neogene-avg-0	4	622429	0.800000	0.209585
neogene-avg-0	6	489262	0.820000	0.206951
neogene-avg-0	8	70225	0.810000	0.190770
neogene-avg-0	11	5599926	0.650000	0.167258
neogene-avg-0	12	5337356	0.750000	0.159244
neogene-avg-0	14	1913220	0.980000	0.099497
neogene-avg-0	15	1014550	0.920000	0.111739
neogene-avg-0	18	434007	0.840000	0.126788
neogene-avg-0	20	275187	0.900000	0.174375
neogene-avg-0	23	2783127	0.760000	0.212881
neogene-avg-0	24	1806507	0.970000	0.103985
neogene-avg-0	26	1420331	0.960000	0.053448
neogene-avg-0	28	161244	0.840000	0.147505
neogene-avg-0	31	1794290	0.950000	0.157833
neogene-avg-0	32	1737888	0.940000	0.105459
neogene-avg-0	35	114845	0.870000	0.120609
neogene-avg-0	38	6867327	0.870000	0.111739
neogene-avg-0	39	3954516	1.000000	0.000000
neogene-avg-0	41	2778363	0.840000	0.157224
neogene-avg-0	42	2271416	0.870000	0.106971
neogene-avg-0	43	1862754	0.900000	0.107257
neogene-avg-0	46	1308494	0.940000	0.093853
neogene-avg-0	48	213181	0.850000	0.185174
neogene-avg-0	51	1873559	0.930000	0.106971
neogene-avg-0	52	877324	0.920000	0.107104
neogene-avg-0	54	213970	0.970000	0.141466
neogene-avg-0	57	1332519	0.950000	0.107257
neogene-avg-0	59	1247170	0.960000	0.058767
neogene-avg-0	61	737971	0.990000	0.052320
neogene-avg-0	63	263915	0.940000	0.130634
neogene-avg-0	66	4648245	0.950000	0.157462
neogene-avg-0	67	580371	0.840000	0.115701
neogene-avg-0	69	505110	0.850000	0.156948
neogene-avg-0	71	392055	0.940000	0.187433
neogene-avg-0	73	179806	0.930000	0.164596
neogene-avg-0	75	140092	0.930000	0.164596
neogene-avg-0	78	4538713	0.950000	0.106909
neogene-avg-0	79	3207631	0.930000	0.106956
neogene-avg-0	81	1077909	0.820000	0.232531
neogene-avg-0	82	463371	0.890000	0.140694
neogene-avg-0	85	1037951	0.850000	0.232531
neogene-avg-0	87	283249	0.810000	0.104831
neogene-avg-0	89	218495	0.810000	0.106336
neogene-avg-0	92	4122756	0.950000	0.109623
neogene-avg-0	93	1942591	0.950000	0.052801
neogene-avg-0	96	2674650	0.860000	0.104809
neogene-avg-0	97	46575	0.710000	0.210983
neogene-avg-0	100	2397135	0.840000	0.104939
neogene-avg-0	101	1220685	0.920000	0.090646
neogene-avg-0	103	1009585	0.920000	0.080361
neogene-avg-0	105	335770	0.840000	0.132513
neogene-avg-0	108	1485202	0.900000	0.158065
neogene-avg-0	109	1095772	0.890000	0.159542
neogene-avg-0	111	1087083	0.890000	0.159542
neogene-avg-0	114	1026100	0.920000	0.154414
neogene-avg-0	116	262314	0.930000	0.157762
neogene-avg-1	0	9615139	0.830000	0.112546
neogene-avg-1	1	8152550	1.000000	0.000000
neogene-avg-1	2	5150794	1.000000	0.000000
neogene-avg-1	4	1891899	1.000000	0.000000
neogene-avg-1	6	248459	0.960000	0.082982
neogene-avg-1	9	3495419	0.600000	0.217091
neogene-avg-1	11	2348385	0.170000	0.264921
neogene-avg-1	12	926090	0.960000	0.119152
neogene-avg-1	15	347374	0.900000	0.155864
neogene-avg-1	18	9377974	0.950000	0.138443
neogene-avg-1	19	9184420	0.970000	0.095322
neogene-avg-1	20	3396124	0.870000	0.122342
neogene-avg-1	21	2919302	0.580000	0.207614
neogene-avg-1	23	449533	0.780000	0.183678
neogene-avg-1	26	1936206	0.980000	0.052633
neogene-avg-1	28	916837	0.860000	0.117806
neogene-avg-1	30	275590	0.920000	0.104626
neogene-avg-1	33	5137780	1.000000	0.000000
neogene-avg-1	34	1338095	0.980000	0.052180
neogene-avg-1	36	645115	0.940000	0.140928
neogene-avg-1	39	2396482	0.950000	0.118615
neogene-avg-1	40	2253178	0.990000	0.052342
neogene-avg-1	42	928975	0.910000	0.155575
neogene-avg-1	45	559589	0.660000	0.166380
neogene-avg-1	47	297240	0.770000	0.220911
neogene-avg-1	50	8949853	0.690000	0.156647
neogene-avg-1	51	6409795	0.220000	0.228985
neogene-avg-1	52	4842113	1.000000	0.000000
neogene-avg-1	53	273575	0.840000	0.157833
neogene-avg-1	55	184192	0.870000	0.159168
neogene-avg-1	58	3550890	0.990000	0.052019
neogene-avg-1	60	2408835	1.000000	0.000000
neogene-avg-1	61	297473	0.980000	0.052342
neogene-avg-1	64	1327248	1.000000	0.000000
neogene-avg-1	66	1165797	0.980000	0.102588
neogene-avg-1	69	3559837	0.990000	0.052373
neogene-avg-1	71	3506584	0.990000	0.052459
neogene-avg-1	73	3053651	1.000000	0.000000
neogene-avg-1	74	2622033	0.990000	0.052501
neogene-avg-1	75	657308	0.950000	0.185658
neogene-avg-1	78	550285	0.880000	0.103944
neogene-avg-1	81	1224670	0.920000	0.105646
neogene-avg-1	83	1068655	0.960000	0.062960
neogene-avg-1	84	496863	0.980000	0.052459
neogene-avg-1	87	667985	0.930000	0.095422
neogene-avg-1	89	523386	0.960000	0.104354
neogene-avg-1	92	5848777	0.730000	0.157127
neogene-avg-1	93	4266891	0.500000	0.255780
neogene-avg-1	94	1283111	0.760000	0.243327
neogene-avg-1	97	4166530	0.620000	0.288559
neogene-avg-1	99	272460	0.980000	0.153080
neogene-avg-1	102	5595788	0.980000	0.052180
neogene-avg-1	103	5589669	0.990000	0.052180
neogene-avg-1	105	4698491	0.910000	0.134614
neogene-avg-1	106	533860	0.900000	0.104824
neogene-avg-1	109	1685675	0.910000	0.087421
neogene-avg-1	110	525640	0.860000	0.126603
neogene-avg-1	113	1343972	0.950000	0.157238
neogene-avg-1	114	672760	0.970000	0.105046
neogene-avg-1	117	78292	0.940000	0.104626
neogene-avg-1	120	4091317	0.960000	0.052996
neogene-avg-1	121	2082414	0.990000	0.059895
