# results from simulated data from project "project.tab"
# date: 2024-05-28T03:58:38-03:00
tree	node	age	pixels	farthest
paleogene-avg-0	0	52949969	1.000000	0.000000
paleogene-avg-0	1	48010921	0.980000	0.052501
paleogene-avg-0	2	36325410	0.990000	0.052529
paleogene-avg-0	3	28033735	1.000000	0.000000
paleogene-avg-0	6	20503932	0.710000	0.053659
paleogene-avg-0	8	10553898	0.890000	0.052417
paleogene-avg-0	11	30372771	0.960000	0.052469
paleogene-avg-0	12	22828374	1.000000	0.000000
paleogene-avg-0	14	10906104	1.000000	0.000000
paleogene-avg-0	15	3278573	1.000000	0.000000
paleogene-avg-0	18	755475	0.980000	0.104298
paleogene-avg-0	21	27268911	0.990000	0.052180
paleogene-avg-0	22	25850282	1.000000	0.000000
paleogene-avg-0	23	192767	0.970000	0.085719
paleogene-avg-0	26	12935253	0.990000	0.052019
paleogene-avg-0	28	6506544	0.960000	0.052459
paleogene-avg-0	31	5661206	0.990000	0.052005
paleogene-avg-0	32	3837249	1.000000	0.000000
paleogene-avg-0	35	2173584	1.000000	0.000000
paleogene-avg-0	37	1588254	1.000000	0.000000
paleogene-avg-0	40	41824698	0.460000	0.100559
paleogene-avg-0	41	32013117	1.000000	0.000000
paleogene-avg-0	42	4040445	1.000000	0.000000
paleogene-avg-0	44	1602633	1.000000	0.000000
paleogene-avg-0	47	25799897	1.000000	0.000000
paleogene-avg-0	48	998423	0.980000	0.052401
paleogene-avg-0	51	21505381	1.000000	0.000000
paleogene-avg-0	52	18444786	0.980000	0.052801
paleogene-avg-0	54	6533491	1.000000	0.000000
paleogene-avg-0	56	5947956	0.980000	0.054995
paleogene-avg-0	57	4342054	0.970000	0.057189
paleogene-avg-0	60	2428730	0.680000	0.170501
paleogene-avg-0	63	20657311	1.000000	0.000000
paleogene-avg-0	64	17817094	0.960000	0.057800
paleogene-avg-0	66	14122083	1.000000	0.000000
paleogene-avg-0	67	7828188	0.930000	0.058536
paleogene-avg-0	70	9379404	0.960000	0.052288
paleogene-avg-0	71	9197271	1.000000	0.000000
paleogene-avg-0	74	2955442	0.790000	0.206709
