# results from simulated data from project "project.tab"
# date: 2024-05-28T03:58:47-03:00
tree	node	age	pixels	farthest
paleogene-fast-0	0	60249280	1.000000	0.000000
paleogene-fast-0	1	21304540	0.920000	0.052529
paleogene-fast-0	3	21198987	1.000000	0.000000
paleogene-fast-0	4	14890563	1.000000	0.000000
paleogene-fast-0	6	6785135	1.000000	0.000000
paleogene-fast-0	8	1339013	1.000000	0.000000
paleogene-fast-0	11	17797076	0.320000	0.105021
paleogene-fast-0	13	12928780	1.000000	0.000000
paleogene-fast-0	14	9392450	0.860000	0.087296
paleogene-fast-0	17	11162854	1.000000	0.000000
paleogene-fast-0	19	6200136	0.640000	0.119870
paleogene-fast-0	22	59622879	0.990000	0.054411
paleogene-fast-0	23	32290896	0.250000	0.146365
paleogene-fast-0	24	5449463	0.910000	0.052501
paleogene-fast-0	26	5170481	0.730000	0.092575
paleogene-fast-0	28	5629	0.940000	0.145904
paleogene-fast-0	31	27925262	0.530000	0.105179
paleogene-fast-0	32	4167238	1.000000	0.000000
paleogene-fast-0	34	881000	1.000000	0.000000
paleogene-fast-0	37	17797908	1.000000	0.000000
paleogene-fast-0	38	3351793	1.000000	0.000000
paleogene-fast-0	41	11124692	1.000000	0.000000
paleogene-fast-0	42	8705970	1.000000	0.000000
paleogene-fast-0	45	1623996	1.000000	0.000000
paleogene-fast-0	48	49633982	1.000000	0.000000
paleogene-fast-0	49	30909069	1.000000	0.000000
paleogene-fast-0	50	22529714	0.990000	0.056650
paleogene-fast-0	52	1648617	0.960000	0.052320
paleogene-fast-0	55	21222042	0.880000	0.052419
paleogene-fast-0	56	14255130	1.000000	0.000000
paleogene-fast-0	58	9084776	1.000000	0.000000
paleogene-fast-0	61	14811943	1.000000	0.000000
paleogene-fast-0	62	8185910	0.840000	0.052801
paleogene-fast-0	65	3490389	0.980000	0.052005
paleogene-fast-0	66	576888	1.000000	0.000000
paleogene-fast-0	69	3155776	1.000000	0.000000
paleogene-fast-0	71	1412081	1.000000	0.000000
paleogene-fast-0	74	31383850	0.960000	0.052019
paleogene-fast-0	75	280231	0.950000	0.157309
paleogene-fast-0	78	29672585	0.910000	0.056673
paleogene-fast-0	79	28408815	0.970000	0.052375
paleogene-fast-0	80	7828973	1.000000	0.000000
paleogene-fast-0	82	6797509	1.000000	0.000000
paleogene-fast-0	85	25093217	0.730000	0.090840
paleogene-fast-0	86	16463748	0.900000	0.052459
paleogene-fast-0	89	11923765	0.660000	0.074708
paleogene-fast-0	92	28406643	0.860000	0.090282
paleogene-fast-0	94	9959246	1.000000	0.000000
paleogene-fast-0	96	9448029	1.000000	0.000000
