# results from simulated data from project "project.tab"
# date: 2024-05-30T22:26:37-03:00
tree	node	age	pixels	farthest
triassic-avg-0	0	250814088	0.900000	0.052459
triassic-avg-0	1	151843995	1.000000	0.000000
triassic-avg-0	2	143325933	1.000000	0.000000
triassic-avg-0	4	32360007	1.000000	0.000000
triassic-avg-0	6	3327392	1.000000	0.000000
triassic-avg-0	9	105546366	1.000000	0.000000
triassic-avg-0	10	45896999	0.990000	0.052501
triassic-avg-0	12	18557343	1.000000	0.000000
triassic-avg-0	15	95526460	1.000000	0.000000
triassic-avg-0	17	50019458	1.000000	0.000000
triassic-avg-0	18	30700270	0.830000	0.062286
triassic-avg-0	21	30832276	1.000000	0.000000
triassic-avg-0	22	6277609	0.990000	0.052263
triassic-avg-0	25	3885399	0.970000	0.058208
triassic-avg-0	28	208467413	1.000000	0.000000
triassic-avg-0	29	101338255	1.000000	0.000000
triassic-avg-0	30	2816313	0.840000	0.152981
triassic-avg-0	33	82408931	1.000000	0.000000
triassic-avg-0	34	79535813	0.980000	0.052459
triassic-avg-0	35	50149995	0.980000	0.052709
triassic-avg-0	38	40414897	1.000000	0.000000
triassic-avg-0	41	50020643	1.000000	0.000000
triassic-avg-0	43	17997759	1.000000	0.000000
triassic-avg-0	45	11823634	1.000000	0.000000
triassic-avg-0	48	186273686	1.000000	0.000000
triassic-avg-0	49	93662171	0.580000	0.060279
triassic-avg-0	52	183899349	0.740000	0.053024
triassic-avg-0	53	156259529	1.000000	0.000000
triassic-avg-0	54	103616242	0.390000	0.103457
triassic-avg-0	55	13977011	1.000000	0.000000
triassic-avg-0	57	2829191	1.000000	0.000000
triassic-avg-0	60	60954264	1.000000	0.000000
triassic-avg-0	61	27299829	1.000000	0.000000
triassic-avg-0	64	57018571	1.000000	0.000000
triassic-avg-0	66	32102102	1.000000	0.000000
triassic-avg-0	69	153378697	1.000000	0.000000
triassic-avg-0	70	30234124	1.000000	0.000000
triassic-avg-0	73	115119921	1.000000	0.000000
triassic-avg-0	74	4137653	1.000000	0.000000
triassic-avg-0	77	48130241	1.000000	0.000000
triassic-avg-0	78	24084806	1.000000	0.000000
triassic-avg-0	80	13095040	1.000000	0.000000
triassic-avg-0	83	35752716	1.000000	0.000000
triassic-avg-0	84	12165009	1.000000	0.000000
triassic-avg-0	86	10039326	1.000000	0.000000
