# results from simulated data from project "project.tab"
# date: 2024-05-30T22:27:38-03:00
tree	node	age	pixels	farthest
triassic-fast-0	0	235396318	0.740000	0.074336
triassic-fast-0	1	202240711	0.990000	0.052373
triassic-fast-0	2	160068752	0.340000	0.112510
triassic-fast-0	3	40586073	0.960000	0.054519
triassic-fast-0	5	2716806	0.710000	0.214761
triassic-fast-0	8	62325065	0.550000	0.092615
triassic-fast-0	10	60832531	1.000000	0.000000
triassic-fast-0	12	12253733	0.070000	0.226775
triassic-fast-0	15	179449563	1.000000	0.000000
triassic-fast-0	16	96527600	0.630000	0.056422
triassic-fast-0	19	150456583	0.930000	0.052886
triassic-fast-0	21	125686695	0.900000	0.085518
triassic-fast-0	23	110546697	0.850000	0.083572
triassic-fast-0	24	96938932	0.570000	0.087029
triassic-fast-0	25	77358447	0.970000	0.052324
triassic-fast-0	28	66050891	0.910000	0.052319
triassic-fast-0	31	106036108	0.440000	0.108036
triassic-fast-0	32	72405184	0.740000	0.052653
triassic-fast-0	33	51036501	0.830000	0.055534
triassic-fast-0	36	34758912	0.980000	0.052319
triassic-fast-0	37	26422091	0.590000	0.115741
triassic-fast-0	39	24149758	0.950000	0.052373
triassic-fast-0	42	23229143	0.730000	0.138966
triassic-fast-0	44	13687220	0.970000	0.053372
triassic-fast-0	47	96259187	0.160000	0.126188
triassic-fast-0	49	90749872	0.490000	0.105981
triassic-fast-0	50	80326807	1.000000	0.000000
triassic-fast-0	52	66877205	0.770000	0.105056
triassic-fast-0	53	3673717	0.560000	0.094363
triassic-fast-0	56	16999303	1.000000	0.000000
triassic-fast-0	58	4095394	1.000000	0.000000
triassic-fast-0	61	70657905	0.900000	0.058536
triassic-fast-0	62	27330986	0.880000	0.071788
triassic-fast-0	64	25536037	0.420000	0.082432
triassic-fast-0	67	51834762	0.980000	0.052801
triassic-fast-0	68	43512923	0.950000	0.052801
triassic-fast-0	71	25852253	0.940000	0.057222
triassic-fast-0	72	7064487	1.000000	0.000000
triassic-fast-0	75	22129773	0.980000	0.052150
triassic-fast-0	77	3402281	0.990000	0.052546
triassic-fast-0	80	223600307	0.930000	0.052529
triassic-fast-0	81	124381552	0.910000	0.052801
triassic-fast-0	82	87766217	0.940000	0.053583
triassic-fast-0	84	47587182	1.000000	0.000000
triassic-fast-0	87	120443821	0.780000	0.052768
triassic-fast-0	88	11070004	1.000000	0.000000
triassic-fast-0	91	63368825	0.950000	0.052459
triassic-fast-0	93	7228763	0.550000	0.143318
triassic-fast-0	96	167734021	0.890000	0.052919
triassic-fast-0	97	129288702	0.940000	0.106576
triassic-fast-0	98	85111169	0.990000	0.052019
triassic-fast-0	100	56725207	0.700000	0.065106
triassic-fast-0	102	35573790	0.820000	0.052459
triassic-fast-0	104	28539206	0.760000	0.094363
triassic-fast-0	107	94448503	0.280000	0.134122
triassic-fast-0	109	53287442	1.000000	0.000000
triassic-fast-0	110	27763695	0.690000	0.152822
triassic-fast-0	113	33673342	1.000000	0.000000
triassic-fast-0	115	31177747	0.970000	0.052417
triassic-fast-0	117	24975579	0.900000	0.052417
triassic-fast-0	120	163680315	0.970000	0.057861
triassic-fast-0	121	35680677	0.740000	0.088636
triassic-fast-0	123	20752766	0.980000	0.052122
triassic-fast-0	126	156583651	0.890000	0.054995
triassic-fast-0	127	106350005	0.820000	0.056920
