# results from simulated data from project "project.tab"
# date: 2024-05-30T22:26:02-03:00
tree	node	age	pixels	farthest
triassic-slow-0	0	241293124	1.000000	0.000000
triassic-slow-0	1	151582112	0.970000	0.054619
triassic-slow-0	2	76032340	1.000000	0.000000
triassic-slow-0	4	15227712	0.990000	0.052546
triassic-slow-0	7	135154845	0.980000	0.052180
triassic-slow-0	9	80029250	1.000000	0.000000
triassic-slow-0	11	61915284	0.710000	0.164472
triassic-slow-0	13	7921325	0.780000	0.104870
triassic-slow-0	15	3671550	0.910000	0.104630
triassic-slow-0	18	185236210	0.900000	0.104889
triassic-slow-0	19	150413168	0.970000	0.052319
triassic-slow-0	21	18444427	0.950000	0.054942
triassic-slow-0	24	183887367	0.970000	0.059922
triassic-slow-0	25	105735932	1.000000	0.000000
triassic-slow-0	27	86656620	0.960000	0.196649
triassic-slow-0	28	14772686	0.960000	0.077683
triassic-slow-0	30	11723290	0.910000	0.094720
triassic-slow-0	33	64540973	1.000000	0.000000
triassic-slow-0	35	14217318	0.940000	0.143267
triassic-slow-0	36	13487125	0.950000	0.104978
triassic-slow-0	39	5256655	0.940000	0.106107
triassic-slow-0	42	152358660	0.890000	0.157261
triassic-slow-0	43	82026584	0.980000	0.052550
triassic-slow-0	44	21016119	0.940000	0.104491
triassic-slow-0	47	72905758	0.980000	0.055725
triassic-slow-0	49	43277226	0.980000	0.102538
triassic-slow-0	51	33965242	0.940000	0.104720
triassic-slow-0	53	30181205	0.960000	0.104747
triassic-slow-0	56	149058666	0.950000	0.104889
triassic-slow-0	57	96065217	1.000000	0.000000
triassic-slow-0	59	73174620	0.940000	0.100509
triassic-slow-0	61	15494132	0.970000	0.052546
triassic-slow-0	64	145719038	0.930000	0.104889
triassic-slow-0	65	131396777	0.960000	0.052501
triassic-slow-0	67	118724556	1.000000	0.000000
triassic-slow-0	69	107641469	1.000000	0.000000
triassic-slow-0	70	20238	1.000000	0.000000
triassic-slow-0	73	104555571	0.980000	0.052378
triassic-slow-0	74	86821643	0.990000	0.052005
triassic-slow-0	76	58276462	1.000000	0.000000
triassic-slow-0	78	20255573	0.990000	0.052459
triassic-slow-0	81	83559497	0.980000	0.052019
triassic-slow-0	82	36463947	0.950000	0.059246
triassic-slow-0	85	38765422	0.980000	0.094531
triassic-slow-0	86	1969638	0.990000	0.074333
triassic-slow-0	89	16329493	0.980000	0.052459
triassic-slow-0	91	8926485	0.940000	0.089985
triassic-slow-0	94	75708428	0.850000	0.105047
triassic-slow-0	95	17256897	0.950000	0.095422
triassic-slow-0	98	74112508	0.860000	0.105047
triassic-slow-0	99	67541207	0.870000	0.052501
triassic-slow-0	101	49948158	1.000000	0.000000
triassic-slow-0	102	49632897	1.000000	0.000000
triassic-slow-0	104	9401551	0.990000	0.053040
triassic-slow-0	107	14960952	0.950000	0.089366
triassic-slow-0	109	4815863	0.990000	0.052401
triassic-slow-0	112	70393546	0.870000	0.104889
triassic-slow-0	113	37308540	1.000000	0.000000
triassic-slow-0	116	69516171	0.830000	0.156647
triassic-slow-0	117	67876076	0.850000	0.157458
triassic-slow-0	119	29257507	1.000000	0.000000
triassic-slow-0	122	64558195	0.730000	0.157458
triassic-slow-0	123	2426791	0.980000	0.105459
triassic-slow-0	126	56614542	0.930000	0.157261
triassic-slow-0	128	32717675	0.910000	0.101537
triassic-slow-1	0	225454935	0.590000	0.124576
triassic-slow-1	1	193552447	0.580000	0.152026
triassic-slow-1	2	117960914	1.000000	0.000000
triassic-slow-1	4	117125076	0.910000	0.052320
triassic-slow-1	5	34717051	1.000000	0.000000
triassic-slow-1	8	7350360	0.210000	0.261545
triassic-slow-1	10	619170	0.870000	0.107318
triassic-slow-1	13	111061295	1.000000	0.000000
triassic-slow-1	14	50016121	0.980000	0.052382
triassic-slow-1	16	40975031	1.000000	0.000000
triassic-slow-1	17	14678431	0.080000	0.272822
triassic-slow-1	20	39286118	1.000000	0.000000
triassic-slow-1	22	7780456	1.000000	0.000000
triassic-slow-1	25	65793879	0.950000	0.060753
triassic-slow-1	26	10050702	0.750000	0.157458
triassic-slow-1	28	9099514	0.770000	0.157552
triassic-slow-1	31	55301160	0.780000	0.207150
triassic-slow-1	32	50636544	0.770000	0.105179
triassic-slow-1	34	34791389	0.980000	0.056673
triassic-slow-1	36	10963925	0.610000	0.210904
triassic-slow-1	38	9942710	0.740000	0.210801
triassic-slow-1	40	8782444	0.900000	0.149047
triassic-slow-1	43	27094034	0.960000	0.057659
triassic-slow-1	44	21783020	0.550000	0.174192
triassic-slow-1	47	24629351	0.820000	0.180248
triassic-slow-1	48	15392032	0.970000	0.114615
triassic-slow-1	51	11371432	0.860000	0.159441
triassic-slow-1	53	6143327	0.960000	0.106771
triassic-slow-1	56	212639520	0.590000	0.108471
triassic-slow-1	57	91717982	1.000000	0.000000
triassic-slow-1	58	47540808	0.970000	0.052801
triassic-slow-1	59	42096940	1.000000	0.000000
triassic-slow-1	62	14707928	1.000000	0.000000
triassic-slow-1	65	68452298	0.980000	0.052801
triassic-slow-1	66	20848153	1.000000	0.000000
triassic-slow-1	69	57092757	0.910000	0.062231
triassic-slow-1	71	19218394	1.000000	0.000000
triassic-slow-1	74	207267481	0.600000	0.106060
triassic-slow-1	75	97532402	0.840000	0.097341
triassic-slow-1	77	51606198	1.000000	0.000000
triassic-slow-1	78	25207084	0.860000	0.130566
triassic-slow-1	81	27292070	0.720000	0.150286
triassic-slow-1	83	22173369	0.990000	0.052342
triassic-slow-1	86	164487146	1.000000	0.000000
triassic-slow-1	87	133155927	0.010000	0.357368
triassic-slow-1	88	39065938	1.000000	0.000000
triassic-slow-1	90	16159140	0.970000	0.104943
triassic-slow-1	92	2158880	0.930000	0.104769
triassic-slow-1	95	20734657	0.960000	0.104831
triassic-slow-1	96	5519090	0.990000	0.052417
triassic-slow-1	99	1682507	0.960000	0.094370
triassic-slow-1	102	147296048	1.000000	0.000000
triassic-slow-1	103	99466139	1.000000	0.000000
triassic-slow-1	104	52195726	0.040000	0.386216
triassic-slow-1	107	54292643	1.000000	0.000000
triassic-slow-1	109	44512460	1.000000	0.000000
triassic-slow-1	110	24887799	1.000000	0.000000
triassic-slow-1	113	3278742	0.950000	0.182091
triassic-slow-1	116	132011930	0.940000	0.059032
triassic-slow-1	117	76067973	0.980000	0.052342
triassic-slow-1	119	74659763	0.990000	0.052263
triassic-slow-1	120	29956463	0.770000	0.209478
triassic-slow-1	122	4168524	1.000000	0.000000
triassic-slow-1	125	49435352	1.000000	0.000000
triassic-slow-1	127	41397279	1.000000	0.000000
triassic-slow-1	129	34019657	1.000000	0.000000
triassic-slow-1	132	110560331	0.830000	0.164807
triassic-slow-1	134	88805644	0.960000	0.052375
triassic-slow-1	136	85864264	0.860000	0.105459
triassic-slow-1	137	8682269	0.920000	0.098213
