# simulated lambda of project "project.tab"
# date: 2024-05-27T22:06:47-03:00
tree	lambda
triassic-avg-0	42.416659
triassic-avg-1	15.507033
triassic-avg-10	86.625642
triassic-avg-11	26.221234
triassic-avg-12	33.547779
triassic-avg-13	70.795080
triassic-avg-14	13.244118
triassic-avg-15	35.645333
triassic-avg-16	11.823298
triassic-avg-17	61.430280
triassic-avg-18	30.715682
triassic-avg-19	83.754288
triassic-avg-2	64.604957
triassic-avg-20	28.331433
triassic-avg-21	80.207037
triassic-avg-22	95.519374
triassic-avg-23	11.234266
triassic-avg-24	52.720323
triassic-avg-25	67.378647
triassic-avg-26	81.046549
triassic-avg-27	41.896416
triassic-avg-28	36.386264
triassic-avg-29	13.869510
triassic-avg-3	57.415122
triassic-avg-30	51.409604
triassic-avg-31	96.990008
triassic-avg-32	15.723282
triassic-avg-33	36.075407
triassic-avg-34	37.479312
triassic-avg-35	70.865469
triassic-avg-36	34.632225
triassic-avg-37	28.012844
triassic-avg-38	88.582697
triassic-avg-39	65.023346
triassic-avg-4	85.367859
triassic-avg-40	74.280794
triassic-avg-41	11.192547
triassic-avg-42	83.980073
triassic-avg-43	95.332039
triassic-avg-44	25.215318
triassic-avg-45	39.645158
triassic-avg-46	38.285925
triassic-avg-47	78.708298
triassic-avg-48	93.500454
triassic-avg-49	88.982275
triassic-avg-5	17.955279
triassic-avg-6	52.713997
triassic-avg-7	85.072819
triassic-avg-8	77.811241
triassic-avg-9	95.400340
