# time calibrated phylogenetic trees
# data saved on: 2024-05-27T22:06:47-03:00
tree	node	parent	age	taxon
triassic-avg-0	0	-1	250814088	
triassic-avg-0	1	0	151843995	
triassic-avg-0	2	1	143325933	
triassic-avg-0	3	2	0	Term13
triassic-avg-0	4	2	32360007	
triassic-avg-0	5	4	0	Term12
triassic-avg-0	6	4	3327392	
triassic-avg-0	7	6	0	Term10
triassic-avg-0	8	6	0	Term11
triassic-avg-0	9	1	105546366	
triassic-avg-0	10	9	45896999	
triassic-avg-0	11	10	0	Term0
triassic-avg-0	12	10	18557343	
triassic-avg-0	13	12	0	Term1
triassic-avg-0	14	12	0	Term2
triassic-avg-0	15	9	95526460	
triassic-avg-0	16	15	0	Term9
triassic-avg-0	17	15	50019458	
triassic-avg-0	18	17	30700270	
triassic-avg-0	19	18	0	Term7
triassic-avg-0	20	18	0	Term8
triassic-avg-0	21	17	30832276	
triassic-avg-0	22	21	6277609	
triassic-avg-0	23	22	0	Term5
triassic-avg-0	24	22	0	Term6
triassic-avg-0	25	21	3885399	
triassic-avg-0	26	25	0	Term3
triassic-avg-0	27	25	0	Term4
triassic-avg-0	28	0	208467413	
triassic-avg-0	29	28	101338255	
triassic-avg-0	30	29	2816313	
triassic-avg-0	31	30	0	Term73
triassic-avg-0	32	30	0	Term74
triassic-avg-0	33	29	82408931	
triassic-avg-0	34	33	79535813	
triassic-avg-0	35	34	50149995	
triassic-avg-0	36	35	0	Term69
triassic-avg-0	37	35	0	Term70
triassic-avg-0	38	34	40414897	
triassic-avg-0	39	38	0	Term71
triassic-avg-0	40	38	0	Term72
triassic-avg-0	41	33	50020643	
triassic-avg-0	42	41	0	Term65
triassic-avg-0	43	41	17997759	
triassic-avg-0	44	43	0	Term68
triassic-avg-0	45	43	11823634	
triassic-avg-0	46	45	0	Term66
triassic-avg-0	47	45	0	Term67
triassic-avg-0	48	28	186273686	
triassic-avg-0	49	48	93662171	
triassic-avg-0	50	49	0	Term63
triassic-avg-0	51	49	0	Term64
triassic-avg-0	52	48	183899349	
triassic-avg-0	53	52	156259529	
triassic-avg-0	54	53	103616242	
triassic-avg-0	55	54	13977011	
triassic-avg-0	56	55	0	Term62
triassic-avg-0	57	55	2829191	
triassic-avg-0	58	57	0	Term60
triassic-avg-0	59	57	0	Term61
triassic-avg-0	60	54	60954264	
triassic-avg-0	61	60	27299829	
triassic-avg-0	62	61	0	Term58
triassic-avg-0	63	61	0	Term59
triassic-avg-0	64	60	57018571	
triassic-avg-0	65	64	0	Term55
triassic-avg-0	66	64	32102102	
triassic-avg-0	67	66	0	Term56
triassic-avg-0	68	66	0	Term57
triassic-avg-0	69	53	153378697	
triassic-avg-0	70	69	30234124	
triassic-avg-0	71	70	0	Term41
triassic-avg-0	72	70	0	Term42
triassic-avg-0	73	69	115119921	
triassic-avg-0	74	73	4137653	
triassic-avg-0	75	74	0	Term43
triassic-avg-0	76	74	0	Term44
triassic-avg-0	77	73	48130241	
triassic-avg-0	78	77	24084806	
triassic-avg-0	79	78	0	Term47
triassic-avg-0	80	78	13095040	
triassic-avg-0	81	80	0	Term45
triassic-avg-0	82	80	0	Term46
triassic-avg-0	83	77	35752716	
triassic-avg-0	84	83	12165009	
triassic-avg-0	85	84	0	Term48
triassic-avg-0	86	84	10039326	
triassic-avg-0	87	86	0	Term49
triassic-avg-0	88	86	0	Term50
triassic-avg-0	89	83	30237508	
triassic-avg-0	90	89	0	Term54
triassic-avg-0	91	89	17006790	
triassic-avg-0	92	91	0	Term51
triassic-avg-0	93	91	15175285	
triassic-avg-0	94	93	0	Term52
triassic-avg-0	95	93	0	Term53
triassic-avg-0	96	52	158060694	
triassic-avg-0	97	96	134121956	
triassic-avg-0	98	97	0	Term16
triassic-avg-0	99	97	50337915	
triassic-avg-0	100	99	0	Term14
triassic-avg-0	101	99	0	Term15
triassic-avg-0	102	96	144083431	
triassic-avg-0	103	102	141159138	
triassic-avg-0	104	103	104928155	
triassic-avg-0	105	104	0	Term37
triassic-avg-0	106	104	0	Term38
triassic-avg-0	107	103	6677762	
triassic-avg-0	108	107	0	Term39
triassic-avg-0	109	107	0	Term40
triassic-avg-0	110	102	141676060	
triassic-avg-0	111	110	63497604	
triassic-avg-0	112	111	0	Term35
triassic-avg-0	113	111	0	Term36
triassic-avg-0	114	110	106638053	
triassic-avg-0	115	114	100441648	
triassic-avg-0	116	115	48288046	
triassic-avg-0	117	116	0	Term20
triassic-avg-0	118	116	0	Term21
triassic-avg-0	119	115	88485519	
triassic-avg-0	120	119	0	Term17
triassic-avg-0	121	119	40274924	
triassic-avg-0	122	121	0	Term18
triassic-avg-0	123	121	0	Term19
triassic-avg-0	124	114	90059722	
triassic-avg-0	125	124	86813066	
triassic-avg-0	126	125	0	Term30
triassic-avg-0	127	125	57219053	
triassic-avg-0	128	127	0	Term34
triassic-avg-0	129	127	28096873	
triassic-avg-0	130	129	0	Term31
triassic-avg-0	131	129	17102224	
triassic-avg-0	132	131	0	Term32
triassic-avg-0	133	131	0	Term33
triassic-avg-0	134	124	45732938	
triassic-avg-0	135	134	0	Term29
triassic-avg-0	136	134	38334446	
triassic-avg-0	137	136	20162578	
triassic-avg-0	138	137	0	Term28
triassic-avg-0	139	137	15540968	
triassic-avg-0	140	139	0	Term26
triassic-avg-0	141	139	0	Term27
triassic-avg-0	142	136	30129361	
triassic-avg-0	143	142	0	Term22
triassic-avg-0	144	142	23838150	
triassic-avg-0	145	144	0	Term25
triassic-avg-0	146	144	5841052	
triassic-avg-0	147	146	0	Term23
triassic-avg-0	148	146	0	Term24
triassic-avg-1	0	-1	227335076	
triassic-avg-1	1	0	165433398	
triassic-avg-1	2	1	81857179	
triassic-avg-1	3	2	23753811	
triassic-avg-1	4	3	0	Term13
triassic-avg-1	5	3	0	Term14
triassic-avg-1	6	2	48998864	
triassic-avg-1	7	6	39849666	
triassic-avg-1	8	7	0	Term18
triassic-avg-1	9	7	0	Term19
triassic-avg-1	10	6	9717918	
triassic-avg-1	11	10	0	Term15
triassic-avg-1	12	10	7479249	
triassic-avg-1	13	12	0	Term16
triassic-avg-1	14	12	0	Term17
triassic-avg-1	15	1	151259137	
triassic-avg-1	16	15	135763467	
triassic-avg-1	17	16	0	Term0
triassic-avg-1	18	16	108262951	
triassic-avg-1	19	18	0	Term1
triassic-avg-1	20	18	0	Term2
triassic-avg-1	21	15	110870432	
triassic-avg-1	22	21	0	Term3
triassic-avg-1	23	21	96138417	
triassic-avg-1	24	23	0	Term12
triassic-avg-1	25	23	76402938	
triassic-avg-1	26	25	0	Term11
triassic-avg-1	27	25	54923804	
triassic-avg-1	28	27	36505327	
triassic-avg-1	29	28	0	Term8
triassic-avg-1	30	28	11163668	
triassic-avg-1	31	30	0	Term10
triassic-avg-1	32	30	0	Term9
triassic-avg-1	33	27	36124633	
triassic-avg-1	34	33	0	Term7
triassic-avg-1	35	33	34582258	
triassic-avg-1	36	35	0	Term6
triassic-avg-1	37	35	32556415	
triassic-avg-1	38	37	0	Term4
triassic-avg-1	39	37	0	Term5
triassic-avg-1	40	0	209153161	
triassic-avg-1	41	40	151835193	
triassic-avg-1	42	41	0	Term94
triassic-avg-1	43	41	151157998	
triassic-avg-1	44	43	53096579	
triassic-avg-1	45	44	0	Term86
triassic-avg-1	46	44	0	Term87
triassic-avg-1	47	43	50237956	
triassic-avg-1	48	47	0	Term93
triassic-avg-1	49	47	41862101	
triassic-avg-1	50	49	0	Term88
triassic-avg-1	51	49	27175973	
triassic-avg-1	52	51	0	Term92
triassic-avg-1	53	51	11250520	
triassic-avg-1	54	53	0	Term89
triassic-avg-1	55	53	5672202	
triassic-avg-1	56	55	0	Term90
triassic-avg-1	57	55	0	Term91
triassic-avg-1	58	40	175431521	
triassic-avg-1	59	58	160063213	
triassic-avg-1	60	59	113042716	
triassic-avg-1	61	60	0	Term78
triassic-avg-1	62	60	15265042	
triassic-avg-1	63	62	0	Term81
triassic-avg-1	64	62	15168069	
triassic-avg-1	65	64	0	Term79
triassic-avg-1	66	64	0	Term80
triassic-avg-1	67	59	109699417	
triassic-avg-1	68	67	0	Term85
triassic-avg-1	69	67	50230981	
triassic-avg-1	70	69	0	Term82
triassic-avg-1	71	69	16465062	
triassic-avg-1	72	71	0	Term83
triassic-avg-1	73	71	0	Term84
triassic-avg-1	74	58	154807872	
triassic-avg-1	75	74	41807661	
triassic-avg-1	76	75	0	Term20
triassic-avg-1	77	75	0	Term21
triassic-avg-1	78	74	147387416	
triassic-avg-1	79	78	138555338	
triassic-avg-1	80	79	0	Term24
triassic-avg-1	81	79	40321857	
triassic-avg-1	82	81	0	Term22
triassic-avg-1	83	81	0	Term23
triassic-avg-1	84	78	143840335	
triassic-avg-1	85	84	111228191	
triassic-avg-1	86	85	0	Term74
triassic-avg-1	87	85	93697356	
triassic-avg-1	88	87	0	Term77
triassic-avg-1	89	87	20276013	
triassic-avg-1	90	89	0	Term75
triassic-avg-1	91	89	0	Term76
triassic-avg-1	92	84	103658472	
