# results from simulated data from project "project.tab"
# date: 2024-05-28T17:41:58-03:00
tree	terms	rootAge	lambda	ml-lambda
triassic-slow-0	66	241.293	718.743668	1411.523438
triassic-slow-1	77	225.455	155.624829	305.078125
triassic-slow-10	59	212.448	995.007881	3821.191406
triassic-slow-11	89	222.146	480.070273	759.179688
triassic-slow-12	58	220.388	533.232958	1108.789062
triassic-slow-13	69	201.051	150.068092	192.773438
triassic-slow-14	75	210.149	730.549871	1308.496094
triassic-slow-15	77	245.085	527.131588	1574.609375
triassic-slow-16	96	231.035	678.561566	1910.058594
triassic-slow-17	63	237.734	880.957011	1847.558594
triassic-slow-18	73	218.902	293.192654	665.917969
triassic-slow-19	56	219.160	677.688592	1225.488281
triassic-slow-2	75	204.381	924.872641	4241.113281
triassic-slow-20	77	234.420	804.823191	1433.496094
triassic-slow-21	57	234.373	267.210818	317.285156
triassic-slow-22	51	245.295	282.651182	451.074219
triassic-slow-23	59	219.232	735.006485	1958.398438
triassic-slow-24	92	224.592	591.255169	726.953125
triassic-slow-25	64	219.276	391.762372	489.648438
triassic-slow-26	64	215.165	796.261408	1493.554688
triassic-slow-27	73	242.323	509.631650	1208.886719
triassic-slow-28	72	234.303	319.738125	1169.335938
triassic-slow-29	55	210.242	332.627275	430.078125
triassic-slow-3	50	202.419	887.044222	5289.941406
triassic-slow-30	86	224.941	223.510875	338.769531
triassic-slow-31	89	221.524	998.634185	4158.593750
triassic-slow-32	70	248.863	414.497672	733.789062
triassic-slow-33	64	230.763	731.234665	2189.843750
triassic-slow-34	86	214.364	767.609042	1706.933594
triassic-slow-35	79	210.052	238.613414	458.886719
triassic-slow-36	69	242.696	515.353780	981.347656
triassic-slow-37	57	209.338	239.436571	309.960938
triassic-slow-38	65	228.300	734.869628	2714.257812
triassic-slow-39	53	206.713	295.431481	380.273438
triassic-slow-4	78	227.386	272.586124	416.894531
triassic-slow-40	54	213.735	919.016915	1673.242188
triassic-slow-41	62	208.976	524.404942	1492.578125
triassic-slow-42	73	239.116	252.094794	475.000000
triassic-slow-43	61	245.404	567.679484	1587.792969
triassic-slow-44	59	244.425	920.565141	2011.621094
triassic-slow-45	74	240.121	528.814038	902.734375
triassic-slow-46	60	235.931	596.978388	794.335938
triassic-slow-47	56	212.237	634.591309	1375.390625
triassic-slow-48	74	248.435	540.770477	1244.042969
triassic-slow-49	57	234.575	671.607213	1057.519531
triassic-slow-5	59	249.334	940.818790	4624.902344
triassic-slow-6	61	235.931	614.565490	1890.039062
triassic-slow-7	56	244.553	667.849203	1473.046875
triassic-slow-8	51	209.437	648.521128	1942.285156
triassic-slow-9	85	213.481	733.202257	2572.656250
