# time calibrated phylogenetic trees
# data saved on: 2024-05-27T22:00:05-03:00
tree	node	parent	age	taxon
triassic-slow-0	0	-1	241293124	
triassic-slow-0	1	0	151582112	
triassic-slow-0	2	1	76032340	
triassic-slow-0	3	2	0	Term57
triassic-slow-0	4	2	15227712	
triassic-slow-0	5	4	0	Term58
triassic-slow-0	6	4	0	Term59
triassic-slow-0	7	1	135154845	
triassic-slow-0	8	7	0	Term65
triassic-slow-0	9	7	80029250	
triassic-slow-0	10	9	0	Term64
triassic-slow-0	11	9	61915284	
triassic-slow-0	12	11	0	Term63
triassic-slow-0	13	11	7921325	
triassic-slow-0	14	13	0	Term60
triassic-slow-0	15	13	3671550	
triassic-slow-0	16	15	0	Term61
triassic-slow-0	17	15	0	Term62
triassic-slow-0	18	0	185236210	
triassic-slow-0	19	18	150413168	
triassic-slow-0	20	19	0	Term54
triassic-slow-0	21	19	18444427	
triassic-slow-0	22	21	0	Term55
triassic-slow-0	23	21	0	Term56
triassic-slow-0	24	18	183887367	
triassic-slow-0	25	24	105735932	
triassic-slow-0	26	25	0	Term45
triassic-slow-0	27	25	86656620	
triassic-slow-0	28	27	14772686	
triassic-slow-0	29	28	0	Term46
triassic-slow-0	30	28	11723290	
triassic-slow-0	31	30	0	Term47
triassic-slow-0	32	30	0	Term48
triassic-slow-0	33	27	64540973	
triassic-slow-0	34	33	0	Term53
triassic-slow-0	35	33	14217318	
triassic-slow-0	36	35	13487125	
triassic-slow-0	37	36	0	Term51
triassic-slow-0	38	36	0	Term52
triassic-slow-0	39	35	5256655	
triassic-slow-0	40	39	0	Term49
triassic-slow-0	41	39	0	Term50
triassic-slow-0	42	24	152358660	
triassic-slow-0	43	42	82026584	
triassic-slow-0	44	43	21016119	
triassic-slow-0	45	44	0	Term43
triassic-slow-0	46	44	0	Term44
triassic-slow-0	47	43	72905758	
triassic-slow-0	48	47	0	Term42
triassic-slow-0	49	47	43277226	
triassic-slow-0	50	49	0	Term41
triassic-slow-0	51	49	33965242	
triassic-slow-0	52	51	0	Term40
triassic-slow-0	53	51	30181205	
triassic-slow-0	54	53	0	Term38
triassic-slow-0	55	53	0	Term39
triassic-slow-0	56	42	149058666	
triassic-slow-0	57	56	96065217	
triassic-slow-0	58	57	0	Term0
triassic-slow-0	59	57	73174620	
triassic-slow-0	60	59	0	Term1
triassic-slow-0	61	59	15494132	
triassic-slow-0	62	61	0	Term2
triassic-slow-0	63	61	0	Term3
triassic-slow-0	64	56	145719038	
triassic-slow-0	65	64	131396777	
triassic-slow-0	66	65	0	Term18
triassic-slow-0	67	65	118724556	
triassic-slow-0	68	67	0	Term4
triassic-slow-0	69	67	107641469	
triassic-slow-0	70	69	20238	
triassic-slow-0	71	70	0	Term16
triassic-slow-0	72	70	0	Term17
triassic-slow-0	73	69	104555571	
triassic-slow-0	74	73	86821643	
triassic-slow-0	75	74	0	Term8
triassic-slow-0	76	74	58276462	
triassic-slow-0	77	76	0	Term5
triassic-slow-0	78	76	20255573	
triassic-slow-0	79	78	0	Term6
triassic-slow-0	80	78	0	Term7
triassic-slow-0	81	73	83559497	
triassic-slow-0	82	81	36463947	
triassic-slow-0	83	82	0	Term14
triassic-slow-0	84	82	0	Term15
triassic-slow-0	85	81	38765422	
triassic-slow-0	86	85	1969638	
triassic-slow-0	87	86	0	Term12
triassic-slow-0	88	86	0	Term13
triassic-slow-0	89	85	16329493	
triassic-slow-0	90	89	0	Term9
triassic-slow-0	91	89	8926485	
triassic-slow-0	92	91	0	Term10
triassic-slow-0	93	91	0	Term11
triassic-slow-0	94	64	75708428	
triassic-slow-0	95	94	17256897	
triassic-slow-0	96	95	0	Term36
triassic-slow-0	97	95	0	Term37
triassic-slow-0	98	94	74112508	
triassic-slow-0	99	98	67541207	
triassic-slow-0	100	99	0	Term35
triassic-slow-0	101	99	49948158	
triassic-slow-0	102	101	49632897	
triassic-slow-0	103	102	0	Term34
triassic-slow-0	104	102	9401551	
