# results from simulated data from project "project.tab"
# date: 2024-05-21T11:40:55-03:00
tree	terms	rootAge	lambda	ml-lambda
cretaceous-avg-0	78	120.527	61.051191	77.050781
cretaceous-avg-1	87	85.027	55.241044	68.750000
cretaceous-avg-10	88	98.606	24.865123	39.453125
cretaceous-avg-11	64	117.137	43.901103	58.984375
cretaceous-avg-12	93	128.354	52.425366	57.519531
cretaceous-avg-13	53	124.507	95.579096	160.058594
cretaceous-avg-14	92	142.818	86.172251	85.351562
cretaceous-avg-15	52	135.122	41.720343	47.265625
cretaceous-avg-16	82	110.427	84.759640	109.277344
cretaceous-avg-17	57	112.331	96.512560	104.394531
cretaceous-avg-18	54	77.699	79.904364	117.089844
cretaceous-avg-19	68	84.099	47.835124	72.167969
cretaceous-avg-2	56	76.983	58.303346	62.402344
cretaceous-avg-20	88	109.305	50.236434	51.171875
cretaceous-avg-21	63	76.627	17.105052	15.039062
cretaceous-avg-22	71	140.896	60.620385	79.980469
cretaceous-avg-23	86	78.177	96.730907	130.273438
cretaceous-avg-24	69	99.368	90.751802	94.140625
cretaceous-avg-25	85	67.352	23.978071	23.828125
cretaceous-avg-26	69	134.973	21.292032	17.480469
cretaceous-avg-27	100	70.316	97.896387	146.875000
cretaceous-avg-28	81	104.154	68.444433	100.488281
cretaceous-avg-29	60	68.932	71.636250	97.558594
cretaceous-avg-3	95	114.722	59.813119	57.519531
cretaceous-avg-30	79	144.615	14.170769	19.921875
cretaceous-avg-31	70	83.016	54.226945	91.699219
cretaceous-avg-32	98	114.990	21.652669	28.222656
cretaceous-avg-33	88	134.500	87.432362	91.210938
cretaceous-avg-34	51	95.402	42.125673	48.730469
cretaceous-avg-35	52	116.453	30.236219	33.593750
cretaceous-avg-36	51	104.155	34.082687	48.730469
cretaceous-avg-37	73	94.742	87.427586	117.578125
cretaceous-avg-38	99	95.786	33.389141	37.988281
cretaceous-avg-39	90	78.682	36.088848	45.312500
cretaceous-avg-4	89	96.947	78.297535	81.445312
cretaceous-avg-40	58	95.531	31.428340	35.058594
cretaceous-avg-41	85	143.012	86.836815	102.441406
cretaceous-avg-42	94	99.785	36.481825	51.171875
cretaceous-avg-43	87	86.773	42.205845	42.382812
cretaceous-avg-44	74	103.883	21.014073	27.734375
cretaceous-avg-45	98	104.195	82.475446	101.464844
cretaceous-avg-46	60	71.049	62.085987	87.792969
cretaceous-avg-47	94	72.393	79.047869	135.644531
cretaceous-avg-48	59	104.525	56.550997	81.445312
cretaceous-avg-49	74	134.946	17.004833	15.039062
cretaceous-avg-5	52	76.396	82.784200	100.976562
cretaceous-avg-6	67	113.005	91.696037	83.398438
cretaceous-avg-7	51	116.972	13.271655	13.085938
cretaceous-avg-8	81	125.567	60.853792	73.632812
cretaceous-avg-9	68	96.995	89.550192	99.023438
