# simulated lambda of project "project.tab"
# date: 2024-05-20T21:47:54-03:00
tree	lambda
cretaceous-avg-0	61.051191
cretaceous-avg-1	55.241044
cretaceous-avg-10	24.865123
cretaceous-avg-11	43.901103
cretaceous-avg-12	52.425366
cretaceous-avg-13	95.579096
cretaceous-avg-14	86.172251
cretaceous-avg-15	41.720343
cretaceous-avg-16	84.759640
cretaceous-avg-17	96.512560
cretaceous-avg-18	79.904364
cretaceous-avg-19	47.835124
cretaceous-avg-2	58.303346
cretaceous-avg-20	50.236434
cretaceous-avg-21	17.105052
cretaceous-avg-22	60.620385
cretaceous-avg-23	96.730907
cretaceous-avg-24	90.751802
cretaceous-avg-25	23.978071
cretaceous-avg-26	21.292032
cretaceous-avg-27	97.896387
cretaceous-avg-28	68.444433
cretaceous-avg-29	71.636250
cretaceous-avg-3	59.813119
cretaceous-avg-30	14.170769
cretaceous-avg-31	54.226945
cretaceous-avg-32	21.652669
cretaceous-avg-33	87.432362
cretaceous-avg-34	42.125673
cretaceous-avg-35	30.236219
cretaceous-avg-36	34.082687
cretaceous-avg-37	87.427586
cretaceous-avg-38	33.389141
cretaceous-avg-39	36.088848
cretaceous-avg-4	78.297535
cretaceous-avg-40	31.428340
cretaceous-avg-41	86.836815
cretaceous-avg-42	36.481825
cretaceous-avg-43	42.205845
cretaceous-avg-44	21.014073
cretaceous-avg-45	82.475446
cretaceous-avg-46	62.085987
cretaceous-avg-47	79.047869
cretaceous-avg-48	56.550997
cretaceous-avg-49	17.004833
cretaceous-avg-5	82.784200
cretaceous-avg-6	91.696037
cretaceous-avg-7	13.271655
cretaceous-avg-8	60.853792
cretaceous-avg-9	89.550192
