# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:47:54-03:00
tree	node	parent	age	taxon
cretaceous-avg-0	0	-1	120527439	
cretaceous-avg-0	1	0	78740943	
cretaceous-avg-0	2	1	25696617	
cretaceous-avg-0	3	2	0	Term5
cretaceous-avg-0	4	2	21621528	
cretaceous-avg-0	5	4	0	Term0
cretaceous-avg-0	6	4	12638456	
cretaceous-avg-0	7	6	7892734	
cretaceous-avg-0	8	7	0	Term1
cretaceous-avg-0	9	7	0	Term2
cretaceous-avg-0	10	6	5003471	
cretaceous-avg-0	11	10	0	Term3
cretaceous-avg-0	12	10	0	Term4
cretaceous-avg-0	13	1	77453504	
cretaceous-avg-0	14	13	29807943	
cretaceous-avg-0	15	14	27863344	
cretaceous-avg-0	16	15	0	Term6
cretaceous-avg-0	17	15	0	Term7
cretaceous-avg-0	18	14	11989756	
cretaceous-avg-0	19	18	0	Term8
cretaceous-avg-0	20	18	0	Term9
cretaceous-avg-0	21	13	59163604	
cretaceous-avg-0	22	21	57876829	
cretaceous-avg-0	23	22	29732031	
cretaceous-avg-0	24	23	0	Term21
cretaceous-avg-0	25	23	0	Term22
cretaceous-avg-0	26	22	30142456	
cretaceous-avg-0	27	26	15506065	
cretaceous-avg-0	28	27	0	Term23
cretaceous-avg-0	29	27	0	Term24
cretaceous-avg-0	30	26	2632408	
cretaceous-avg-0	31	30	0	Term25
cretaceous-avg-0	32	30	0	Term26
cretaceous-avg-0	33	21	55121795	
cretaceous-avg-0	34	33	36892968	
cretaceous-avg-0	35	34	0	Term10
cretaceous-avg-0	36	34	0	Term11
cretaceous-avg-0	37	33	51871360	
cretaceous-avg-0	38	37	0	Term20
cretaceous-avg-0	39	37	39822773	
cretaceous-avg-0	40	39	18075674	
cretaceous-avg-0	41	40	0	Term18
cretaceous-avg-0	42	40	0	Term19
cretaceous-avg-0	43	39	38445072	
cretaceous-avg-0	44	43	29634259	
cretaceous-avg-0	45	44	0	Term16
cretaceous-avg-0	46	44	0	Term17
cretaceous-avg-0	47	43	38308047	
cretaceous-avg-0	48	47	0	Term12
cretaceous-avg-0	49	47	8262417	
cretaceous-avg-0	50	49	0	Term13
cretaceous-avg-0	51	49	1895906	
cretaceous-avg-0	52	51	0	Term14
cretaceous-avg-0	53	51	0	Term15
cretaceous-avg-0	54	0	120446567	
cretaceous-avg-0	55	54	105129989	
cretaceous-avg-0	56	55	0	Term77
cretaceous-avg-0	57	55	91199117	
cretaceous-avg-0	58	57	34992826	
cretaceous-avg-0	59	58	0	Term59
cretaceous-avg-0	60	58	31131191	
cretaceous-avg-0	61	60	10501046	
cretaceous-avg-0	62	61	0	Term55
cretaceous-avg-0	63	61	0	Term56
cretaceous-avg-0	64	60	2844064	
cretaceous-avg-0	65	64	0	Term57
cretaceous-avg-0	66	64	0	Term58
cretaceous-avg-0	67	57	54465128	
cretaceous-avg-0	68	67	39311103	
cretaceous-avg-0	69	68	27562867	
cretaceous-avg-0	70	69	3491330	
cretaceous-avg-0	71	70	0	Term75
cretaceous-avg-0	72	70	0	Term76
cretaceous-avg-0	73	69	2145611	
cretaceous-avg-0	74	73	0	Term73
cretaceous-avg-0	75	73	0	Term74
cretaceous-avg-0	76	68	6445767	
cretaceous-avg-0	77	76	0	Term72
cretaceous-avg-0	78	76	4925732	
cretaceous-avg-0	79	78	0	Term71
cretaceous-avg-0	80	78	1052539	
cretaceous-avg-0	81	80	0	Term69
cretaceous-avg-0	82	80	0	Term70
cretaceous-avg-0	83	67	47909323	
cretaceous-avg-0	84	83	34208534	
cretaceous-avg-0	85	84	0	Term63
cretaceous-avg-0	86	84	11593304	
cretaceous-avg-0	87	86	0	Term62
cretaceous-avg-0	88	86	3360651	
cretaceous-avg-0	89	88	0	Term60
cretaceous-avg-0	90	88	0	Term61
cretaceous-avg-0	91	83	18278504	
cretaceous-avg-0	92	91	0	Term68
cretaceous-avg-0	93	91	10906853	
cretaceous-avg-0	94	93	6749325	
cretaceous-avg-0	95	94	0	Term64
cretaceous-avg-0	96	94	0	Term65
cretaceous-avg-0	97	93	2769190	
cretaceous-avg-0	98	97	0	Term66
cretaceous-avg-0	99	97	0	Term67
cretaceous-avg-0	100	54	96601764	
cretaceous-avg-0	101	100	68626869	
cretaceous-avg-0	102	101	27492416	
cretaceous-avg-0	103	102	0	Term53
cretaceous-avg-0	104	102	0	Term54
cretaceous-avg-0	105	101	21493070	
cretaceous-avg-0	106	105	17842046	
cretaceous-avg-0	107	106	0	Term51
cretaceous-avg-0	108	106	0	Term52
cretaceous-avg-0	109	105	6624442	
cretaceous-avg-0	110	109	0	Term48
cretaceous-avg-0	111	109	4957549	
cretaceous-avg-0	112	111	0	Term49
cretaceous-avg-0	113	111	0	Term50
cretaceous-avg-0	114	100	81787672	
cretaceous-avg-0	115	114	44995059	
cretaceous-avg-0	116	115	0	Term47
cretaceous-avg-0	117	115	27495232	
cretaceous-avg-0	118	117	0	Term45
cretaceous-avg-0	119	117	0	Term46
cretaceous-avg-0	120	114	74461668	
cretaceous-avg-0	121	120	0	Term27
cretaceous-avg-0	122	120	64235769	
cretaceous-avg-0	123	122	38901170	
cretaceous-avg-0	124	123	26944259	
cretaceous-avg-0	125	124	0	Term38
cretaceous-avg-0	126	124	0	Term39
cretaceous-avg-0	127	123	36736410	
cretaceous-avg-0	128	127	0	Term40
cretaceous-avg-0	129	127	9959157	
cretaceous-avg-0	130	129	0	Term41
cretaceous-avg-0	131	129	6413206	
cretaceous-avg-0	132	131	0	Term44
cretaceous-avg-0	133	131	5675570	
cretaceous-avg-0	134	133	0	Term42
cretaceous-avg-0	135	133	0	Term43
cretaceous-avg-0	136	122	54356717	
cretaceous-avg-0	137	136	32053103	
cretaceous-avg-0	138	137	0	Term34
cretaceous-avg-0	139	137	25488307	
cretaceous-avg-0	140	139	0	Term35
cretaceous-avg-0	141	139	11399705	
cretaceous-avg-0	142	141	0	Term36
cretaceous-avg-0	143	141	0	Term37
cretaceous-avg-0	144	136	47852191	
cretaceous-avg-0	145	144	16732906	
cretaceous-avg-0	146	145	0	Term32
cretaceous-avg-0	147	145	0	Term33
cretaceous-avg-0	148	144	28563614	
cretaceous-avg-0	149	148	25262941	
cretaceous-avg-0	150	149	0	Term28
cretaceous-avg-0	151	149	0	Term29
cretaceous-avg-0	152	148	7118205	
cretaceous-avg-0	153	152	0	Term30
cretaceous-avg-0	154	152	0	Term31
