# results from simulated data from project "project.tab"
# date: 2024-05-21T13:17:01-03:00
tree	terms	rootAge	lambda	ml-lambda
cretaceous-fast-0	59	117.049	9.679806	12.597656
cretaceous-fast-1	56	87.316	8.687439	15.039062
cretaceous-fast-10	56	113.018	8.816815	14.062500
cretaceous-fast-11	58	91.670	4.030346	4.785156
cretaceous-fast-12	86	134.065	4.384594	5.273438
cretaceous-fast-13	59	70.711	5.457767	8.691406
cretaceous-fast-14	99	109.262	3.473538	2.343750
cretaceous-fast-15	82	113.118	1.313618	5.761719
cretaceous-fast-16	71	85.763	3.769775	3.320312
cretaceous-fast-17	85	71.027	9.209717	7.714844
cretaceous-fast-18	100	132.699	2.151569	0.878906
cretaceous-fast-19	97	134.341	3.826389	2.832031
cretaceous-fast-2	62	94.877	3.188268	3.320312
cretaceous-fast-20	59	124.634	5.207874	4.296875
cretaceous-fast-21	80	109.455	5.787243	7.226562
cretaceous-fast-22	68	92.250	3.887853	3.320312
cretaceous-fast-23	82	140.475	8.292891	10.644531
cretaceous-fast-24	85	66.506	8.483998	7.226562
cretaceous-fast-25	71	139.571	4.448868	12.109375
cretaceous-fast-26	72	91.196	5.540678	9.179688
cretaceous-fast-27	76	137.972	3.316116	3.808594
cretaceous-fast-28	76	106.807	7.002473	11.621094
cretaceous-fast-29	79	113.510	7.283834	7.714844
cretaceous-fast-3	54	102.682	9.824629	9.667969
cretaceous-fast-30	74	112.495	6.742311	9.667969
cretaceous-fast-31	60	138.317	7.753330	8.203125
cretaceous-fast-32	56	86.201	6.846272	6.250000
cretaceous-fast-33	72	100.508	3.798803	4.785156
cretaceous-fast-34	82	111.549	6.091150	11.132812
cretaceous-fast-35	61	89.472	5.089773	4.296875
cretaceous-fast-36	54	144.773	2.722304	2.343750
cretaceous-fast-37	83	122.461	7.838831	13.085938
cretaceous-fast-38	61	78.204	1.353388	1.855469
cretaceous-fast-39	77	79.180	3.409615	3.320312
cretaceous-fast-4	74	141.102	2.157888	2.832031
cretaceous-fast-40	52	91.537	7.235173	12.597656
cretaceous-fast-41	84	105.915	6.745742	4.296875
cretaceous-fast-42	74	80.157	6.578738	6.738281
cretaceous-fast-43	75	66.810	7.690253	10.644531
cretaceous-fast-44	71	66.322	9.827384	17.480469
cretaceous-fast-45	79	124.521	1.070031	2.832031
cretaceous-fast-46	50	95.560	7.269285	13.574219
cretaceous-fast-47	63	92.098	3.307351	3.320312
cretaceous-fast-48	59	82.118	2.309539	2.832031
cretaceous-fast-49	93	141.639	1.098018	0.390625
cretaceous-fast-5	78	136.199	1.090617	0.878906
cretaceous-fast-6	64	88.218	8.324511	9.179688
cretaceous-fast-7	60	107.378	3.055876	2.343750
cretaceous-fast-8	74	72.832	6.664733	4.296875
cretaceous-fast-9	59	137.332	1.142342	1.367188
