# results from simulated data from project "project.tab"
# date: 2024-05-21T09:51:33-03:00
tree	terms	rootAge	lambda	ml-lambda
cretaceous-slow-0	51	90.482	538.414158	811.914062
cretaceous-slow-1	99	93.059	887.359918	2163.964844
cretaceous-slow-10	68	130.370	397.417232	650.781250
cretaceous-slow-11	85	111.446	163.672000	179.101562
cretaceous-slow-12	59	88.828	693.577374	1975.976562
cretaceous-slow-13	64	122.109	118.124404	132.226562
cretaceous-slow-14	87	111.390	592.440352	1242.578125
cretaceous-slow-15	55	119.332	676.685023	1677.636719
cretaceous-slow-16	65	113.077	202.790297	298.242188
cretaceous-slow-17	88	141.705	306.082161	367.089844
cretaceous-slow-18	93	68.816	773.496807	1458.398438
cretaceous-slow-19	60	72.567	497.330261	1174.218750
cretaceous-slow-2	92	74.946	331.890915	804.589844
cretaceous-slow-20	54	77.526	679.007775	2083.886719
cretaceous-slow-21	83	121.114	201.732871	291.406250
cretaceous-slow-22	55	133.490	393.117566	499.414062
cretaceous-slow-23	59	97.521	647.059377	1266.992188
cretaceous-slow-24	55	69.565	945.045074	4298.730469
cretaceous-slow-25	56	85.451	595.890220	1140.527344
cretaceous-slow-26	66	97.193	326.336806	484.765625
cretaceous-slow-27	79	140.224	341.099446	534.082031
cretaceous-slow-28	58	89.086	719.282865	1269.921875
cretaceous-slow-29	62	109.394	732.054749	1138.085938
cretaceous-slow-3	57	89.465	376.873316	826.562500
cretaceous-slow-30	80	131.860	326.985519	521.875000
cretaceous-slow-31	57	128.663	824.434784	1592.187500
cretaceous-slow-32	51	128.402	440.383053	1104.882812
cretaceous-slow-33	51	70.854	163.970471	254.785156
cretaceous-slow-34	57	115.454	738.387739	1634.667969
cretaceous-slow-35	83	119.763	376.415327	742.089844
cretaceous-slow-36	52	106.203	271.790645	344.628906
cretaceous-slow-37	96	108.464	600.076172	953.027344
cretaceous-slow-38	80	138.757	663.575011	1275.781250
cretaceous-slow-39	81	99.673	716.430423	1862.695312
cretaceous-slow-4	50	117.906	255.542655	304.589844
cretaceous-slow-40	86	131.967	596.938028	1186.425781
cretaceous-slow-41	66	122.211	396.399655	779.687500
cretaceous-slow-42	86	101.067	871.936763	1895.898438
cretaceous-slow-43	63	78.771	440.140114	847.070312
cretaceous-slow-44	90	73.307	355.458415	600.000000
cretaceous-slow-45	68	115.254	720.127097	1178.613281
cretaceous-slow-46	51	89.157	641.915377	1530.664062
cretaceous-slow-47	77	83.847	774.843079	2250.878906
cretaceous-slow-48	55	106.119	151.945077	212.792969
cretaceous-slow-49	72	74.484	867.403060	2703.515625
cretaceous-slow-5	57	91.947	705.160046	903.222656
cretaceous-slow-6	52	120.568	167.284426	164.453125
cretaceous-slow-7	56	109.891	865.414111	1458.398438
cretaceous-slow-8	82	118.354	622.435613	1474.511719
cretaceous-slow-9	88	78.124	473.620333	734.765625
