# simulated lambda of project "project.tab"
# date: 2024-05-20T21:46:23-03:00
tree	lambda
cretaceous-slow-0	538.414158
cretaceous-slow-1	887.359918
cretaceous-slow-10	397.417232
cretaceous-slow-11	163.672000
cretaceous-slow-12	693.577374
cretaceous-slow-13	118.124404
cretaceous-slow-14	592.440352
cretaceous-slow-15	676.685023
cretaceous-slow-16	202.790297
cretaceous-slow-17	306.082161
cretaceous-slow-18	773.496807
cretaceous-slow-19	497.330261
cretaceous-slow-2	331.890915
cretaceous-slow-20	679.007775
cretaceous-slow-21	201.732871
cretaceous-slow-22	393.117566
cretaceous-slow-23	647.059377
cretaceous-slow-24	945.045074
cretaceous-slow-25	595.890220
cretaceous-slow-26	326.336806
cretaceous-slow-27	341.099446
cretaceous-slow-28	719.282865
cretaceous-slow-29	732.054749
cretaceous-slow-3	376.873316
cretaceous-slow-30	326.985519
cretaceous-slow-31	824.434784
cretaceous-slow-32	440.383053
cretaceous-slow-33	163.970471
cretaceous-slow-34	738.387739
cretaceous-slow-35	376.415327
cretaceous-slow-36	271.790645
cretaceous-slow-37	600.076172
cretaceous-slow-38	663.575011
cretaceous-slow-39	716.430423
cretaceous-slow-4	255.542655
cretaceous-slow-40	596.938028
cretaceous-slow-41	396.399655
cretaceous-slow-42	871.936763
cretaceous-slow-43	440.140114
cretaceous-slow-44	355.458415
cretaceous-slow-45	720.127097
cretaceous-slow-46	641.915377
cretaceous-slow-47	774.843079
cretaceous-slow-48	151.945077
cretaceous-slow-49	867.403060
cretaceous-slow-5	705.160046
cretaceous-slow-6	167.284426
cretaceous-slow-7	865.414111
cretaceous-slow-8	622.435613
cretaceous-slow-9	473.620333
