# results from simulated data from project "project.tab"
# date: 2024-05-21T16:34:04-03:00
tree	terms	rootAge	lambda	ml-lambda
jurassic-avg-0	84	176.725	26.397663	30.175781
jurassic-avg-1	75	162.804	54.438780	76.074219
jurassic-avg-10	86	200.944	46.416100	49.707031
jurassic-avg-11	59	190.249	84.396646	104.882812
jurassic-avg-12	68	163.481	81.403676	95.605469
jurassic-avg-13	52	149.316	11.345977	11.132812
jurassic-avg-14	51	181.364	15.302226	14.550781
jurassic-avg-15	65	151.599	75.918918	93.164062
jurassic-avg-16	64	179.243	75.154968	78.515625
jurassic-avg-17	95	187.351	40.511721	50.195312
jurassic-avg-18	54	171.254	56.128951	64.843750
jurassic-avg-19	92	162.953	69.358102	87.304688
jurassic-avg-2	51	185.806	47.453793	58.984375
jurassic-avg-20	84	155.497	21.911516	28.710938
jurassic-avg-21	71	159.922	35.724735	46.289062
jurassic-avg-22	73	145.022	13.650872	17.480469
jurassic-avg-23	54	181.506	33.354241	31.152344
jurassic-avg-24	55	190.692	89.115393	88.769531
jurassic-avg-25	66	189.866	78.164369	102.929688
jurassic-avg-26	76	167.781	61.564754	56.054688
jurassic-avg-27	92	196.549	81.911563	97.070312
jurassic-avg-28	100	167.634	22.634111	28.222656
jurassic-avg-29	64	147.149	60.047944	72.656250
jurassic-avg-3	89	198.619	84.249372	73.632812
jurassic-avg-30	50	174.062	26.321921	40.917969
jurassic-avg-31	71	168.842	60.330038	58.007812
jurassic-avg-32	90	161.416	15.693292	10.644531
jurassic-avg-33	67	189.727	52.420673	58.984375
jurassic-avg-34	80	186.063	57.795702	62.890625
jurassic-avg-35	100	169.357	19.435354	17.968750
jurassic-avg-36	56	181.054	23.212411	29.687500
jurassic-avg-37	54	180.240	55.519359	61.914062
jurassic-avg-38	55	191.238	36.457963	55.566406
jurassic-avg-39	72	157.390	91.330576	112.695312
jurassic-avg-4	72	200.685	56.120494	61.425781
jurassic-avg-40	72	177.386	29.144924	25.781250
jurassic-avg-41	55	150.981	89.700853	125.390625
jurassic-avg-42	94	153.110	29.161468	39.453125
jurassic-avg-43	87	151.528	46.784091	60.449219
jurassic-avg-44	57	160.309	97.756593	121.484375
jurassic-avg-45	57	192.057	15.109888	16.015625
jurassic-avg-46	72	148.247	52.109112	69.726562
jurassic-avg-47	74	174.149	64.128648	88.281250
jurassic-avg-48	81	200.704	14.504223	22.363281
jurassic-avg-49	82	190.129	90.791697	96.582031
jurassic-avg-5	65	199.956	22.022162	40.917969
jurassic-avg-6	76	159.698	46.015826	49.218750
jurassic-avg-7	93	174.845	68.036653	76.562500
jurassic-avg-8	75	161.648	85.032039	121.972656
jurassic-avg-9	51	197.059	66.276440	76.074219
