# simulated lambda of project "project.tab"
# date: 2024-05-20T21:52:14-03:00
tree	lambda
jurassic-avg-0	26.397663
jurassic-avg-1	54.438780
jurassic-avg-10	46.416100
jurassic-avg-11	84.396646
jurassic-avg-12	81.403676
jurassic-avg-13	11.345977
jurassic-avg-14	15.302226
jurassic-avg-15	75.918918
jurassic-avg-16	75.154968
jurassic-avg-17	40.511721
jurassic-avg-18	56.128951
jurassic-avg-19	69.358102
jurassic-avg-2	47.453793
jurassic-avg-20	21.911516
jurassic-avg-21	35.724735
jurassic-avg-22	13.650872
jurassic-avg-23	33.354241
jurassic-avg-24	89.115393
jurassic-avg-25	78.164369
jurassic-avg-26	61.564754
jurassic-avg-27	81.911563
jurassic-avg-28	22.634111
jurassic-avg-29	60.047944
jurassic-avg-3	84.249372
jurassic-avg-30	26.321921
jurassic-avg-31	60.330038
jurassic-avg-32	15.693292
jurassic-avg-33	52.420673
jurassic-avg-34	57.795702
jurassic-avg-35	19.435354
jurassic-avg-36	23.212411
jurassic-avg-37	55.519359
jurassic-avg-38	36.457963
jurassic-avg-39	91.330576
jurassic-avg-4	56.120494
jurassic-avg-40	29.144924
jurassic-avg-41	89.700853
jurassic-avg-42	29.161468
jurassic-avg-43	46.784091
jurassic-avg-44	97.756593
jurassic-avg-45	15.109888
jurassic-avg-46	52.109112
jurassic-avg-47	64.128648
jurassic-avg-48	14.504223
jurassic-avg-49	90.791697
jurassic-avg-5	22.022162
jurassic-avg-6	46.015826
jurassic-avg-7	68.036653
jurassic-avg-8	85.032039
jurassic-avg-9	66.276440
