# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:53:42-03:00
tree	node	parent	age	taxon
jurassic-fast-0	0	-1	165540178	
jurassic-fast-0	1	0	62658519	
jurassic-fast-0	2	1	0	Term0
jurassic-fast-0	3	1	58147764	
jurassic-fast-0	4	3	37689952	
jurassic-fast-0	5	4	0	Term1
jurassic-fast-0	6	4	0	Term2
jurassic-fast-0	7	3	25832278	
jurassic-fast-0	8	7	0	Term3
jurassic-fast-0	9	7	24449388	
jurassic-fast-0	10	9	0	Term4
jurassic-fast-0	11	9	2142787	
jurassic-fast-0	12	11	0	Term5
jurassic-fast-0	13	11	0	Term6
jurassic-fast-0	14	0	148221352	
jurassic-fast-0	15	14	145759179	
jurassic-fast-0	16	15	105473412	
jurassic-fast-0	17	16	53816137	
jurassic-fast-0	18	17	0	Term30
jurassic-fast-0	19	17	14110566	
jurassic-fast-0	20	19	0	Term33
jurassic-fast-0	21	19	7543429	
jurassic-fast-0	22	21	0	Term31
jurassic-fast-0	23	21	0	Term32
jurassic-fast-0	24	16	74443265	
jurassic-fast-0	25	24	6763325	
jurassic-fast-0	26	25	0	Term29
jurassic-fast-0	27	25	4855154	
jurassic-fast-0	28	27	0	Term27
jurassic-fast-0	29	27	0	Term28
jurassic-fast-0	30	24	45388902	
jurassic-fast-0	31	30	0	Term23
jurassic-fast-0	32	30	9884595	
jurassic-fast-0	33	32	0	Term26
jurassic-fast-0	34	32	7730088	
jurassic-fast-0	35	34	0	Term24
jurassic-fast-0	36	34	0	Term25
jurassic-fast-0	37	15	134798815	
jurassic-fast-0	38	37	20808243	
jurassic-fast-0	39	38	0	Term9
jurassic-fast-0	40	38	734126	
jurassic-fast-0	41	40	0	Term7
jurassic-fast-0	42	40	0	Term8
jurassic-fast-0	43	37	90310212	
jurassic-fast-0	44	43	34884013	
jurassic-fast-0	45	44	0	Term12
jurassic-fast-0	46	44	10202803	
jurassic-fast-0	47	46	0	Term10
jurassic-fast-0	48	46	0	Term11
jurassic-fast-0	49	43	46643164	
jurassic-fast-0	50	49	36566761	
jurassic-fast-0	51	50	0	Term20
jurassic-fast-0	52	50	540869	
jurassic-fast-0	53	52	0	Term21
jurassic-fast-0	54	52	0	Term22
jurassic-fast-0	55	49	12369082	
jurassic-fast-0	56	55	11128996	
jurassic-fast-0	57	56	0	Term19
jurassic-fast-0	58	56	454604	
jurassic-fast-0	59	58	0	Term17
jurassic-fast-0	60	58	0	Term18
jurassic-fast-0	61	55	10724474	
jurassic-fast-0	62	61	9284499	
jurassic-fast-0	63	62	0	Term13
jurassic-fast-0	64	62	0	Term14
jurassic-fast-0	65	61	7726784	
jurassic-fast-0	66	65	0	Term15
jurassic-fast-0	67	65	0	Term16
jurassic-fast-0	68	14	104970522	
jurassic-fast-0	69	68	83320269	
jurassic-fast-0	70	69	0	Term47
jurassic-fast-0	71	69	70103352	
jurassic-fast-0	72	71	52719523	
jurassic-fast-0	73	72	0	Term34
jurassic-fast-0	74	72	0	Term35
jurassic-fast-0	75	71	54290625	
jurassic-fast-0	76	75	43658705	
jurassic-fast-0	77	76	0	Term36
jurassic-fast-0	78	76	25791653	
jurassic-fast-0	79	78	0	Term40
jurassic-fast-0	80	78	8030192	
