# results from simulated data from project "project.tab"
# date: 2024-05-21T14:46:33-03:00
tree	terms	rootAge	lambda	ml-lambda
jurassic-slow-0	54	155.056	760.420663	1044.335938
jurassic-slow-1	74	185.578	467.719616	442.285156
jurassic-slow-10	67	154.637	696.636078	1620.996094
jurassic-slow-11	51	196.097	771.417943	1311.914062
jurassic-slow-12	79	160.208	787.354351	1602.929688
jurassic-slow-13	74	162.591	655.937724	1017.968750
jurassic-slow-14	53	183.993	579.609867	933.984375
jurassic-slow-15	64	162.241	430.002707	608.300781
jurassic-slow-16	59	163.495	835.885954	1376.855469
jurassic-slow-17	87	160.709	632.623180	821.679688
jurassic-slow-18	59	165.326	577.452728	911.523438
jurassic-slow-19	93	159.988	412.224396	708.886719
jurassic-slow-2	69	173.993	511.301569	723.046875
jurassic-slow-20	54	164.194	502.869181	787.500000
jurassic-slow-21	52	161.807	581.529916	811.914062
jurassic-slow-22	95	180.887	785.049950	1267.480469
jurassic-slow-23	85	164.165	590.745360	891.503906
jurassic-slow-24	64	158.110	605.463676	1140.039062
jurassic-slow-25	82	157.461	726.282880	1834.375000
jurassic-slow-26	100	197.167	182.176452	272.363281
jurassic-slow-27	54	179.178	869.183113	1872.949219
jurassic-slow-28	98	164.739	329.495820	374.902344
jurassic-slow-29	51	148.839	981.697720	1773.339844
jurassic-slow-3	90	158.787	954.055007	2294.824219
jurassic-slow-30	67	170.265	188.909783	229.882812
jurassic-slow-31	50	172.857	202.086063	298.242188
jurassic-slow-32	57	164.310	169.580342	238.671875
jurassic-slow-33	94	187.513	707.038817	1417.382812
jurassic-slow-34	81	173.738	436.188096	574.609375
jurassic-slow-35	74	176.464	880.350199	1691.796875
jurassic-slow-36	88	191.369	177.471444	245.507812
jurassic-slow-37	58	181.755	297.686924	369.042969
jurassic-slow-38	51	163.033	443.235456	816.796875
jurassic-slow-39	58	185.182	192.418360	286.035156
jurassic-slow-4	62	166.603	368.946014	694.726562
jurassic-slow-40	64	192.071	977.205365	2196.679688
jurassic-slow-41	60	146.932	237.919685	413.476562
jurassic-slow-42	97	173.479	229.270882	216.699219
jurassic-slow-43	69	150.035	934.029472	1886.132812
jurassic-slow-44	58	147.881	197.622197	252.343750
jurassic-slow-45	75	198.429	757.399480	1424.218750
jurassic-slow-46	74	171.311	727.408915	1833.886719
jurassic-slow-47	64	163.438	630.713971	1085.351562
jurassic-slow-48	60	148.995	411.742479	771.386719
jurassic-slow-49	90	148.883	409.748690	726.464844
jurassic-slow-5	61	171.772	284.975757	376.367188
jurassic-slow-6	58	189.136	384.585086	598.046875
jurassic-slow-7	91	170.912	470.034988	851.953125
jurassic-slow-8	78	184.697	665.074694	920.312500
jurassic-slow-9	60	152.788	982.557064	2417.382812
