# simulated lambda of project "project.tab"
# date: 2024-05-20T21:39:04-03:00
tree	lambda
neogene-avg-0	98.353571
neogene-avg-1	37.646516
neogene-avg-10	22.663704
neogene-avg-11	43.368712
neogene-avg-12	62.659074
neogene-avg-13	67.058899
neogene-avg-14	93.805175
neogene-avg-15	34.973923
neogene-avg-16	43.433842
neogene-avg-17	32.787830
neogene-avg-18	27.645081
neogene-avg-19	38.980487
neogene-avg-2	66.578992
neogene-avg-20	29.718436
neogene-avg-21	58.057794
neogene-avg-22	70.406009
neogene-avg-23	99.844891
neogene-avg-24	14.875585
neogene-avg-25	32.842647
neogene-avg-26	12.918728
neogene-avg-27	94.733679
neogene-avg-28	39.611665
neogene-avg-29	49.740399
neogene-avg-3	79.239476
neogene-avg-30	20.425115
neogene-avg-31	17.054635
neogene-avg-32	93.143126
neogene-avg-33	81.262827
neogene-avg-34	93.983082
neogene-avg-35	15.222137
neogene-avg-36	97.564759
neogene-avg-37	17.975765
neogene-avg-38	13.482385
neogene-avg-39	80.909287
neogene-avg-4	84.697020
neogene-avg-40	21.302066
neogene-avg-41	62.534403
neogene-avg-42	16.324117
neogene-avg-43	30.585468
neogene-avg-44	94.947843
neogene-avg-45	32.486958
neogene-avg-46	28.680208
neogene-avg-47	56.061030
neogene-avg-48	57.067484
neogene-avg-49	76.448225
neogene-avg-5	21.594060
neogene-avg-6	32.948457
neogene-avg-7	57.778105
neogene-avg-8	45.395167
neogene-avg-9	55.075434
