# simulated lambda of project "project.tab"
# date: 2024-05-20T21:40:37-03:00
tree	lambda
neogene-fast-0	3.959956
neogene-fast-1	8.952055
neogene-fast-10	8.090857
neogene-fast-11	7.507260
neogene-fast-12	8.767171
neogene-fast-13	7.937163
neogene-fast-14	9.479113
neogene-fast-15	9.257477
neogene-fast-16	5.603438
neogene-fast-17	4.515676
neogene-fast-18	3.115458
neogene-fast-19	8.772716
neogene-fast-2	3.737837
neogene-fast-20	3.833016
neogene-fast-21	1.440482
neogene-fast-22	7.783395
neogene-fast-23	2.232389
neogene-fast-24	4.526672
neogene-fast-25	5.238911
neogene-fast-26	7.174544
neogene-fast-27	6.625234
neogene-fast-28	1.587551
neogene-fast-29	8.292456
neogene-fast-3	5.338346
neogene-fast-30	4.697101
neogene-fast-31	6.808996
neogene-fast-32	1.397478
neogene-fast-33	2.380359
neogene-fast-34	5.672901
neogene-fast-35	7.021917
neogene-fast-36	1.781024
neogene-fast-37	1.342500
neogene-fast-38	7.219853
neogene-fast-39	8.082502
neogene-fast-4	5.934402
neogene-fast-40	1.970018
neogene-fast-41	5.446509
neogene-fast-42	1.919496
neogene-fast-43	3.760145
neogene-fast-44	6.532704
neogene-fast-45	2.440208
neogene-fast-46	9.535628
neogene-fast-47	6.240347
neogene-fast-48	9.875315
neogene-fast-49	7.644198
neogene-fast-5	2.073850
neogene-fast-6	1.558206
neogene-fast-7	8.835700
neogene-fast-8	9.701489
neogene-fast-9	6.039243
