# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:40:37-03:00
tree	node	parent	age	taxon
neogene-fast-0	0	-1	17511330	
neogene-fast-0	1	0	17182042	
neogene-fast-0	2	1	0	Term9
neogene-fast-0	3	1	10480914	
neogene-fast-0	4	3	5007638	
neogene-fast-0	5	4	807215	
neogene-fast-0	6	5	0	Term0
neogene-fast-0	7	5	0	Term1
neogene-fast-0	8	4	197052	
neogene-fast-0	9	8	0	Term2
neogene-fast-0	10	8	0	Term3
neogene-fast-0	11	3	6402803	
neogene-fast-0	12	11	0	Term4
neogene-fast-0	13	11	5197968	
neogene-fast-0	14	13	0	Term8
neogene-fast-0	15	13	1072188	
neogene-fast-0	16	15	0	Term5
neogene-fast-0	17	15	192651	
neogene-fast-0	18	17	0	Term6
neogene-fast-0	19	17	0	Term7
neogene-fast-0	20	0	15400468	
neogene-fast-0	21	20	4842612	
neogene-fast-0	22	21	2332445	
neogene-fast-0	23	22	0	Term83
neogene-fast-0	24	22	0	Term84
neogene-fast-0	25	21	4421364	
neogene-fast-0	26	25	0	Term85
neogene-fast-0	27	25	2658592	
neogene-fast-0	28	27	0	Term86
neogene-fast-0	29	27	548237	
neogene-fast-0	30	29	0	Term87
neogene-fast-0	31	29	0	Term88
neogene-fast-0	32	20	15298097	
neogene-fast-0	33	32	11683401	
neogene-fast-0	34	33	1427868	
neogene-fast-0	35	34	0	Term81
neogene-fast-0	36	34	0	Term82
neogene-fast-0	37	33	7009931	
neogene-fast-0	38	37	0	Term80
neogene-fast-0	39	37	5377756	
neogene-fast-0	40	39	3657053	
neogene-fast-0	41	40	0	Term73
neogene-fast-0	42	40	0	Term74
neogene-fast-0	43	39	4133244	
neogene-fast-0	44	43	2915619	
neogene-fast-0	45	44	0	Term75
neogene-fast-0	46	44	0	Term76
neogene-fast-0	47	43	1982104	
neogene-fast-0	48	47	0	Term79
neogene-fast-0	49	47	868670	
neogene-fast-0	50	49	0	Term77
neogene-fast-0	51	49	0	Term78
neogene-fast-0	52	32	13433854	
neogene-fast-0	53	52	12089012	
neogene-fast-0	54	53	5032380	
neogene-fast-0	55	54	4227920	
neogene-fast-0	56	55	0	Term67
neogene-fast-0	57	55	2947200	
neogene-fast-0	58	57	0	Term68
neogene-fast-0	59	57	0	Term69
neogene-fast-0	60	54	997111	
neogene-fast-0	61	60	0	Term72
neogene-fast-0	62	60	751451	
neogene-fast-0	63	62	0	Term70
neogene-fast-0	64	62	0	Term71
neogene-fast-0	65	53	10089008	
neogene-fast-0	66	65	7551383	
neogene-fast-0	67	66	3251948	
neogene-fast-0	68	67	0	Term65
neogene-fast-0	69	67	0	Term66
neogene-fast-0	70	66	6713339	
neogene-fast-0	71	70	0	Term59
neogene-fast-0	72	70	6422089	
neogene-fast-0	73	72	0	Term60
neogene-fast-0	74	72	4301106	
neogene-fast-0	75	74	0	Term61
neogene-fast-0	76	74	1905379	
neogene-fast-0	77	76	0	Term64
neogene-fast-0	78	76	1158975	
neogene-fast-0	79	78	0	Term62
neogene-fast-0	80	78	0	Term63
neogene-fast-0	81	65	8664083	
neogene-fast-0	82	81	8148557	
neogene-fast-0	83	82	0	Term58
neogene-fast-0	84	82	1020520	
neogene-fast-0	85	84	0	Term56
neogene-fast-0	86	84	0	Term57
neogene-fast-0	87	81	8306680	
neogene-fast-0	88	87	8020236	
neogene-fast-0	89	88	0	Term53
neogene-fast-0	90	88	767662	
neogene-fast-0	91	90	0	Term54
neogene-fast-0	92	90	0	Term55
neogene-fast-0	93	87	5857412	
neogene-fast-0	94	93	3767829	
neogene-fast-0	95	94	0	Term49
neogene-fast-0	96	94	0	Term50
