# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:37:38-03:00
tree	node	parent	age	taxon
neogene-slow-0	0	-1	9020899	
neogene-slow-0	1	0	8483936	
neogene-slow-0	2	1	4818077	
neogene-slow-0	3	2	0	Term12
neogene-slow-0	4	2	1507853	
neogene-slow-0	5	4	0	Term13
neogene-slow-0	6	4	0	Term14
neogene-slow-0	7	1	6311756	
neogene-slow-0	8	7	0	Term0
neogene-slow-0	9	7	5806194	
neogene-slow-0	10	9	663046	
neogene-slow-0	11	10	0	Term1
neogene-slow-0	12	10	0	Term2
neogene-slow-0	13	9	4748231	
neogene-slow-0	14	13	66006	
neogene-slow-0	15	14	0	Term3
neogene-slow-0	16	14	0	Term4
neogene-slow-0	17	13	3569915	
neogene-slow-0	18	17	3292335	
neogene-slow-0	19	18	0	Term9
neogene-slow-0	20	18	509361	
neogene-slow-0	21	20	0	Term10
neogene-slow-0	22	20	0	Term11
neogene-slow-0	23	17	1324668	
neogene-slow-0	24	23	0	Term8
neogene-slow-0	25	23	1084583	
neogene-slow-0	26	25	0	Term7
neogene-slow-0	27	25	701066	
neogene-slow-0	28	27	0	Term5
neogene-slow-0	29	27	0	Term6
neogene-slow-0	30	0	7038363	
neogene-slow-0	31	30	4222099	
neogene-slow-0	32	31	2907938	
neogene-slow-0	33	32	0	Term83
neogene-slow-0	34	32	1196728	
neogene-slow-0	35	34	0	Term81
neogene-slow-0	36	34	0	Term82
neogene-slow-0	37	31	3433991	
neogene-slow-0	38	37	1580289	
neogene-slow-0	39	38	0	Term64
neogene-slow-0	40	38	77850	
neogene-slow-0	41	40	0	Term62
neogene-slow-0	42	40	0	Term63
neogene-slow-0	43	37	3414993	
neogene-slow-0	44	43	1762180	
neogene-slow-0	45	44	212786	
neogene-slow-0	46	45	0	Term65
neogene-slow-0	47	45	0	Term66
neogene-slow-0	48	44	1728079	
neogene-slow-0	49	48	0	Term67
neogene-slow-0	50	48	335623	
neogene-slow-0	51	50	0	Term68
neogene-slow-0	52	50	0	Term69
neogene-slow-0	53	43	2651113	
neogene-slow-0	54	53	0	Term80
neogene-slow-0	55	53	2535898	
neogene-slow-0	56	55	1720784	
neogene-slow-0	57	56	0	Term76
neogene-slow-0	58	56	1541587	
neogene-slow-0	59	58	0	Term77
neogene-slow-0	60	58	298274	
neogene-slow-0	61	60	0	Term78
neogene-slow-0	62	60	0	Term79
neogene-slow-0	63	55	2345865	
neogene-slow-0	64	63	0	Term70
neogene-slow-0	65	63	2171295	
neogene-slow-0	66	65	0	Term75
neogene-slow-0	67	65	817226	
neogene-slow-0	68	67	0	Term74
neogene-slow-0	69	67	405561	
neogene-slow-0	70	69	0	Term73
neogene-slow-0	71	69	276229	
neogene-slow-0	72	71	0	Term71
neogene-slow-0	73	71	0	Term72
neogene-slow-0	74	30	6943164	
neogene-slow-0	75	74	3127370	
neogene-slow-0	76	75	2530197	
neogene-slow-0	77	76	0	Term61
neogene-slow-0	78	76	2486641	
neogene-slow-0	79	78	0	Term59
neogene-slow-0	80	78	0	Term60
neogene-slow-0	81	75	2159653	
neogene-slow-0	82	81	0	Term56
neogene-slow-0	83	81	1231262	
neogene-slow-0	84	83	0	Term57
neogene-slow-0	85	83	0	Term58
neogene-slow-0	86	74	6249441	
neogene-slow-0	87	86	2846304	
neogene-slow-0	88	87	0	Term17
neogene-slow-0	89	87	39107	
neogene-slow-0	90	89	0	Term15
neogene-slow-0	91	89	0	Term16
neogene-slow-0	92	86	4838043	
neogene-slow-0	93	92	3826692	
neogene-slow-0	94	93	0	Term45
neogene-slow-0	95	93	3337925	
neogene-slow-0	96	95	341607	
neogene-slow-0	97	96	0	Term46
neogene-slow-0	98	96	0	Term47
neogene-slow-0	99	95	1114930	
neogene-slow-0	100	99	923115	
neogene-slow-0	101	100	0	Term53
neogene-slow-0	102	100	380659	
neogene-slow-0	103	102	0	Term54
neogene-slow-0	104	102	0	Term55
neogene-slow-0	105	99	965843	
neogene-slow-0	106	105	235163	
neogene-slow-0	107	106	0	Term48
neogene-slow-0	108	106	0	Term49
neogene-slow-0	109	105	916972	
neogene-slow-0	110	109	0	Term50
neogene-slow-0	111	109	701469	
neogene-slow-0	112	111	0	Term51
neogene-slow-0	113	111	0	Term52
neogene-slow-0	114	92	3878274	
neogene-slow-0	115	114	438868	
neogene-slow-0	116	115	0	Term43
neogene-slow-0	117	115	0	Term44
neogene-slow-0	118	114	3338256	
neogene-slow-0	119	118	3126726	
neogene-slow-0	120	119	0	Term25
neogene-slow-0	121	119	3098703	
neogene-slow-0	122	121	1258794	
neogene-slow-0	123	122	0	Term20
neogene-slow-0	124	122	249614	
neogene-slow-0	125	124	0	Term18
neogene-slow-0	126	124	0	Term19
neogene-slow-0	127	121	1948447	
neogene-slow-0	128	127	0	Term21
neogene-slow-0	129	127	319080	
neogene-slow-0	130	129	0	Term22
neogene-slow-0	131	129	291022	
neogene-slow-0	132	131	0	Term23
neogene-slow-0	133	131	0	Term24
neogene-slow-0	134	118	2997451	
neogene-slow-0	135	134	1692407	
neogene-slow-0	136	135	1394272	
neogene-slow-0	137	136	0	Term31
neogene-slow-0	138	136	0	Term32
neogene-slow-0	139	135	624842	
neogene-slow-0	140	139	0	Term26
neogene-slow-0	141	139	193313	
neogene-slow-0	142	141	0	Term30
neogene-slow-0	143	141	177103	
neogene-slow-0	144	143	0	Term29
neogene-slow-0	145	143	46233	
neogene-slow-0	146	145	0	Term27
neogene-slow-0	147	145	0	Term28
neogene-slow-0	148	134	2869292	
neogene-slow-0	149	148	2563773	
neogene-slow-0	150	149	0	Term40
neogene-slow-0	151	149	57486	
neogene-slow-0	152	151	0	Term41
neogene-slow-0	153	151	0	Term42
neogene-slow-0	154	148	1993251	
neogene-slow-0	155	154	1636624	
neogene-slow-0	156	155	0	Term35
neogene-slow-0	157	155	389661	
neogene-slow-0	158	157	0	Term33
neogene-slow-0	159	157	0	Term34
neogene-slow-0	160	154	1653051	
neogene-slow-0	161	160	0	Term36
neogene-slow-0	162	160	1597512	
neogene-slow-0	163	162	0	Term39
neogene-slow-0	164	162	1370312	
neogene-slow-0	165	164	0	Term37
neogene-slow-0	166	164	0	Term38
neogene-slow-1	0	-1	8640459	
neogene-slow-1	1	0	8438914	
neogene-slow-1	2	1	5974093	
neogene-slow-1	3	2	0	Term4
neogene-slow-1	4	2	4310377	
neogene-slow-1	5	4	1629985	
neogene-slow-1	6	5	0	Term0
neogene-slow-1	7	5	0	Term1
neogene-slow-1	8	4	539991	
neogene-slow-1	9	8	0	Term2
neogene-slow-1	10	8	0	Term3
neogene-slow-1	11	1	4857144	
neogene-slow-1	12	11	0	Term5
neogene-slow-1	13	11	2632362	
neogene-slow-1	14	13	729734	
neogene-slow-1	15	14	0	Term16
neogene-slow-1	16	14	0	Term17
neogene-slow-1	17	13	2176546	
neogene-slow-1	18	17	1920909	
neogene-slow-1	19	18	0	Term8
neogene-slow-1	20	18	615914	
neogene-slow-1	21	20	0	Term6
neogene-slow-1	22	20	0	Term7
neogene-slow-1	23	17	1847824	
neogene-slow-1	24	23	751610	
neogene-slow-1	25	24	0	Term10
neogene-slow-1	26	24	0	Term9
neogene-slow-1	27	23	1842952	
neogene-slow-1	28	27	0	Term11
neogene-slow-1	29	27	1234757	
neogene-slow-1	30	29	0	Term12
neogene-slow-1	31	29	1161697	
neogene-slow-1	32	31	0	Term13
neogene-slow-1	33	31	349736	
neogene-slow-1	34	33	0	Term14
neogene-slow-1	35	33	0	Term15
neogene-slow-1	36	0	6112652	
neogene-slow-1	37	36	3957523	
neogene-slow-1	38	37	3901958	
neogene-slow-1	39	38	1965902	
neogene-slow-1	40	39	0	Term33
neogene-slow-1	41	39	0	Term34
neogene-slow-1	42	38	2793094	
neogene-slow-1	43	42	1528224	
neogene-slow-1	44	43	0	Term35
neogene-slow-1	45	43	0	Term36
neogene-slow-1	46	42	2506157	
neogene-slow-1	47	46	0	Term37
neogene-slow-1	48	46	2039241	
neogene-slow-1	49	48	0	Term40
neogene-slow-1	50	48	1180936	
neogene-slow-1	51	50	0	Term38
neogene-slow-1	52	50	0	Term39
neogene-slow-1	53	37	3859369	
neogene-slow-1	54	53	2282114	
neogene-slow-1	55	54	0	Term21
neogene-slow-1	56	54	189343	
neogene-slow-1	57	56	0	Term18
neogene-slow-1	58	56	63060	
neogene-slow-1	59	58	0	Term19
neogene-slow-1	60	58	0	Term20
