# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:43:32-03:00
tree	node	parent	age	taxon
paleogene-avg-0	0	-1	36921125	
paleogene-avg-0	1	0	20800129	
paleogene-avg-0	2	1	1846357	
paleogene-avg-0	3	2	0	Term31
paleogene-avg-0	4	2	1089961	
paleogene-avg-0	5	4	0	Term32
paleogene-avg-0	6	4	0	Term33
paleogene-avg-0	7	1	20464479	
paleogene-avg-0	8	7	19227156	
paleogene-avg-0	9	8	11809649	
paleogene-avg-0	10	9	0	Term2
paleogene-avg-0	11	9	4297170	
paleogene-avg-0	12	11	0	Term0
paleogene-avg-0	13	11	0	Term1
paleogene-avg-0	14	8	18874043	
paleogene-avg-0	15	14	8674664	
paleogene-avg-0	16	15	0	Term11
paleogene-avg-0	17	15	0	Term12
paleogene-avg-0	18	14	18419092	
paleogene-avg-0	19	18	0	Term3
paleogene-avg-0	20	18	9673130	
paleogene-avg-0	21	20	0	Term4
paleogene-avg-0	22	20	8858717	
paleogene-avg-0	23	22	6644013	
paleogene-avg-0	24	23	0	Term10
paleogene-avg-0	25	23	2096766	
paleogene-avg-0	26	25	0	Term8
paleogene-avg-0	27	25	0	Term9
paleogene-avg-0	28	22	6265785	
paleogene-avg-0	29	28	0	Term7
paleogene-avg-0	30	28	1922228	
paleogene-avg-0	31	30	0	Term5
paleogene-avg-0	32	30	0	Term6
paleogene-avg-0	33	7	19682590	
paleogene-avg-0	34	33	18202624	
paleogene-avg-0	35	34	0	Term15
paleogene-avg-0	36	34	8736335	
paleogene-avg-0	37	36	0	Term13
paleogene-avg-0	38	36	0	Term14
paleogene-avg-0	39	33	15550295	
paleogene-avg-0	40	39	8582493	
paleogene-avg-0	41	40	8239250	
paleogene-avg-0	42	41	0	Term28
paleogene-avg-0	43	41	1764653	
paleogene-avg-0	44	43	0	Term29
paleogene-avg-0	45	43	0	Term30
paleogene-avg-0	46	40	6366188	
paleogene-avg-0	47	46	0	Term25
paleogene-avg-0	48	46	2079146	
paleogene-avg-0	49	48	0	Term26
paleogene-avg-0	50	48	0	Term27
paleogene-avg-0	51	39	11927573	
paleogene-avg-0	52	51	11833166	
paleogene-avg-0	53	52	0	Term16
paleogene-avg-0	54	52	11335603	
paleogene-avg-0	55	54	0	Term17
paleogene-avg-0	56	54	1535955	
paleogene-avg-0	57	56	0	Term18
paleogene-avg-0	58	56	0	Term19
paleogene-avg-0	59	51	4787053	
paleogene-avg-0	60	59	639161	
paleogene-avg-0	61	60	0	Term23
paleogene-avg-0	62	60	0	Term24
paleogene-avg-0	63	59	1927223	
paleogene-avg-0	64	63	0	Term22
paleogene-avg-0	65	63	1909307	
paleogene-avg-0	66	65	0	Term20
paleogene-avg-0	67	65	0	Term21
paleogene-avg-0	68	0	31383922	
paleogene-avg-0	69	68	383575	
paleogene-avg-0	70	69	0	Term34
paleogene-avg-0	71	69	0	Term35
paleogene-avg-0	72	68	29123223	
paleogene-avg-0	73	72	25498528	
paleogene-avg-0	74	73	1678641	
paleogene-avg-0	75	74	0	Term89
paleogene-avg-0	76	74	0	Term90
paleogene-avg-0	77	73	6538240	
paleogene-avg-0	78	77	2352741	
paleogene-avg-0	79	78	0	Term87
paleogene-avg-0	80	78	0	Term88
paleogene-avg-0	81	77	774583	
paleogene-avg-0	82	81	0	Term85
paleogene-avg-0	83	81	0	Term86
paleogene-avg-0	84	72	28519928	
paleogene-avg-0	85	84	21391164	
paleogene-avg-0	86	85	11766850	
paleogene-avg-0	87	86	0	Term84
paleogene-avg-0	88	86	7257527	
paleogene-avg-0	89	88	0	Term81
paleogene-avg-0	90	88	6923401	
paleogene-avg-0	91	90	0	Term82
paleogene-avg-0	92	90	0	Term83
paleogene-avg-0	93	85	19702315	
paleogene-avg-0	94	93	0	Term80
