# results from simulated data from project "project.tab"
# date: 2024-05-21T04:27:44-03:00
tree	terms	rootAge	lambda	ml-lambda
paleogene-slow-0	87	52.898	312.643215	735.742188
paleogene-slow-1	98	45.884	960.288177	3343.652344
paleogene-slow-10	89	34.852	847.175753	3498.925781
paleogene-slow-11	87	50.973	241.022108	466.699219
paleogene-slow-12	84	47.811	338.831369	577.050781
paleogene-slow-13	98	37.512	473.506374	1825.585938
paleogene-slow-14	94	24.576	783.389404	3320.214844
paleogene-slow-15	76	48.430	234.042216	591.210938
paleogene-slow-16	93	37.627	691.284670	1816.796875
paleogene-slow-17	63	28.940	323.010566	736.718750
paleogene-slow-18	89	25.338	116.767273	298.242188
paleogene-slow-19	67	31.841	335.609242	676.660156
paleogene-slow-2	73	55.629	661.355961	2093.652344
paleogene-slow-20	62	59.847	996.402737	4024.316406
paleogene-slow-21	63	43.585	625.164556	1235.742188
paleogene-slow-22	100	37.168	547.029205	1666.406250
paleogene-slow-23	74	62.258	917.934827	2764.550781
paleogene-slow-24	71	60.186	899.236612	1660.058594
paleogene-slow-25	75	44.221	967.257213	3793.847656
paleogene-slow-26	93	61.217	160.745705	320.214844
paleogene-slow-27	51	25.255	214.699068	386.132812
paleogene-slow-28	70	52.396	251.494084	612.695312
paleogene-slow-29	77	29.478	689.695620	5422.265625
paleogene-slow-3	70	41.355	870.029679	2662.988281
paleogene-slow-30	82	58.794	914.382251	3449.609375
paleogene-slow-31	67	26.507	627.897483	2701.074219
paleogene-slow-32	50	54.162	980.087906	2268.945312
paleogene-slow-33	75	58.925	477.016032	867.578125
paleogene-slow-34	74	31.446	673.265551	3764.062500
paleogene-slow-35	76	63.177	275.406531	468.652344
paleogene-slow-36	58	47.840	539.145958	928.613281
paleogene-slow-37	67	45.788	544.079131	1896.875000
paleogene-slow-38	54	51.179	190.387800	260.644531
paleogene-slow-39	99	24.824	658.114581	3220.605469
paleogene-slow-4	79	33.624	157.755316	264.550781
paleogene-slow-40	89	46.694	906.921020	2655.175781
paleogene-slow-41	92	41.919	789.390283	2762.109375
paleogene-slow-42	76	54.739	591.717500	2108.789062
paleogene-slow-43	94	56.135	640.819266	1509.667969
paleogene-slow-44	90	34.516	130.247631	199.609375
paleogene-slow-45	95	34.388	832.733467	3326.562500
paleogene-slow-46	81	28.520	565.171703	2677.636719
paleogene-slow-47	69	26.717	905.460671	5726.464844
paleogene-slow-48	57	50.043	441.103103	1288.964844
paleogene-slow-49	97	55.025	584.568772	1260.156250
paleogene-slow-5	71	38.507	661.333774	1634.179688
paleogene-slow-6	52	25.520	969.411098	5727.441406
paleogene-slow-7	68	37.804	904.616831	6620.507812
paleogene-slow-8	58	35.877	636.667830	1964.257812
paleogene-slow-9	57	28.492	531.371215	1804.101562
