# simulated lambda of project "project.tab"
# date: 2024-05-20T21:42:08-03:00
tree	lambda
paleogene-slow-0	312.643215
paleogene-slow-1	960.288177
paleogene-slow-10	847.175753
paleogene-slow-11	241.022108
paleogene-slow-12	338.831369
paleogene-slow-13	473.506374
paleogene-slow-14	783.389404
paleogene-slow-15	234.042216
paleogene-slow-16	691.284670
paleogene-slow-17	323.010566
paleogene-slow-18	116.767273
paleogene-slow-19	335.609242
paleogene-slow-2	661.355961
paleogene-slow-20	996.402737
paleogene-slow-21	625.164556
paleogene-slow-22	547.029205
paleogene-slow-23	917.934827
paleogene-slow-24	899.236612
paleogene-slow-25	967.257213
paleogene-slow-26	160.745705
paleogene-slow-27	214.699068
paleogene-slow-28	251.494084
paleogene-slow-29	689.695620
paleogene-slow-3	870.029679
paleogene-slow-30	914.382251
paleogene-slow-31	627.897483
paleogene-slow-32	980.087906
paleogene-slow-33	477.016032
paleogene-slow-34	673.265551
paleogene-slow-35	275.406531
paleogene-slow-36	539.145958
paleogene-slow-37	544.079131
paleogene-slow-38	190.387800
paleogene-slow-39	658.114581
paleogene-slow-4	157.755316
paleogene-slow-40	906.921020
paleogene-slow-41	789.390283
paleogene-slow-42	591.717500
paleogene-slow-43	640.819266
paleogene-slow-44	130.247631
paleogene-slow-45	832.733467
paleogene-slow-46	565.171703
paleogene-slow-47	905.460671
paleogene-slow-48	441.103103
paleogene-slow-49	584.568772
paleogene-slow-5	661.333774
paleogene-slow-6	969.411098
paleogene-slow-7	904.616831
paleogene-slow-8	636.667830
paleogene-slow-9	531.371215
