# results from simulated data from project "project.tab"
# date: 2024-05-22T08:33:53-03:00
tree	node	age	pixels	farthest
cretaceous-avg-0	0	120527439	1.000000	0.000000
cretaceous-avg-0	1	78740943	0.930000	0.052366
cretaceous-avg-0	2	25696617	1.000000	0.000000
cretaceous-avg-0	4	21621528	1.000000	0.000000
cretaceous-avg-0	6	12638456	1.000000	0.000000
cretaceous-avg-0	7	7892734	0.980000	0.057158
cretaceous-avg-0	10	5003471	1.000000	0.000000
cretaceous-avg-0	13	77453504	0.570000	0.123222
cretaceous-avg-0	14	29807943	0.930000	0.052419
cretaceous-avg-0	15	27863344	0.320000	0.170608
cretaceous-avg-0	18	11989756	1.000000	0.000000
cretaceous-avg-0	21	59163604	1.000000	0.000000
cretaceous-avg-0	22	57876829	1.000000	0.000000
cretaceous-avg-0	23	29732031	0.980000	0.052320
cretaceous-avg-0	26	30142456	1.000000	0.000000
cretaceous-avg-0	27	15506065	0.990000	0.052319
cretaceous-avg-0	30	2632408	1.000000	0.000000
cretaceous-avg-0	33	55121795	1.000000	0.000000
cretaceous-avg-0	34	36892968	0.910000	0.060398
cretaceous-avg-0	37	51871360	0.950000	0.072645
cretaceous-avg-0	39	39822773	0.960000	0.052378
cretaceous-avg-0	40	18075674	0.000000	0.521421
cretaceous-avg-0	43	38445072	0.930000	0.054130
cretaceous-avg-0	44	29634259	1.000000	0.000000
cretaceous-avg-0	47	38308047	0.890000	0.052383
cretaceous-avg-0	49	8262417	1.000000	0.000000
cretaceous-avg-0	51	1895906	1.000000	0.000000
cretaceous-avg-0	54	120446567	1.000000	0.000000
cretaceous-avg-0	55	105129989	0.060000	0.325753
cretaceous-avg-0	57	91199117	0.150000	0.308231
cretaceous-avg-0	58	34992826	0.120000	0.156948
cretaceous-avg-0	60	31131191	0.680000	0.060782
cretaceous-avg-0	61	10501046	0.940000	0.079581
cretaceous-avg-0	64	2844064	1.000000	0.000000
cretaceous-avg-0	67	54465128	0.290000	0.117070
cretaceous-avg-0	68	39311103	1.000000	0.000000
cretaceous-avg-0	69	27562867	0.890000	0.067927
cretaceous-avg-0	70	3491330	1.000000	0.000000
cretaceous-avg-0	73	2145611	0.900000	0.094363
cretaceous-avg-0	76	6445767	1.000000	0.000000
cretaceous-avg-0	78	4925732	1.000000	0.000000
cretaceous-avg-0	80	1052539	1.000000	0.000000
cretaceous-avg-0	83	47909323	1.000000	0.000000
cretaceous-avg-0	84	34208534	1.000000	0.000000
cretaceous-avg-0	86	11593304	1.000000	0.000000
cretaceous-avg-0	88	3360651	0.950000	0.094370
cretaceous-avg-0	91	18278504	0.000000	0.756448
