# results from simulated data from project "project.tab"
# date: 2024-05-22T08:34:15-03:00
tree	node	age	pixels	farthest
cretaceous-fast-0	0	117049376	0.470000	0.108010
cretaceous-fast-0	1	111863731	0.460000	0.113222
cretaceous-fast-0	2	63419845	0.700000	0.129051
cretaceous-fast-0	3	17251657	0.690000	0.085527
cretaceous-fast-0	6	50140648	0.880000	0.073784
cretaceous-fast-0	8	37817263	0.360000	0.148062
cretaceous-fast-0	10	1632705	0.980000	0.052511
cretaceous-fast-0	13	80219720	0.950000	0.052263
cretaceous-fast-0	14	44539244	0.940000	0.052501
cretaceous-fast-0	15	26088754	0.950000	0.052342
cretaceous-fast-0	17	3119490	0.800000	0.113176
cretaceous-fast-0	20	25055137	0.460000	0.130634
cretaceous-fast-0	21	10930734	1.000000	0.000000
cretaceous-fast-0	24	23460779	0.610000	0.116777
cretaceous-fast-0	26	12959951	0.500000	0.105686
cretaceous-fast-0	28	2791492	1.000000	0.000000
cretaceous-fast-0	31	41829346	1.000000	0.000000
cretaceous-fast-0	33	33245586	0.940000	0.052401
cretaceous-fast-0	34	23981297	0.130000	0.213202
cretaceous-fast-0	36	22720686	0.090000	0.296940
cretaceous-fast-0	38	15655628	0.000000	0.414672
cretaceous-fast-0	40	7882760	0.210000	0.134195
cretaceous-fast-0	43	22485998	1.000000	0.000000
cretaceous-fast-0	45	21561558	1.000000	0.000000
cretaceous-fast-0	47	14724949	0.990000	0.052171
cretaceous-fast-0	48	13010397	1.000000	0.000000
cretaceous-fast-0	51	9300157	0.940000	0.052263
cretaceous-fast-0	54	114998343	0.650000	0.104783
cretaceous-fast-0	55	114929824	0.340000	0.116033
cretaceous-fast-0	57	109505883	0.660000	0.120590
cretaceous-fast-0	58	5766699	0.160000	0.156894
cretaceous-fast-0	60	5149329	0.980000	0.052171
cretaceous-fast-0	63	107111582	0.670000	0.077477
cretaceous-fast-0	64	15652340	0.970000	0.052501
cretaceous-fast-0	67	30252100	0.750000	0.055425
cretaceous-fast-0	69	29401776	1.000000	0.000000
cretaceous-fast-0	70	2446204	0.790000	0.066939
cretaceous-fast-0	73	22012312	0.850000	0.053282
cretaceous-fast-0	75	5715012	1.000000	0.000000
cretaceous-fast-0	78	84276592	1.000000	0.000000
cretaceous-fast-0	79	82314956	0.780000	0.104993
cretaceous-fast-0	81	79229573	0.700000	0.104799
cretaceous-fast-0	82	17471068	1.000000	0.000000
cretaceous-fast-0	85	38218055	0.370000	0.162616
cretaceous-fast-0	86	30037371	0.490000	0.135738
cretaceous-fast-0	89	6415628	1.000000	0.000000
cretaceous-fast-0	91	3359728	0.410000	0.203095
cretaceous-fast-0	94	49781878	0.870000	0.089050
cretaceous-fast-0	95	32436572	1.000000	0.000000
cretaceous-fast-0	97	30092724	0.960000	0.052529
cretaceous-fast-0	98	14124833	0.990000	0.052401
cretaceous-fast-0	101	1413490	1.000000	0.000000
cretaceous-fast-0	104	44200916	0.660000	0.106149
cretaceous-fast-0	105	8140075	0.480000	0.112498
cretaceous-fast-0	108	29775060	0.090000	0.233327
cretaceous-fast-0	109	2913674	0.000000	0.518670
cretaceous-fast-0	112	19169766	0.250000	0.188954
cretaceous-fast-0	114	4581240	0.120000	0.205889
cretaceous-fast-1	0	87315650	0.700000	0.090407
cretaceous-fast-1	1	48893681	0.360000	0.104831
cretaceous-fast-1	2	37653944	0.710000	0.104924
cretaceous-fast-1	3	29258299	0.700000	0.055004
cretaceous-fast-1	4	6622649	0.990000	0.052401
cretaceous-fast-1	7	1300581	0.860000	0.108736
cretaceous-fast-1	10	29468063	0.030000	0.320375
cretaceous-fast-1	12	19641690	0.110000	0.203706
cretaceous-fast-1	14	18739999	0.090000	0.226967
cretaceous-fast-1	16	8666393	0.950000	0.052375
cretaceous-fast-1	19	30156861	0.040000	0.281664
cretaceous-fast-1	20	1449958	0.940000	0.113475
cretaceous-fast-1	23	19008965	0.000000	0.421730
cretaceous-fast-1	24	513120	0.810000	0.179804
cretaceous-fast-1	27	17923071	0.040000	0.226759
cretaceous-fast-1	28	2372546	1.000000	0.000000
cretaceous-fast-1	31	8922735	0.970000	0.052417
cretaceous-fast-1	33	694860	0.720000	0.157960
cretaceous-fast-1	36	75001508	0.600000	0.107561
cretaceous-fast-1	37	37419668	1.000000	0.000000
cretaceous-fast-1	38	1884428	1.000000	0.000000
cretaceous-fast-1	40	1686223	0.930000	0.078583
cretaceous-fast-1	43	29241229	0.900000	0.052778
cretaceous-fast-1	44	6168612	1.000000	0.000000
cretaceous-fast-1	47	23591137	0.880000	0.110237
cretaceous-fast-1	49	10246544	1.000000	0.000000
cretaceous-fast-1	51	4353610	1.000000	0.000000
cretaceous-fast-1	53	3275850	0.850000	0.181918
cretaceous-fast-1	55	1038531	0.990000	0.094370
cretaceous-fast-1	58	52230080	0.840000	0.077116
cretaceous-fast-1	59	16233603	1.000000	0.000000
cretaceous-fast-1	60	4034139	1.000000	0.000000
cretaceous-fast-1	62	3596387	1.000000	0.000000
cretaceous-fast-1	65	4023146	1.000000	0.000000
cretaceous-fast-1	67	3945625	1.000000	0.000000
cretaceous-fast-1	70	49204764	0.620000	0.093581
cretaceous-fast-1	71	41615850	0.940000	0.052529
cretaceous-fast-1	73	34536827	0.940000	0.052511
cretaceous-fast-1	75	20796339	1.000000	0.000000
cretaceous-fast-1	78	34702675	0.110000	0.182326
cretaceous-fast-1	79	32289569	0.890000	0.086456
cretaceous-fast-1	80	1277447	1.000000	0.000000
cretaceous-fast-1	83	28324617	0.970000	0.054779
cretaceous-fast-1	85	16554933	1.000000	0.000000
cretaceous-fast-1	88	29650599	0.210000	0.189793
cretaceous-fast-1	89	12587332	1.000000	0.000000
cretaceous-fast-1	90	7610444	0.710000	0.105179
cretaceous-fast-1	93	12350442	1.000000	0.000000
cretaceous-fast-1	95	1772307	1.000000	0.000000
cretaceous-fast-1	98	24691261	0.090000	0.163135
cretaceous-fast-1	99	19333574	0.010000	0.370998
cretaceous-fast-1	101	2812574	0.240000	0.221867
cretaceous-fast-1	104	16140762	1.000000	0.000000
cretaceous-fast-1	106	10414913	1.000000	0.000000
cretaceous-fast-1	108	5929219	0.950000	0.052511
cretaceous-fast-10	0	113017689	0.420000	0.092615
cretaceous-fast-10	1	92375584	0.880000	0.052529
