# results from simulated data from project "project.tab"
# date: 2024-05-21T19:39:45-03:00
tree	node	age	pixels	farthest
jurassic-avg-0	0	176725055	0.440000	0.115314
jurassic-avg-0	1	155757601	0.240000	0.162827
jurassic-avg-0	2	83070742	0.610000	0.116663
jurassic-avg-0	4	29145955	0.780000	0.104740
jurassic-avg-0	6	23334632	0.020000	0.239847
jurassic-avg-0	9	129800559	0.150000	0.145638
jurassic-avg-0	11	61063586	1.000000	0.000000
jurassic-avg-0	12	5789685	0.810000	0.058120
jurassic-avg-0	14	1015465	0.890000	0.156453
jurassic-avg-0	17	59907340	1.000000	0.000000
jurassic-avg-0	18	36717652	0.950000	0.067705
jurassic-avg-0	20	27547674	0.940000	0.052529
jurassic-avg-0	22	15307852	1.000000	0.000000
jurassic-avg-0	24	10935479	1.000000	0.000000
jurassic-avg-0	27	51119450	1.000000	0.000000
jurassic-avg-0	28	50584425	0.980000	0.052150
jurassic-avg-0	30	4416693	1.000000	0.000000
jurassic-avg-0	33	39687076	0.570000	0.157530
jurassic-avg-0	35	7470163	1.000000	0.000000
jurassic-avg-0	38	169408532	0.810000	0.061697
jurassic-avg-0	39	81354715	0.660000	0.157412
jurassic-avg-0	40	67810776	0.240000	0.144104
jurassic-avg-0	42	32717145	0.710000	0.103233
jurassic-avg-0	44	12951993	0.990000	0.052375
jurassic-avg-0	46	3255172	1.000000	0.000000
jurassic-avg-0	49	74251192	0.260000	0.172374
jurassic-avg-0	50	71055313	0.280000	0.191110
jurassic-avg-0	52	55316756	0.990000	0.052401
jurassic-avg-0	55	51383540	0.860000	0.084578
jurassic-avg-0	57	47514855	0.880000	0.052511
jurassic-avg-0	59	37163650	0.840000	0.058535
jurassic-avg-0	61	23260226	0.980000	0.052511
jurassic-avg-0	63	6058271	1.000000	0.000000
jurassic-avg-0	66	133604284	0.550000	0.135188
jurassic-avg-0	67	118436964	0.620000	0.082841
jurassic-avg-0	68	74256224	0.790000	0.087383
jurassic-avg-0	69	71572820	0.840000	0.067485
jurassic-avg-0	71	3762075	1.000000	0.000000
jurassic-avg-0	73	1322862	1.000000	0.000000
jurassic-avg-0	75	642077	1.000000	0.000000
jurassic-avg-0	78	36094096	0.040000	0.265503
jurassic-avg-0	79	5275547	0.990000	0.052633
jurassic-avg-0	82	25463796	0.640000	0.128054
jurassic-avg-0	84	23146647	1.000000	0.000000
jurassic-avg-0	86	5001528	0.990000	0.052501
jurassic-avg-0	89	97208275	0.830000	0.052529
jurassic-avg-0	90	57751326	0.910000	0.052705
jurassic-avg-0	92	55227802	0.970000	0.052263
jurassic-avg-0	94	40756006	0.890000	0.054719
jurassic-avg-0	97	83099987	0.970000	0.052529
jurassic-avg-0	98	48262698	1.000000	0.000000
jurassic-avg-0	101	45454067	0.980000	0.052546
jurassic-avg-0	102	33354810	0.560000	0.160709
jurassic-avg-0	104	21557714	0.400000	0.109890
jurassic-avg-0	107	33883675	0.830000	0.053388
jurassic-avg-0	108	25003974	0.100000	0.211351
jurassic-avg-0	111	7532063	1.000000	0.000000
jurassic-avg-0	114	132616495	0.240000	0.157168
jurassic-avg-0	115	94799055	0.890000	0.076909
jurassic-avg-0	116	2671947	0.990000	0.052263
jurassic-avg-0	119	91476565	1.000000	0.000000
jurassic-avg-0	121	56749559	0.750000	0.104626
jurassic-avg-0	122	54839489	0.700000	0.104720
jurassic-avg-0	124	16027414	0.990000	0.052546
jurassic-avg-0	127	39400854	0.340000	0.179618
jurassic-avg-0	128	21409627	0.390000	0.106905
jurassic-avg-0	131	31311851	0.920000	0.085079
jurassic-avg-0	133	25810349	0.940000	0.101705
jurassic-avg-0	136	109915072	0.600000	0.104491
jurassic-avg-0	137	61756820	0.580000	0.097812
jurassic-avg-0	138	50784657	0.720000	0.098213
jurassic-avg-0	140	7898887	0.720000	0.072320
jurassic-avg-0	143	32565101	1.000000	0.000000
jurassic-avg-0	145	25003050	1.000000	0.000000
jurassic-avg-0	147	23964317	1.000000	0.000000
jurassic-avg-0	150	79082131	0.800000	0.092731
jurassic-avg-0	152	77007747	0.930000	0.052360
jurassic-avg-0	153	14757056	1.000000	0.000000
jurassic-avg-0	156	30556343	1.000000	0.000000
jurassic-avg-0	157	15891875	0.980000	0.052324
jurassic-avg-0	160	23049314	0.970000	0.052511
jurassic-avg-0	161	15049253	0.240000	0.157530
jurassic-avg-0	164	5528727	1.000000	0.000000
