# results from simulated data from project "project.tab"
# date: 2024-05-21T19:39:55-03:00
tree	node	age	pixels	farthest
jurassic-fast-0	0	165540178	0.650000	0.058237
jurassic-fast-0	1	62658519	0.740000	0.080215
jurassic-fast-0	3	58147764	0.670000	0.075342
jurassic-fast-0	4	37689952	0.940000	0.052319
jurassic-fast-0	7	25832278	0.880000	0.060991
jurassic-fast-0	9	24449388	0.770000	0.088922
jurassic-fast-0	11	2142787	0.970000	0.052511
jurassic-fast-0	14	148221352	0.460000	0.104733
jurassic-fast-0	15	145759179	0.240000	0.142329
jurassic-fast-0	16	105473412	0.840000	0.093491
jurassic-fast-0	17	53816137	0.650000	0.100515
jurassic-fast-0	19	14110566	0.680000	0.108186
jurassic-fast-0	21	7543429	0.840000	0.062026
jurassic-fast-0	24	74443265	0.800000	0.110479
jurassic-fast-0	25	6763325	0.700000	0.108202
jurassic-fast-0	27	4855154	0.910000	0.098419
jurassic-fast-0	30	45388902	0.680000	0.087208
jurassic-fast-0	32	9884595	0.760000	0.104729
jurassic-fast-0	34	7730088	0.960000	0.052810
jurassic-fast-0	37	134798815	0.590000	0.104993
jurassic-fast-0	38	20808243	0.650000	0.066801
jurassic-fast-0	40	734126	0.830000	0.052529
jurassic-fast-0	43	90310212	0.780000	0.052529
jurassic-fast-0	44	34884013	0.420000	0.107621
jurassic-fast-0	46	10202803	0.960000	0.052503
jurassic-fast-0	49	46643164	0.890000	0.104740
jurassic-fast-0	50	36566761	0.930000	0.063011
jurassic-fast-0	52	540869	0.440000	0.157455
jurassic-fast-0	55	12369082	0.810000	0.052529
jurassic-fast-0	56	11128996	0.830000	0.052417
jurassic-fast-0	58	454604	1.000000	0.000000
jurassic-fast-0	61	10724474	0.930000	0.064575
jurassic-fast-0	62	9284499	0.490000	0.108544
jurassic-fast-0	65	7726784	0.880000	0.056489
jurassic-fast-0	68	104970522	0.550000	0.113913
jurassic-fast-0	69	83320269	0.750000	0.119484
jurassic-fast-0	71	70103352	0.800000	0.052529
jurassic-fast-0	72	52719523	0.320000	0.130566
jurassic-fast-0	75	54290625	0.850000	0.052529
jurassic-fast-0	76	43658705	0.870000	0.094370
jurassic-fast-0	78	25791653	0.380000	0.116071
jurassic-fast-0	80	8030192	0.920000	0.052529
jurassic-fast-0	82	5566671	0.610000	0.066611
jurassic-fast-0	85	47813797	0.740000	0.104783
jurassic-fast-0	87	30020590	0.840000	0.093937
jurassic-fast-0	89	19961989	0.750000	0.078894
jurassic-fast-0	91	18201212	0.780000	0.112694
jurassic-fast-0	93	5865852	0.760000	0.085320
jurassic-fast-0	96	80676360	0.960000	0.052320
jurassic-fast-0	97	70720231	0.580000	0.105047
jurassic-fast-0	98	12156611	0.620000	0.094370
jurassic-fast-0	101	55329759	0.830000	0.052511
jurassic-fast-0	103	32820448	0.440000	0.105459
