# results from simulated data from project "project.tab"
# date: 2024-05-21T19:39:39-03:00
tree	node	age	pixels	farthest
jurassic-slow-0	0	155056388	1.000000	0.000000
jurassic-slow-0	1	61613841	1.000000	0.000000
jurassic-slow-0	3	54355941	0.980000	0.052459
jurassic-slow-0	5	47290799	1.000000	0.000000
jurassic-slow-0	7	10514750	0.920000	0.110406
jurassic-slow-0	9	8687533	0.950000	0.069777
jurassic-slow-0	12	103901125	0.570000	0.269571
jurassic-slow-0	13	62246037	0.920000	0.109911
jurassic-slow-0	14	61514326	0.930000	0.157338
jurassic-slow-0	15	24790599	0.990000	0.058535
jurassic-slow-0	17	10898405	0.950000	0.106183
jurassic-slow-0	20	53970204	0.870000	0.106434
jurassic-slow-0	22	40491724	0.990000	0.068486
jurassic-slow-0	24	25651510	0.990000	0.053418
jurassic-slow-0	27	60194665	0.970000	0.109911
jurassic-slow-0	28	36998314	0.960000	0.094370
jurassic-slow-0	29	1314114	0.890000	0.121736
jurassic-slow-0	32	1237994	0.920000	0.134372
jurassic-slow-0	35	15697739	0.920000	0.127586
jurassic-slow-0	36	11347049	0.910000	0.157579
jurassic-slow-0	38	1713987	0.910000	0.120617
jurassic-slow-0	41	6939619	0.880000	0.082546
jurassic-slow-0	43	5672093	0.930000	0.111933
jurassic-slow-0	46	103526853	0.620000	0.192637
jurassic-slow-0	47	32816875	0.810000	0.156513
jurassic-slow-0	48	5977272	0.900000	0.102901
jurassic-slow-0	51	32364448	0.840000	0.156513
jurassic-slow-0	52	5122466	0.940000	0.120397
jurassic-slow-0	55	3689040	0.900000	0.106594
jurassic-slow-0	58	96256845	0.480000	0.261623
jurassic-slow-0	59	81439155	0.740000	0.142416
jurassic-slow-0	60	45047917	0.910000	0.105224
jurassic-slow-0	62	24927844	0.940000	0.104298
jurassic-slow-0	65	67586921	0.820000	0.144877
jurassic-slow-0	67	39556887	0.920000	0.094370
jurassic-slow-0	69	31875887	0.950000	0.052511
jurassic-slow-0	71	25794198	0.950000	0.208997
jurassic-slow-0	73	24918936	0.960000	0.161978
jurassic-slow-0	74	372120	0.890000	0.083910
jurassic-slow-0	77	21973768	0.990000	0.052511
jurassic-slow-0	79	10843183	0.950000	0.104800
jurassic-slow-0	82	81102475	1.000000	0.000000
jurassic-slow-0	83	76629900	1.000000	0.000000
jurassic-slow-0	85	74815812	1.000000	0.000000
jurassic-slow-0	86	13659101	0.960000	0.109911
jurassic-slow-0	89	53057069	1.000000	0.000000
jurassic-slow-0	91	22012864	0.930000	0.122781
jurassic-slow-0	94	46365159	0.830000	0.123194
