# results from simulated data from project "project.tab"
# date: 2024-05-22T08:36:45-03:00
tree	node	age	pixels	farthest
neogene-fast-0	0	17511330	0.850000	0.059043
neogene-fast-0	1	17182042	0.960000	0.052180
neogene-fast-0	3	10480914	0.490000	0.089370
neogene-fast-0	4	5007638	0.660000	0.092160
neogene-fast-0	5	807215	1.000000	0.000000
neogene-fast-0	8	197052	1.000000	0.000000
neogene-fast-0	11	6402803	0.790000	0.104636
neogene-fast-0	13	5197968	0.700000	0.092381
neogene-fast-0	15	1072188	1.000000	0.000000
neogene-fast-0	17	192651	0.990000	0.053096
neogene-fast-0	20	15400468	0.980000	0.052716
neogene-fast-0	21	4842612	0.970000	0.052511
neogene-fast-0	22	2332445	0.970000	0.052019
neogene-fast-0	25	4421364	0.900000	0.056133
neogene-fast-0	27	2658592	0.300000	0.160665
neogene-fast-0	29	548237	0.930000	0.104496
neogene-fast-0	32	15298097	1.000000	0.000000
neogene-fast-0	33	11683401	0.600000	0.105047
neogene-fast-0	34	1427868	1.000000	0.000000
neogene-fast-0	37	7009931	0.500000	0.101593
neogene-fast-0	39	5377756	0.830000	0.052511
neogene-fast-0	40	3657053	0.900000	0.052528
neogene-fast-0	43	4133244	0.990000	0.052360
neogene-fast-0	44	2915619	1.000000	0.000000
neogene-fast-0	47	1982104	0.450000	0.104740
neogene-fast-0	49	868670	1.000000	0.000000
neogene-fast-0	52	13433854	0.360000	0.107344
neogene-fast-0	53	12089012	0.850000	0.052511
neogene-fast-0	54	5032380	0.180000	0.156340
neogene-fast-0	55	4227920	0.310000	0.183271
neogene-fast-0	57	2947200	0.550000	0.104787
neogene-fast-0	60	997111	1.000000	0.000000
neogene-fast-0	62	751451	1.000000	0.000000
neogene-fast-0	65	10089008	0.990000	0.052417
neogene-fast-0	66	7551383	1.000000	0.000000
neogene-fast-0	67	3251948	0.510000	0.106361
neogene-fast-0	70	6713339	1.000000	0.000000
neogene-fast-0	72	6422089	0.760000	0.103700
neogene-fast-0	74	4301106	0.980000	0.052501
neogene-fast-0	76	1905379	1.000000	0.000000
neogene-fast-0	78	1158975	0.770000	0.091392
neogene-fast-0	81	8664083	1.000000	0.000000
neogene-fast-0	82	8148557	0.970000	0.052442
neogene-fast-0	84	1020520	1.000000	0.000000
neogene-fast-0	87	8306680	1.000000	0.000000
neogene-fast-0	88	8020236	1.000000	0.000000
neogene-fast-0	90	767662	1.000000	0.000000
neogene-fast-0	93	5857412	0.690000	0.136527
neogene-fast-0	94	3767829	1.000000	0.000000
neogene-fast-0	97	393217	1.000000	0.000000
neogene-fast-0	100	11753567	0.480000	0.139798
neogene-fast-0	101	11593100	0.250000	0.116768
neogene-fast-0	102	1052024	0.990000	0.052180
neogene-fast-0	105	8668492	0.990000	0.052319
neogene-fast-0	106	807469	1.000000	0.000000
neogene-fast-0	108	717850	1.000000	0.000000
neogene-fast-0	110	314713	0.990000	0.052342
neogene-fast-0	112	296309	0.980000	0.083675
neogene-fast-0	115	5477227	0.960000	0.052319
neogene-fast-0	116	2312213	0.900000	0.058535
neogene-fast-0	119	5380125	0.780000	0.089985
neogene-fast-0	120	689403	0.990000	0.052546
neogene-fast-0	123	3185474	1.000000	0.000000
neogene-fast-0	125	2088687	1.000000	0.000000
neogene-fast-0	127	1738199	1.000000	0.000000
neogene-fast-0	130	8178270	0.750000	0.081198
neogene-fast-0	131	5469905	0.930000	0.052546
neogene-fast-0	133	1140159	1.000000	0.000000
neogene-fast-0	136	6874849	0.780000	0.104742
neogene-fast-0	137	6037947	0.100000	0.187526
neogene-fast-0	138	2279752	1.000000	0.000000
neogene-fast-0	140	1429947	1.000000	0.000000
neogene-fast-0	143	700663	1.000000	0.000000
neogene-fast-0	145	271491	1.000000	0.000000
neogene-fast-0	148	6758052	0.850000	0.115095
neogene-fast-0	150	6090812	0.990000	0.052288
neogene-fast-0	151	5837664	0.790000	0.053222
neogene-fast-0	152	3584214	1.000000	0.000000
neogene-fast-0	155	2149665	1.000000	0.000000
neogene-fast-0	158	3702261	1.000000	0.000000
neogene-fast-0	159	1478607	0.050000	0.140940
neogene-fast-0	162	2604421	1.000000	0.000000
neogene-fast-0	163	1928528	1.000000	0.000000
neogene-fast-0	165	979354	1.000000	0.000000
neogene-fast-0	167	80043	0.960000	0.052482
neogene-fast-0	170	1042384	1.000000	0.000000
neogene-fast-0	171	311693	0.980000	0.052401
neogene-fast-0	174	197347	0.960000	0.058536
neogene-fast-1	0	8300042	1.000000	0.000000
neogene-fast-1	2	7743045	1.000000	0.000000
neogene-fast-1	3	5285775	1.000000	0.000000
neogene-fast-1	4	2786497	1.000000	0.000000
neogene-fast-1	6	1651139	1.000000	0.000000
neogene-fast-1	8	1209267	1.000000	0.000000
neogene-fast-1	11	4646725	1.000000	0.000000
neogene-fast-1	12	904288	0.950000	0.053661
neogene-fast-1	15	3934165	1.000000	0.000000
neogene-fast-1	16	2605791	1.000000	0.000000
neogene-fast-1	18	2271502	1.000000	0.000000
neogene-fast-1	20	1159819	0.420000	0.427545
neogene-fast-1	23	1677293	1.000000	0.000000
neogene-fast-1	24	192557	0.880000	0.193942
neogene-fast-1	26	162253	0.950000	0.193942
neogene-fast-1	29	709882	0.990000	0.178670
neogene-fast-1	31	494668	0.980000	0.066038
neogene-fast-1	33	443870	0.950000	0.052546
neogene-fast-1	36	7063782	0.990000	0.052417
neogene-fast-1	37	6848409	1.000000	0.000000
neogene-fast-1	38	2911492	1.000000	0.000000
neogene-fast-1	40	2827815	1.000000	0.000000
neogene-fast-1	41	191280	0.920000	0.161351
neogene-fast-1	44	2177171	0.900000	0.170029
neogene-fast-1	46	1555629	0.290000	0.237715
neogene-fast-1	47	165845	0.890000	0.058536
neogene-fast-1	49	12733	0.960000	0.140940
neogene-fast-1	52	1012057	0.090000	0.429160
neogene-fast-1	54	575821	0.910000	0.108092
neogene-fast-1	56	118672	0.960000	0.145299
neogene-fast-1	58	35867	0.950000	0.137060
neogene-fast-1	61	5636347	1.000000	0.000000
neogene-fast-1	63	4352266	1.000000	0.000000
neogene-fast-1	64	3626835	1.000000	0.000000
neogene-fast-1	66	540506	0.870000	0.187489
neogene-fast-1	67	311270	0.980000	0.052529
