# results from simulated data from project "project.tab"
# date: 2024-05-22T08:35:52-03:00
tree	node	age	pixels	farthest
neogene-slow-0	0	9020899	0.200000	0.253778
neogene-slow-0	1	8483936	0.280000	0.210517
neogene-slow-0	2	4818077	0.500000	0.196120
neogene-slow-0	4	1507853	0.780000	0.105163
neogene-slow-0	7	6311756	0.570000	0.168355
neogene-slow-0	9	5806194	0.610000	0.146577
neogene-slow-0	10	663046	0.770000	0.209737
neogene-slow-0	13	4748231	0.520000	0.168355
neogene-slow-0	14	66006	0.710000	0.139893
neogene-slow-0	17	3569915	0.610000	0.197739
neogene-slow-0	18	3292335	0.650000	0.189476
neogene-slow-0	20	509361	0.740000	0.151841
neogene-slow-0	23	1324668	0.680000	0.189476
neogene-slow-0	25	1084583	0.750000	0.152192
neogene-slow-0	27	701066	0.730000	0.142097
neogene-slow-0	30	7038363	0.330000	0.303152
neogene-slow-0	31	4222099	0.550000	0.245202
neogene-slow-0	32	2907938	0.750000	0.164147
neogene-slow-0	34	1196728	0.590000	0.311005
neogene-slow-0	37	3433991	0.500000	0.209631
neogene-slow-0	38	1580289	0.640000	0.136311
neogene-slow-0	40	77850	0.770000	0.134310
neogene-slow-0	43	3414993	0.500000	0.209631
neogene-slow-0	44	1762180	0.710000	0.170527
neogene-slow-0	45	212786	0.770000	0.311867
neogene-slow-0	48	1728079	0.710000	0.170527
neogene-slow-0	50	335623	0.800000	0.140023
neogene-slow-0	53	2651113	0.620000	0.180931
neogene-slow-0	55	2535898	0.590000	0.180931
neogene-slow-0	56	1720784	0.790000	0.155525
neogene-slow-0	58	1541587	0.790000	0.155525
neogene-slow-0	60	298274	0.900000	0.106174
neogene-slow-0	63	2345865	0.650000	0.180931
neogene-slow-0	65	2171295	0.720000	0.160672
neogene-slow-0	67	817226	0.660000	0.204162
neogene-slow-0	69	405561	0.590000	0.170338
neogene-slow-0	71	276229	0.580000	0.209928
neogene-slow-0	74	6943164	0.320000	0.234867
neogene-slow-0	75	3127370	0.760000	0.214259
neogene-slow-0	76	2530197	0.810000	0.186554
neogene-slow-0	78	2486641	0.810000	0.186554
neogene-slow-0	81	2159653	0.840000	0.117924
neogene-slow-0	83	1231262	0.880000	0.109882
neogene-slow-0	86	6249441	0.510000	0.240846
neogene-slow-0	87	2846304	0.190000	0.235540
neogene-slow-0	89	39107	0.910000	0.141954
neogene-slow-0	92	4838043	0.410000	0.239428
neogene-slow-0	93	3826692	0.760000	0.170167
neogene-slow-0	95	3337925	0.730000	0.104889
neogene-slow-0	96	341607	0.920000	0.106052
neogene-slow-0	99	1114930	0.660000	0.224065
neogene-slow-0	100	923115	0.700000	0.155842
neogene-slow-0	102	380659	0.770000	0.110228
neogene-slow-0	105	965843	0.730000	0.177125
