# results from simulated data from project "project.tab"
# date: 2024-05-22T08:35:28-03:00
tree	node	age	pixels	farthest
paleogene-fast-0	0	54820883	0.140000	0.156864
paleogene-fast-0	1	43196694	0.810000	0.135513
paleogene-fast-0	2	24177801	0.710000	0.104354
paleogene-fast-0	4	2412053	0.970000	0.052801
paleogene-fast-0	7	19139153	0.670000	0.118615
paleogene-fast-0	8	5861292	0.680000	0.107697
paleogene-fast-0	11	16389901	0.400000	0.104742
paleogene-fast-0	13	15611076	0.860000	0.053031
paleogene-fast-0	15	11565748	0.910000	0.055008
paleogene-fast-0	16	11167359	0.830000	0.089821
paleogene-fast-0	19	4649227	0.950000	0.052511
paleogene-fast-0	22	49049962	0.630000	0.075969
paleogene-fast-0	23	43601149	0.750000	0.105021
paleogene-fast-0	25	36842975	0.650000	0.069155
paleogene-fast-0	26	21047822	0.790000	0.063011
paleogene-fast-0	27	2382713	0.820000	0.052546
paleogene-fast-0	30	11443611	0.440000	0.130426
paleogene-fast-0	32	3325600	1.000000	0.000000
paleogene-fast-0	35	27097757	0.890000	0.054382
paleogene-fast-0	36	25692412	0.920000	0.067984
paleogene-fast-0	37	13108438	0.680000	0.107692
paleogene-fast-0	40	24513264	0.870000	0.105017
paleogene-fast-0	42	3238843	1.000000	0.000000
paleogene-fast-0	45	22195447	0.450000	0.096051
paleogene-fast-0	47	5974119	0.900000	0.052501
paleogene-fast-0	48	4490676	0.990000	0.052319
paleogene-fast-0	51	4253110	0.990000	0.052546
paleogene-fast-0	54	41373878	0.780000	0.058535
paleogene-fast-0	55	29476615	0.460000	0.108753
paleogene-fast-0	56	5290228	1.000000	0.000000
paleogene-fast-0	59	23269052	0.860000	0.053388
paleogene-fast-0	61	15957983	0.920000	0.052417
paleogene-fast-0	63	6350174	0.370000	0.107377
paleogene-fast-0	65	4452105	0.180000	0.179229
paleogene-fast-0	68	36886368	0.630000	0.114150
paleogene-fast-0	69	28342228	0.580000	0.107320
paleogene-fast-0	70	12939403	0.590000	0.157237
paleogene-fast-0	72	4325480	0.990000	0.052150
paleogene-fast-0	75	21551695	0.250000	0.134063
paleogene-fast-0	76	9835712	1.000000	0.000000
paleogene-fast-0	79	17076386	0.760000	0.103857
paleogene-fast-0	80	15947718	0.830000	0.053731
paleogene-fast-0	83	14850312	0.220000	0.163559
paleogene-fast-0	85	2934466	0.500000	0.091589
paleogene-fast-0	88	25061415	0.810000	0.067408
paleogene-fast-0	89	304896	1.000000	0.000000
paleogene-fast-0	92	20324508	0.810000	0.059158
paleogene-fast-0	93	16517459	0.530000	0.094938
paleogene-fast-0	94	5612352	0.910000	0.052929
paleogene-fast-0	97	3852555	1.000000	0.000000
paleogene-fast-0	100	15121357	0.930000	0.052501
