# results from simulated data from project "project.tab"
# date: 2024-05-22T00:42:25-03:00
tree	node	age	pixels	farthest
triassic-avg-0	0	245506555	0.970000	0.052360
triassic-avg-0	1	156879379	0.970000	0.052801
triassic-avg-0	2	18705543	1.000000	0.000000
triassic-avg-0	5	129266172	1.000000	0.000000
triassic-avg-0	6	42590620	1.000000	0.000000
triassic-avg-0	8	26245338	1.000000	0.000000
triassic-avg-0	10	22308543	1.000000	0.000000
triassic-avg-0	12	1810597	0.940000	0.067252
triassic-avg-0	15	112111798	1.000000	0.000000
triassic-avg-0	16	79206850	1.000000	0.000000
triassic-avg-0	17	14227566	0.910000	0.052511
triassic-avg-0	20	70655341	1.000000	0.000000
triassic-avg-0	22	17000981	0.770000	0.081198
triassic-avg-0	25	99031860	1.000000	0.000000
triassic-avg-0	26	20748591	1.000000	0.000000
triassic-avg-0	27	7866563	1.000000	0.000000
triassic-avg-0	30	3978499	0.950000	0.156647
triassic-avg-0	33	44545392	1.000000	0.000000
triassic-avg-0	34	38454531	1.000000	0.000000
triassic-avg-0	37	29969752	0.940000	0.052820
triassic-avg-0	39	26731692	1.000000	0.000000
triassic-avg-0	41	6480151	1.000000	0.000000
triassic-avg-0	44	226680485	0.680000	0.053258
triassic-avg-0	46	193411329	1.000000	0.000000
triassic-avg-0	47	154985384	1.000000	0.000000
triassic-avg-0	48	37664974	1.000000	0.000000
triassic-avg-0	51	151141249	1.000000	0.000000
triassic-avg-0	52	104528849	0.980000	0.052320
triassic-avg-0	55	149856666	1.000000	0.000000
triassic-avg-0	57	134418467	1.000000	0.000000
triassic-avg-0	58	122214873	1.000000	0.000000
triassic-avg-0	60	9427930	1.000000	0.000000
triassic-avg-0	63	114199551	1.000000	0.000000
triassic-avg-0	64	18112519	1.000000	0.000000
triassic-avg-0	67	34958316	1.000000	0.000000
triassic-avg-0	68	4274745	1.000000	0.000000
triassic-avg-0	71	16575501	0.960000	0.062033
triassic-avg-0	73	4966440	0.980000	0.057382
triassic-avg-0	76	176620144	0.480000	0.140139
triassic-avg-0	77	78438668	0.770000	0.066104
triassic-avg-0	78	62388672	0.260000	0.109447
triassic-avg-0	81	73441061	1.000000	0.000000
triassic-avg-0	82	32431718	1.000000	0.000000
triassic-avg-0	84	15920226	1.000000	0.000000
triassic-avg-0	87	70391922	1.000000	0.000000
triassic-avg-0	89	5947744	1.000000	0.000000
triassic-avg-0	91	639350	0.950000	0.107507
triassic-avg-0	94	128433261	0.000000	0.315049
triassic-avg-0	95	83500352	0.980000	0.052459
triassic-avg-0	97	53574332	1.000000	0.000000
triassic-avg-0	99	44956645	0.930000	0.052417
triassic-avg-0	100	7086389	0.990000	0.052401
triassic-avg-0	103	39597767	1.000000	0.000000
triassic-avg-0	105	26535124	1.000000	0.000000
triassic-avg-0	107	20289992	0.870000	0.071506
triassic-avg-0	109	5280526	1.000000	0.000000
triassic-avg-0	112	115329692	0.040000	0.338632
triassic-avg-0	113	78106393	0.030000	0.215898
triassic-avg-0	115	21901253	1.000000	0.000000
triassic-avg-0	117	7887090	1.000000	0.000000
triassic-avg-0	120	93594027	0.530000	0.104889
triassic-avg-0	121	86062058	0.500000	0.163322
triassic-avg-0	122	55321059	1.000000	0.000000
triassic-avg-0	125	25750216	1.000000	0.000000
triassic-avg-0	127	19521268	0.680000	0.148062
triassic-avg-0	130	76466877	1.000000	0.000000
triassic-avg-0	131	50494366	0.930000	0.055820
triassic-avg-0	133	46670468	1.000000	0.000000
triassic-avg-0	134	33032133	1.000000	0.000000
triassic-avg-0	137	7684315	1.000000	0.000000
triassic-avg-0	140	63518952	0.990000	0.052529
triassic-avg-0	141	14043085	1.000000	0.000000
triassic-avg-0	144	46966974	0.960000	0.052546
triassic-avg-0	145	29258022	1.000000	0.000000
triassic-avg-0	147	8000795	1.000000	0.000000
triassic-avg-0	150	6187647	0.930000	0.262610
triassic-avg-0	152	4830649	0.990000	0.052288
triassic-avg-0	154	448152	0.930000	0.104576
triassic-avg-1	0	217428736	0.960000	0.052401
triassic-avg-1	1	46986483	0.480000	0.150273
triassic-avg-1	3	44004349	0.630000	0.104831
triassic-avg-1	6	195062120	0.740000	0.105886
triassic-avg-1	7	152884539	1.000000	0.000000
triassic-avg-1	8	46479836	0.880000	0.054565
triassic-avg-1	9	40118453	1.000000	0.000000
triassic-avg-1	12	22445776	0.970000	0.052419
triassic-avg-1	13	19010484	0.970000	0.052342
triassic-avg-1	16	11514850	1.000000	0.000000
triassic-avg-1	19	36357127	0.600000	0.114737
triassic-avg-1	20	34158803	0.930000	0.058045
triassic-avg-1	22	18822332	0.990000	0.052373
triassic-avg-1	25	31928175	0.830000	0.106458
triassic-avg-1	26	28604075	1.000000	0.000000
triassic-avg-1	28	21273736	0.970000	0.051502
triassic-avg-1	31	18187871	0.990000	0.054901
triassic-avg-1	32	10239669	0.980000	0.052122
triassic-avg-1	35	2710410	0.940000	0.156647
triassic-avg-1	38	155112212	0.950000	0.052501
triassic-avg-1	39	99256542	0.900000	0.058120
triassic-avg-1	40	87760810	0.960000	0.052459
triassic-avg-1	41	57301911	0.990000	0.052511
triassic-avg-1	43	46616992	0.350000	0.123657
triassic-avg-1	46	53186097	1.000000	0.000000
triassic-avg-1	48	52294349	1.000000	0.000000
triassic-avg-1	50	39259980	1.000000	0.000000
triassic-avg-1	51	18030114	0.840000	0.105021
triassic-avg-1	54	36683058	1.000000	0.000000
triassic-avg-1	56	25786687	0.780000	0.058208
triassic-avg-1	59	63360647	1.000000	0.000000
triassic-avg-1	60	1841011	0.990000	0.052171
triassic-avg-1	63	45608746	0.990000	0.052419
triassic-avg-1	64	15239294	1.000000	0.000000
triassic-avg-1	66	11404787	0.980000	0.094375
triassic-avg-1	69	43925996	0.920000	0.056673
triassic-avg-1	71	38551819	0.980000	0.052419
triassic-avg-1	72	9403732	1.000000	0.000000
triassic-avg-1	75	4129088	1.000000	0.000000
triassic-avg-1	78	150998035	0.930000	0.053265
triassic-avg-1	79	66054211	1.000000	0.000000
triassic-avg-1	80	64762176	1.000000	0.000000
triassic-avg-1	82	14876973	0.980000	0.052150
triassic-avg-1	85	37086607	1.000000	0.000000
triassic-avg-1	86	24685093	1.000000	0.000000
triassic-avg-1	88	6318781	1.000000	0.000000
triassic-avg-1	91	11279147	0.940000	0.140928
triassic-avg-1	93	7091683	0.980000	0.105271
triassic-avg-1	96	129909400	1.000000	0.000000
triassic-avg-1	98	122324782	1.000000	0.000000
triassic-avg-1	99	65954291	1.000000	0.000000
triassic-avg-1	100	41467997	1.000000	0.000000
triassic-avg-1	103	34053846	0.860000	0.104743
triassic-avg-1	106	92389079	1.000000	0.000000
triassic-avg-1	107	42927620	0.740000	0.128497
triassic-avg-1	109	11236409	1.000000	0.000000
triassic-avg-1	112	79998068	1.000000	0.000000
triassic-avg-1	113	78911939	1.000000	0.000000
triassic-avg-1	115	29242283	0.530000	0.156910
triassic-avg-1	117	15306512	1.000000	0.000000
triassic-avg-1	120	24677641	0.990000	0.052529
triassic-avg-1	122	22766520	1.000000	0.000000
triassic-avg-1	124	1094304	0.920000	0.159748
triassic-avg-10	0	227007316	0.900000	0.052546
triassic-avg-10	1	214482938	0.610000	0.103891
triassic-avg-10	2	206175804	0.790000	0.066781
triassic-avg-10	4	49815910	0.590000	0.088411
triassic-avg-10	7	209731185	0.330000	0.097772
triassic-avg-10	8	190991148	0.830000	0.105569
triassic-avg-10	9	98393778	0.610000	0.110164
triassic-avg-10	10	17149347	0.200000	0.186521
triassic-avg-10	13	1668978	0.970000	0.066521
triassic-avg-10	16	78982811	0.930000	0.052501
triassic-avg-10	17	56812623	0.990000	0.052005
triassic-avg-10	20	69366746	0.990000	0.052180
triassic-avg-10	21	20521748	0.940000	0.052360
triassic-avg-10	22	18476303	1.000000	0.000000
triassic-avg-10	25	9510490	1.000000	0.000000
triassic-avg-10	28	65702026	0.990000	0.052373
triassic-avg-10	29	12559457	0.640000	0.071329
triassic-avg-10	32	41901897	1.000000	0.000000
triassic-avg-10	34	20375528	1.000000	0.000000
triassic-avg-10	37	197713640	0.360000	0.104576
triassic-avg-10	38	89740989	0.770000	0.053690
triassic-avg-10	41	175465170	0.800000	0.090907
triassic-avg-10	42	132523351	0.790000	0.056588
triassic-avg-10	44	84411735	0.610000	0.088969
triassic-avg-10	45	3855959	0.780000	0.164105
triassic-avg-10	48	55126216	0.560000	0.156921
triassic-avg-10	49	25977516	0.990000	0.052263
triassic-avg-10	52	5707637	1.000000	0.000000
triassic-avg-10	55	81909244	0.890000	0.083254
triassic-avg-10	56	39969863	0.990000	0.052401
triassic-avg-10	58	23538623	1.000000	0.000000
triassic-avg-10	59	8742415	0.950000	0.052180
triassic-avg-10	62	15246410	0.550000	0.117070
triassic-avg-10	64	11143032	0.290000	0.135003
triassic-avg-10	67	50662120	0.230000	0.140940
triassic-avg-10	69	35881784	0.940000	0.052319
triassic-avg-10	70	32057596	0.910000	0.054066
triassic-avg-10	72	4284575	0.800000	0.104860
