# results from simulated data from project "project.tab"
# date: 2024-05-22T00:42:36-03:00
tree	node	age	pixels	farthest
triassic-fast-0	0	206814894	0.680000	0.104630
triassic-fast-0	1	149401368	0.610000	0.108434
triassic-fast-0	2	92802012	0.970000	0.085635
triassic-fast-0	3	15443324	0.890000	0.052396
triassic-fast-0	6	7085665	1.000000	0.000000
triassic-fast-0	9	112240602	0.890000	0.096898
triassic-fast-0	10	54621080	0.690000	0.123305
triassic-fast-0	12	41222889	0.800000	0.055958
triassic-fast-0	15	108428489	0.910000	0.056117
triassic-fast-0	16	37831372	0.780000	0.052417
triassic-fast-0	18	21840897	0.970000	0.052375
triassic-fast-0	19	7340621	0.100000	0.155660
triassic-fast-0	22	2049124	1.000000	0.000000
triassic-fast-0	25	102786903	0.300000	0.131033
triassic-fast-0	26	20976372	0.870000	0.058280
triassic-fast-0	28	3311333	0.980000	0.052529
triassic-fast-0	31	98640845	0.600000	0.104788
triassic-fast-0	33	88577507	0.420000	0.104831
triassic-fast-0	34	38522839	1.000000	0.000000
triassic-fast-0	36	6296002	0.050000	0.280955
triassic-fast-0	39	32204413	0.810000	0.102228
triassic-fast-0	40	32129117	0.840000	0.086157
triassic-fast-0	42	5985098	1.000000	0.000000
triassic-fast-0	45	21799618	0.910000	0.104354
triassic-fast-0	47	8059242	0.450000	0.202853
triassic-fast-0	49	972189	1.000000	0.000000
triassic-fast-0	52	185818320	0.640000	0.110130
triassic-fast-0	54	143854445	0.480000	0.119972
triassic-fast-0	55	28238608	0.620000	0.100842
triassic-fast-0	58	94688939	0.800000	0.104327
triassic-fast-0	59	11167188	0.760000	0.087408
triassic-fast-0	61	10944122	0.900000	0.052733
triassic-fast-0	63	10488363	0.920000	0.052633
triassic-fast-0	66	92698135	0.740000	0.093096
triassic-fast-0	67	34076235	0.650000	0.102457
triassic-fast-0	68	6437310	0.950000	0.064871
triassic-fast-0	71	1177373	0.910000	0.141304
triassic-fast-0	74	65312641	0.950000	0.052419
triassic-fast-0	75	37332485	0.840000	0.095470
triassic-fast-0	78	63074213	0.760000	0.069611
triassic-fast-0	79	40474341	0.830000	0.079388
triassic-fast-0	81	8100164	0.930000	0.097467
triassic-fast-0	84	59453610	0.570000	0.104626
triassic-fast-0	85	50228335	0.580000	0.097812
triassic-fast-0	87	417759	0.980000	0.094783
triassic-fast-0	90	57520928	0.670000	0.118874
triassic-fast-0	91	38424018	0.300000	0.126208
triassic-fast-0	93	752915	0.920000	0.116949
triassic-fast-0	96	55644757	0.480000	0.095362
triassic-fast-0	97	46454411	0.410000	0.157552
