# simulated lambda of project "project.tab"
# date: 2024-05-20T21:49:26-03:00
tree	lambda
cretaceous-fast-0	9.679806
cretaceous-fast-1	8.687439
cretaceous-fast-10	8.816815
cretaceous-fast-11	4.030346
cretaceous-fast-12	4.384594
cretaceous-fast-13	5.457767
cretaceous-fast-14	3.473538
cretaceous-fast-15	1.313618
cretaceous-fast-16	3.769775
cretaceous-fast-17	9.209717
cretaceous-fast-18	2.151569
cretaceous-fast-19	3.826389
cretaceous-fast-2	3.188268
cretaceous-fast-20	5.207874
cretaceous-fast-21	5.787243
cretaceous-fast-22	3.887853
cretaceous-fast-23	8.292891
cretaceous-fast-24	8.483998
cretaceous-fast-25	4.448868
cretaceous-fast-26	5.540678
cretaceous-fast-27	3.316116
cretaceous-fast-28	7.002473
cretaceous-fast-29	7.283834
cretaceous-fast-3	9.824629
cretaceous-fast-30	6.742311
cretaceous-fast-31	7.753330
cretaceous-fast-32	6.846272
cretaceous-fast-33	3.798803
cretaceous-fast-34	6.091150
cretaceous-fast-35	5.089773
cretaceous-fast-36	2.722304
cretaceous-fast-37	7.838831
cretaceous-fast-38	1.353388
cretaceous-fast-39	3.409615
cretaceous-fast-4	2.157888
cretaceous-fast-40	7.235173
cretaceous-fast-41	6.745742
cretaceous-fast-42	6.578738
cretaceous-fast-43	7.690253
cretaceous-fast-44	9.827384
cretaceous-fast-45	1.070031
cretaceous-fast-46	7.269285
cretaceous-fast-47	3.307351
cretaceous-fast-48	2.309539
cretaceous-fast-49	1.098018
cretaceous-fast-5	1.090617
cretaceous-fast-6	8.324511
cretaceous-fast-7	3.055876
cretaceous-fast-8	6.664733
cretaceous-fast-9	1.142342
