# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:49:26-03:00
tree	node	parent	age	taxon
cretaceous-fast-0	0	-1	117049376	
cretaceous-fast-0	1	0	111863731	
cretaceous-fast-0	2	1	63419845	
cretaceous-fast-0	3	2	17251657	
cretaceous-fast-0	4	3	0	Term21
cretaceous-fast-0	5	3	0	Term22
cretaceous-fast-0	6	2	50140648	
cretaceous-fast-0	7	6	0	Term23
cretaceous-fast-0	8	6	37817263	
cretaceous-fast-0	9	8	0	Term26
cretaceous-fast-0	10	8	1632705	
cretaceous-fast-0	11	10	0	Term24
cretaceous-fast-0	12	10	0	Term25
cretaceous-fast-0	13	1	80219720	
cretaceous-fast-0	14	13	44539244	
cretaceous-fast-0	15	14	26088754	
cretaceous-fast-0	16	15	0	Term0
cretaceous-fast-0	17	15	3119490	
cretaceous-fast-0	18	17	0	Term1
cretaceous-fast-0	19	17	0	Term2
cretaceous-fast-0	20	14	25055137	
cretaceous-fast-0	21	20	10930734	
cretaceous-fast-0	22	21	0	Term3
cretaceous-fast-0	23	21	0	Term4
cretaceous-fast-0	24	20	23460779	
cretaceous-fast-0	25	24	0	Term8
cretaceous-fast-0	26	24	12959951	
cretaceous-fast-0	27	26	0	Term7
cretaceous-fast-0	28	26	2791492	
cretaceous-fast-0	29	28	0	Term5
cretaceous-fast-0	30	28	0	Term6
cretaceous-fast-0	31	13	41829346	
cretaceous-fast-0	32	31	0	Term20
cretaceous-fast-0	33	31	33245586	
cretaceous-fast-0	34	33	23981297	
cretaceous-fast-0	35	34	0	Term19
cretaceous-fast-0	36	34	22720686	
cretaceous-fast-0	37	36	0	Term15
cretaceous-fast-0	38	36	15655628	
cretaceous-fast-0	39	38	0	Term18
cretaceous-fast-0	40	38	7882760	
cretaceous-fast-0	41	40	0	Term16
cretaceous-fast-0	42	40	0	Term17
cretaceous-fast-0	43	33	22485998	
cretaceous-fast-0	44	43	0	Term14
cretaceous-fast-0	45	43	21561558	
cretaceous-fast-0	46	45	0	Term9
cretaceous-fast-0	47	45	14724949	
cretaceous-fast-0	48	47	13010397	
cretaceous-fast-0	49	48	0	Term12
cretaceous-fast-0	50	48	0	Term13
cretaceous-fast-0	51	47	9300157	
cretaceous-fast-0	52	51	0	Term10
cretaceous-fast-0	53	51	0	Term11
cretaceous-fast-0	54	0	114998343	
cretaceous-fast-0	55	54	114929824	
cretaceous-fast-0	56	55	0	Term27
cretaceous-fast-0	57	55	109505883	
cretaceous-fast-0	58	57	5766699	
cretaceous-fast-0	59	58	0	Term36
cretaceous-fast-0	60	58	5149329	
cretaceous-fast-0	61	60	0	Term37
cretaceous-fast-0	62	60	0	Term38
cretaceous-fast-0	63	57	107111582	
cretaceous-fast-0	64	63	15652340	
cretaceous-fast-0	65	64	0	Term28
cretaceous-fast-0	66	64	0	Term29
cretaceous-fast-0	67	63	30252100	
cretaceous-fast-0	68	67	0	Term35
cretaceous-fast-0	69	67	29401776	
cretaceous-fast-0	70	69	2446204	
cretaceous-fast-0	71	70	0	Term33
cretaceous-fast-0	72	70	0	Term34
cretaceous-fast-0	73	69	22012312	
cretaceous-fast-0	74	73	0	Term32
cretaceous-fast-0	75	73	5715012	
cretaceous-fast-0	76	75	0	Term30
cretaceous-fast-0	77	75	0	Term31
cretaceous-fast-0	78	54	84276592	
cretaceous-fast-0	79	78	82314956	
cretaceous-fast-0	80	79	0	Term46
cretaceous-fast-0	81	79	79229573	
cretaceous-fast-0	82	81	17471068	
cretaceous-fast-0	83	82	0	Term39
cretaceous-fast-0	84	82	0	Term40
cretaceous-fast-0	85	81	38218055	
cretaceous-fast-0	86	85	30037371	
cretaceous-fast-0	87	86	0	Term41
cretaceous-fast-0	88	86	0	Term42
cretaceous-fast-0	89	85	6415628	
cretaceous-fast-0	90	89	0	Term43
cretaceous-fast-0	91	89	3359728	
cretaceous-fast-0	92	91	0	Term44
cretaceous-fast-0	93	91	0	Term45
cretaceous-fast-0	94	78	49781878	
cretaceous-fast-0	95	94	32436572	
cretaceous-fast-0	96	95	0	Term58
cretaceous-fast-0	97	95	30092724	
cretaceous-fast-0	98	97	14124833	
cretaceous-fast-0	99	98	0	Term56
cretaceous-fast-0	100	98	0	Term57
cretaceous-fast-0	101	97	1413490	
cretaceous-fast-0	102	101	0	Term54
cretaceous-fast-0	103	101	0	Term55
cretaceous-fast-0	104	94	44200916	
cretaceous-fast-0	105	104	8140075	
cretaceous-fast-0	106	105	0	Term47
cretaceous-fast-0	107	105	0	Term48
cretaceous-fast-0	108	104	29775060	
cretaceous-fast-0	109	108	2913674	
cretaceous-fast-0	110	109	0	Term49
cretaceous-fast-0	111	109	0	Term50
cretaceous-fast-0	112	108	19169766	
cretaceous-fast-0	113	112	0	Term51
cretaceous-fast-0	114	112	4581240	
