# results from simulated data from project "project.tab"
# date: 2024-05-23T03:06:44-03:00
tree	terms	rootAge	lambda	ml-lambda
cretaceous-slow-0	51	90.482	538.414158	831.445312
cretaceous-slow-1	99	93.059	887.359918	2195.703125
cretaceous-slow-10	68	130.370	397.417232	670.800781
cretaceous-slow-11	85	111.446	163.672000	183.007812
cretaceous-slow-12	59	88.828	693.577374	2027.246094
cretaceous-slow-13	64	122.109	118.124404	136.132812
cretaceous-slow-14	87	111.390	592.440352	1315.820312
cretaceous-slow-15	55	119.332	676.685023	1747.949219
cretaceous-slow-16	65	113.077	202.790297	300.683594
cretaceous-slow-17	88	141.705	306.082161	377.832031
cretaceous-slow-18	93	68.816	773.496807	1496.972656
cretaceous-slow-19	60	72.567	497.330261	1189.355469
cretaceous-slow-2	92	74.946	331.890915	810.449219
cretaceous-slow-20	54	77.526	679.007775	2468.164062
cretaceous-slow-21	83	121.114	201.732871	296.289062
cretaceous-slow-22	55	133.490	393.117566	510.156250
cretaceous-slow-23	59	97.521	647.059377	1290.917969
cretaceous-slow-24	55	69.565	945.045074	4415.429688
cretaceous-slow-25	56	85.451	595.890220	1169.824219
cretaceous-slow-26	66	97.193	326.336806	497.949219
cretaceous-slow-27	79	140.224	341.099446	550.195312
cretaceous-slow-28	58	89.086	719.282865	1257.226562
cretaceous-slow-29	62	109.394	732.054749	1175.683594
cretaceous-slow-3	57	89.465	376.873316	851.464844
cretaceous-slow-30	80	131.860	326.985519	535.546875
cretaceous-slow-31	57	128.663	824.434784	1615.625000
cretaceous-slow-32	51	128.402	440.383053	1122.949219
cretaceous-slow-33	51	70.854	163.970471	260.156250
cretaceous-slow-34	57	115.454	738.387739	1682.519531
cretaceous-slow-35	83	119.763	376.415327	757.226562
cretaceous-slow-36	52	106.203	271.790645	352.929688
cretaceous-slow-37	96	108.464	600.076172	986.230469
cretaceous-slow-38	80	138.757	663.575011	1294.335938
cretaceous-slow-39	81	99.673	716.430423	1979.882812
cretaceous-slow-4	50	117.906	255.542655	313.378906
cretaceous-slow-40	86	131.967	596.938028	1228.417969
cretaceous-slow-41	66	122.211	396.399655	799.218750
cretaceous-slow-42	86	101.067	871.936763	1933.496094
cretaceous-slow-43	63	78.771	440.140114	863.671875
cretaceous-slow-44	90	73.307	355.458415	611.230469
cretaceous-slow-45	68	115.254	720.127097	1195.214844
cretaceous-slow-46	51	89.157	641.915377	1589.746094
cretaceous-slow-47	77	83.847	774.843079	2247.949219
cretaceous-slow-48	55	106.119	151.945077	216.210938
cretaceous-slow-49	72	74.484	867.403060	2717.675781
cretaceous-slow-5	57	91.947	705.160046	922.265625
cretaceous-slow-6	52	120.568	167.284426	167.871094
cretaceous-slow-7	56	109.891	865.414111	1523.828125
cretaceous-slow-8	82	118.354	622.435613	1507.714844
cretaceous-slow-9	88	78.124	473.620333	747.460938
