# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:46:23-03:00
tree	node	parent	age	taxon
cretaceous-slow-0	0	-1	90481780	
cretaceous-slow-0	1	0	39926868	
cretaceous-slow-0	2	1	0	Term0
cretaceous-slow-0	3	1	24711367	
cretaceous-slow-0	4	3	0	Term1
cretaceous-slow-0	5	3	13129969	
cretaceous-slow-0	6	5	0	Term2
cretaceous-slow-0	7	5	11119024	
cretaceous-slow-0	8	7	0	Term3
cretaceous-slow-0	9	7	0	Term4
cretaceous-slow-0	10	0	65718295	
cretaceous-slow-0	11	10	44898177	
cretaceous-slow-0	12	11	0	Term5
cretaceous-slow-0	13	11	43016536	
cretaceous-slow-0	14	13	0	Term6
cretaceous-slow-0	15	13	19502294	
cretaceous-slow-0	16	15	12634344	
cretaceous-slow-0	17	16	0	Term7
cretaceous-slow-0	18	16	0	Term8
cretaceous-slow-0	19	15	15387934	
cretaceous-slow-0	20	19	0	Term9
cretaceous-slow-0	21	19	11552969	
cretaceous-slow-0	22	21	0	Term12
cretaceous-slow-0	23	21	1138296	
cretaceous-slow-0	24	23	0	Term10
cretaceous-slow-0	25	23	0	Term11
cretaceous-slow-0	26	10	50948098	
cretaceous-slow-0	27	26	46501777	
cretaceous-slow-0	28	27	0	Term38
cretaceous-slow-0	29	27	44987190	
cretaceous-slow-0	30	29	0	Term50
cretaceous-slow-0	31	29	40802754	
cretaceous-slow-0	32	31	31011540	
cretaceous-slow-0	33	32	0	Term39
cretaceous-slow-0	34	32	0	Term40
cretaceous-slow-0	35	31	30466560	
cretaceous-slow-0	36	35	26480737	
cretaceous-slow-0	37	36	0	Term49
cretaceous-slow-0	38	36	25973075	
cretaceous-slow-0	39	38	0	Term46
cretaceous-slow-0	40	38	3114006	
cretaceous-slow-0	41	40	0	Term47
cretaceous-slow-0	42	40	0	Term48
cretaceous-slow-0	43	35	6426912	
cretaceous-slow-0	44	43	5567152	
cretaceous-slow-0	45	44	0	Term41
cretaceous-slow-0	46	44	0	Term42
cretaceous-slow-0	47	43	2750069	
cretaceous-slow-0	48	47	0	Term45
cretaceous-slow-0	49	47	1563037	
cretaceous-slow-0	50	49	0	Term43
cretaceous-slow-0	51	49	0	Term44
cretaceous-slow-0	52	26	41330399	
cretaceous-slow-0	53	52	37960451	
cretaceous-slow-0	54	53	33799781	
