# results from simulated data from project "project.tab"
# date: 2024-05-24T07:50:53-03:00
tree	terms	rootAge	lambda	ml-lambda
jurassic-avg-0	84	176.725	26.397663	32.617188
jurassic-avg-1	75	162.804	54.438780	79.003906
jurassic-avg-10	86	200.944	46.416100	53.125000
jurassic-avg-11	59	190.249	84.396646	109.277344
jurassic-avg-12	68	163.481	81.403676	100.000000
jurassic-avg-13	52	149.316	11.345977	11.621094
jurassic-avg-14	51	181.364	15.302226	15.527344
jurassic-avg-15	65	151.599	75.918918	97.070312
jurassic-avg-16	64	179.243	75.154968	82.910156
jurassic-avg-17	95	187.351	40.511721	53.613281
jurassic-avg-18	54	171.254	56.128951	68.750000
jurassic-avg-19	92	162.953	69.358102	90.722656
jurassic-avg-2	51	185.806	47.453793	61.914062
jurassic-avg-20	84	155.497	21.911516	30.664062
jurassic-avg-21	71	159.922	35.724735	48.242188
jurassic-avg-22	73	145.022	13.650872	18.945312
jurassic-avg-23	54	181.506	33.354241	35.058594
jurassic-avg-24	55	190.692	89.115393	92.675781
jurassic-avg-25	66	189.866	78.164369	107.324219
jurassic-avg-26	76	167.781	61.564754	58.496094
jurassic-avg-27	92	196.549	81.911563	101.953125
jurassic-avg-28	100	167.634	22.634111	30.175781
jurassic-avg-29	64	147.149	60.047944	76.074219
jurassic-avg-3	89	198.619	84.249372	77.539062
jurassic-avg-30	50	174.062	26.321921	43.359375
jurassic-avg-31	71	168.842	60.330038	60.937500
jurassic-avg-32	90	161.416	15.693292	11.621094
jurassic-avg-33	67	189.727	52.420673	62.890625
jurassic-avg-34	80	186.063	57.795702	66.796875
jurassic-avg-35	100	169.357	19.435354	19.433594
jurassic-avg-36	56	181.054	23.212411	32.617188
jurassic-avg-37	54	180.240	55.519359	65.332031
jurassic-avg-38	55	191.238	36.457963	59.472656
jurassic-avg-39	72	157.390	91.330576	117.089844
jurassic-avg-4	72	200.685	56.120494	64.843750
jurassic-avg-40	72	177.386	29.144924	27.246094
jurassic-avg-41	55	150.981	89.700853	129.296875
jurassic-avg-42	94	153.110	29.161468	41.894531
jurassic-avg-43	87	151.528	46.784091	63.378906
jurassic-avg-44	57	160.309	97.756593	125.390625
jurassic-avg-45	57	192.057	15.109888	18.457031
jurassic-avg-46	72	148.247	52.109112	73.144531
jurassic-avg-47	74	174.149	64.128648	92.675781
jurassic-avg-48	81	200.704	14.504223	23.828125
jurassic-avg-49	82	190.129	90.791697	102.441406
jurassic-avg-5	65	199.956	22.022162	43.847656
jurassic-avg-6	76	159.698	46.015826	52.148438
jurassic-avg-7	93	174.845	68.036653	80.468750
jurassic-avg-8	75	161.648	85.032039	126.367188
jurassic-avg-9	51	197.059	66.276440	81.445312
