# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:52:14-03:00
tree	node	parent	age	taxon
jurassic-avg-0	0	-1	176725055	
jurassic-avg-0	1	0	155757601	
jurassic-avg-0	2	1	83070742	
jurassic-avg-0	3	2	0	Term15
jurassic-avg-0	4	2	29145955	
jurassic-avg-0	5	4	0	Term18
jurassic-avg-0	6	4	23334632	
jurassic-avg-0	7	6	0	Term16
jurassic-avg-0	8	6	0	Term17
jurassic-avg-0	9	1	129800559	
jurassic-avg-0	10	9	0	Term14
jurassic-avg-0	11	9	61063586	
jurassic-avg-0	12	11	5789685	
jurassic-avg-0	13	12	0	Term11
jurassic-avg-0	14	12	1015465	
jurassic-avg-0	15	14	0	Term12
jurassic-avg-0	16	14	0	Term13
jurassic-avg-0	17	11	59907340	
jurassic-avg-0	18	17	36717652	
jurassic-avg-0	19	18	0	Term10
jurassic-avg-0	20	18	27547674	
jurassic-avg-0	21	20	0	Term6
jurassic-avg-0	22	20	15307852	
jurassic-avg-0	23	22	0	Term7
jurassic-avg-0	24	22	10935479	
jurassic-avg-0	25	24	0	Term8
jurassic-avg-0	26	24	0	Term9
jurassic-avg-0	27	17	51119450	
jurassic-avg-0	28	27	50584425	
jurassic-avg-0	29	28	0	Term3
jurassic-avg-0	30	28	4416693	
jurassic-avg-0	31	30	0	Term4
jurassic-avg-0	32	30	0	Term5
jurassic-avg-0	33	27	39687076	
jurassic-avg-0	34	33	0	Term2
jurassic-avg-0	35	33	7470163	
jurassic-avg-0	36	35	0	Term0
jurassic-avg-0	37	35	0	Term1
jurassic-avg-0	38	0	169408532	
jurassic-avg-0	39	38	81354715	
jurassic-avg-0	40	39	67810776	
jurassic-avg-0	41	40	0	Term74
jurassic-avg-0	42	40	32717145	
jurassic-avg-0	43	42	0	Term73
jurassic-avg-0	44	42	12951993	
jurassic-avg-0	45	44	0	Term70
jurassic-avg-0	46	44	3255172	
jurassic-avg-0	47	46	0	Term71
jurassic-avg-0	48	46	0	Term72
jurassic-avg-0	49	39	74251192	
jurassic-avg-0	50	49	71055313	
jurassic-avg-0	51	50	0	Term81
jurassic-avg-0	52	50	55316756	
jurassic-avg-0	53	52	0	Term82
jurassic-avg-0	54	52	0	Term83
jurassic-avg-0	55	49	51383540	
jurassic-avg-0	56	55	0	Term80
jurassic-avg-0	57	55	47514855	
jurassic-avg-0	58	57	0	Term79
jurassic-avg-0	59	57	37163650	
jurassic-avg-0	60	59	0	Term78
jurassic-avg-0	61	59	23260226	
jurassic-avg-0	62	61	0	Term75
jurassic-avg-0	63	61	6058271	
jurassic-avg-0	64	63	0	Term76
jurassic-avg-0	65	63	0	Term77
jurassic-avg-0	66	38	133604284	
jurassic-avg-0	67	66	118436964	
jurassic-avg-0	68	67	74256224	
jurassic-avg-0	69	68	71572820	
jurassic-avg-0	70	69	0	Term50
jurassic-avg-0	71	69	3762075	
jurassic-avg-0	72	71	0	Term46
jurassic-avg-0	73	71	1322862	
jurassic-avg-0	74	73	0	Term49
jurassic-avg-0	75	73	642077	
jurassic-avg-0	76	75	0	Term47
jurassic-avg-0	77	75	0	Term48
jurassic-avg-0	78	68	36094096	
jurassic-avg-0	79	78	5275547	
jurassic-avg-0	80	79	0	Term51
jurassic-avg-0	81	79	0	Term52
jurassic-avg-0	82	78	25463796	
