# results from simulated data from project "project.tab"
# date: 2024-05-24T16:32:30-03:00
tree	terms	rootAge	lambda	ml-lambda
jurassic-fast-0	66	165.540	1.098544	0.878906
jurassic-fast-1	56	196.527	8.677489	9.667969
jurassic-fast-10	77	190.806	5.740117	6.738281
jurassic-fast-11	89	189.414	9.089755	16.015625
jurassic-fast-12	58	193.526	3.191429	9.179688
jurassic-fast-13	52	164.444	4.590372	5.761719
jurassic-fast-14	76	151.843	6.268570	6.738281
jurassic-fast-15	61	183.201	4.639472	16.992188
jurassic-fast-16	58	152.749	9.407577	13.085938
jurassic-fast-17	60	171.700	9.045096	12.597656
jurassic-fast-18	70	170.799	3.382208	8.203125
jurassic-fast-19	60	195.476	4.514728	4.296875
jurassic-fast-2	79	163.876	2.444667	3.808594
jurassic-fast-20	67	159.221	9.308166	18.945312
jurassic-fast-21	61	166.117	5.093158	2.343750
jurassic-fast-22	80	195.382	1.106633	0.390625
jurassic-fast-23	66	197.602	2.367494	5.273438
jurassic-fast-24	83	147.447	8.057447	10.156250
jurassic-fast-25	50	190.067	5.009320	7.226562
jurassic-fast-26	78	174.701	4.905585	6.250000
jurassic-fast-27	89	146.189	7.874648	10.644531
jurassic-fast-28	97	198.431	5.344099	5.761719
jurassic-fast-29	64	181.452	4.399880	5.761719
jurassic-fast-3	78	180.643	9.699189	9.179688
jurassic-fast-30	78	182.613	6.490836	8.691406
jurassic-fast-31	55	195.195	6.168516	9.667969
jurassic-fast-32	71	198.900	4.511928	1.367188
jurassic-fast-33	63	171.236	6.955121	10.644531
jurassic-fast-34	58	181.313	2.916322	3.808594
jurassic-fast-35	83	161.110	6.334507	6.250000
jurassic-fast-36	89	152.203	4.265662	3.320312
jurassic-fast-37	63	180.027	5.812526	7.226562
jurassic-fast-38	58	156.625	2.958892	4.296875
jurassic-fast-39	64	182.401	6.929437	6.250000
jurassic-fast-4	92	200.406	9.793192	11.132812
jurassic-fast-40	56	161.449	8.438793	14.062500
jurassic-fast-41	61	155.737	1.676093	0.878906
jurassic-fast-42	91	160.468	1.728546	2.832031
jurassic-fast-43	81	180.465	1.816595	0.878906
jurassic-fast-44	90	199.809	6.114463	9.667969
jurassic-fast-45	73	195.696	9.152903	9.179688
jurassic-fast-46	72	165.326	7.621028	8.203125
jurassic-fast-47	61	176.248	5.062463	11.621094
jurassic-fast-48	66	200.030	1.888265	5.273438
jurassic-fast-49	91	152.703	4.027229	3.320312
jurassic-fast-5	52	149.497	7.711022	12.597656
jurassic-fast-6	80	163.016	3.070182	2.832031
jurassic-fast-7	91	152.821	1.718814	5.761719
jurassic-fast-8	75	174.975	6.202508	4.785156
jurassic-fast-9	78	162.130	5.893036	10.156250
