# simulated lambda of project "project.tab"
# date: 2024-05-20T21:53:42-03:00
tree	lambda
jurassic-fast-0	1.098544
jurassic-fast-1	8.677489
jurassic-fast-10	5.740117
jurassic-fast-11	9.089755
jurassic-fast-12	3.191429
jurassic-fast-13	4.590372
jurassic-fast-14	6.268570
jurassic-fast-15	4.639472
jurassic-fast-16	9.407577
jurassic-fast-17	9.045096
jurassic-fast-18	3.382208
jurassic-fast-19	4.514728
jurassic-fast-2	2.444667
jurassic-fast-20	9.308166
jurassic-fast-21	5.093158
jurassic-fast-22	1.106633
jurassic-fast-23	2.367494
jurassic-fast-24	8.057447
jurassic-fast-25	5.009320
jurassic-fast-26	4.905585
jurassic-fast-27	7.874648
jurassic-fast-28	5.344099
jurassic-fast-29	4.399880
jurassic-fast-3	9.699189
jurassic-fast-30	6.490836
jurassic-fast-31	6.168516
jurassic-fast-32	4.511928
jurassic-fast-33	6.955121
jurassic-fast-34	2.916322
jurassic-fast-35	6.334507
jurassic-fast-36	4.265662
jurassic-fast-37	5.812526
jurassic-fast-38	2.958892
jurassic-fast-39	6.929437
jurassic-fast-4	9.793192
jurassic-fast-40	8.438793
jurassic-fast-41	1.676093
jurassic-fast-42	1.728546
jurassic-fast-43	1.816595
jurassic-fast-44	6.114463
jurassic-fast-45	9.152903
jurassic-fast-46	7.621028
jurassic-fast-47	5.062463
jurassic-fast-48	1.888265
jurassic-fast-49	4.027229
jurassic-fast-5	7.711022
jurassic-fast-6	3.070182
jurassic-fast-7	1.718814
jurassic-fast-8	6.202508
jurassic-fast-9	5.893036
