# results from simulated data from project "project.tab"
# date: 2024-05-23T21:37:47-03:00
tree	terms	rootAge	lambda	ml-lambda
jurassic-slow-0	54	155.056	760.420663	1066.796875
jurassic-slow-1	74	185.578	467.719616	456.445312
jurassic-slow-10	67	154.637	696.636078	1700.585938
jurassic-slow-11	51	196.097	771.417943	1352.441406
jurassic-slow-12	79	160.208	787.354351	1647.851562
jurassic-slow-13	74	162.591	655.937724	1054.589844
jurassic-slow-14	53	183.993	579.609867	971.093750
jurassic-slow-15	64	162.241	430.002707	627.832031
jurassic-slow-16	59	163.495	835.885954	1436.425781
jurassic-slow-17	87	160.709	632.623180	841.699219
jurassic-slow-18	59	165.326	577.452728	945.214844
jurassic-slow-19	93	159.988	412.224396	724.511719
jurassic-slow-2	69	173.993	511.301569	735.742188
jurassic-slow-20	54	164.194	502.869181	811.425781
jurassic-slow-21	52	161.807	581.529916	840.722656
jurassic-slow-22	95	180.887	785.049950	1321.679688
jurassic-slow-23	85	164.165	590.745360	910.058594
jurassic-slow-24	64	158.110	605.463676	1168.847656
jurassic-slow-25	82	157.461	726.282880	1989.160156
jurassic-slow-26	100	197.167	182.176452	280.175781
jurassic-slow-27	54	179.178	869.183113	1973.535156
jurassic-slow-28	98	164.739	329.495820	382.226562
jurassic-slow-29	51	148.839	981.697720	1881.250000
jurassic-slow-3	90	158.787	954.055007	2535.546875
jurassic-slow-30	67	170.265	188.909783	237.695312
jurassic-slow-31	50	172.857	202.086063	307.031250
jurassic-slow-32	57	164.310	169.580342	245.996094
jurassic-slow-33	94	187.513	707.038817	1444.726562
jurassic-slow-34	81	173.738	436.188096	591.699219
jurassic-slow-35	74	176.464	880.350199	1764.550781
jurassic-slow-36	88	191.369	177.471444	253.320312
jurassic-slow-37	58	181.755	297.686924	383.691406
jurassic-slow-38	51	163.033	443.235456	839.257812
jurassic-slow-39	58	185.182	192.418360	293.847656
jurassic-slow-4	62	166.603	368.946014	720.117188
jurassic-slow-40	64	192.071	977.205365	2311.914062
jurassic-slow-41	60	146.932	237.919685	424.218750
jurassic-slow-42	97	173.479	229.270882	225.000000
jurassic-slow-43	69	150.035	934.029472	1941.308594
jurassic-slow-44	58	147.881	197.622197	259.667969
jurassic-slow-45	75	198.429	757.399480	1444.726562
jurassic-slow-46	74	171.311	727.408915	1902.246094
jurassic-slow-47	64	163.438	630.713971	1132.226562
jurassic-slow-48	60	148.995	411.742479	787.988281
jurassic-slow-49	90	148.883	409.748690	744.531250
jurassic-slow-5	61	171.772	284.975757	387.597656
jurassic-slow-6	58	189.136	384.585086	615.136719
jurassic-slow-7	91	170.912	470.034988	840.722656
jurassic-slow-8	78	184.697	665.074694	952.539062
jurassic-slow-9	60	152.788	982.557064	2610.253906
