# simulated lambda of project "project.tab"
# date: 2024-05-20T21:50:46-03:00
tree	lambda
jurassic-slow-0	760.420663
jurassic-slow-1	467.719616
jurassic-slow-10	696.636078
jurassic-slow-11	771.417943
jurassic-slow-12	787.354351
jurassic-slow-13	655.937724
jurassic-slow-14	579.609867
jurassic-slow-15	430.002707
jurassic-slow-16	835.885954
jurassic-slow-17	632.623180
jurassic-slow-18	577.452728
jurassic-slow-19	412.224396
jurassic-slow-2	511.301569
jurassic-slow-20	502.869181
jurassic-slow-21	581.529916
jurassic-slow-22	785.049950
jurassic-slow-23	590.745360
jurassic-slow-24	605.463676
jurassic-slow-25	726.282880
jurassic-slow-26	182.176452
jurassic-slow-27	869.183113
jurassic-slow-28	329.495820
jurassic-slow-29	981.697720
jurassic-slow-3	954.055007
jurassic-slow-30	188.909783
jurassic-slow-31	202.086063
jurassic-slow-32	169.580342
jurassic-slow-33	707.038817
jurassic-slow-34	436.188096
jurassic-slow-35	880.350199
jurassic-slow-36	177.471444
jurassic-slow-37	297.686924
jurassic-slow-38	443.235456
jurassic-slow-39	192.418360
jurassic-slow-4	368.946014
jurassic-slow-40	977.205365
jurassic-slow-41	237.919685
jurassic-slow-42	229.270882
jurassic-slow-43	934.029472
jurassic-slow-44	197.622197
jurassic-slow-45	757.399480
jurassic-slow-46	727.408915
jurassic-slow-47	630.713971
jurassic-slow-48	411.742479
jurassic-slow-49	409.748690
jurassic-slow-5	284.975757
jurassic-slow-6	384.585086
jurassic-slow-7	470.034988
jurassic-slow-8	665.074694
jurassic-slow-9	982.557064
