# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:50:46-03:00
tree	node	parent	age	taxon
jurassic-slow-0	0	-1	155056388	
jurassic-slow-0	1	0	61613841	
jurassic-slow-0	2	1	0	Term5
jurassic-slow-0	3	1	54355941	
jurassic-slow-0	4	3	0	Term0
jurassic-slow-0	5	3	47290799	
jurassic-slow-0	6	5	0	Term1
jurassic-slow-0	7	5	10514750	
jurassic-slow-0	8	7	0	Term2
jurassic-slow-0	9	7	8687533	
jurassic-slow-0	10	9	0	Term3
jurassic-slow-0	11	9	0	Term4
jurassic-slow-0	12	0	103901125	
jurassic-slow-0	13	12	62246037	
jurassic-slow-0	14	13	61514326	
jurassic-slow-0	15	14	24790599	
jurassic-slow-0	16	15	0	Term41
jurassic-slow-0	17	15	10898405	
jurassic-slow-0	18	17	0	Term42
jurassic-slow-0	19	17	0	Term43
jurassic-slow-0	20	14	53970204	
jurassic-slow-0	21	20	0	Term37
jurassic-slow-0	22	20	40491724	
jurassic-slow-0	23	22	0	Term40
jurassic-slow-0	24	22	25651510	
jurassic-slow-0	25	24	0	Term38
jurassic-slow-0	26	24	0	Term39
jurassic-slow-0	27	13	60194665	
jurassic-slow-0	28	27	36998314	
jurassic-slow-0	29	28	1314114	
jurassic-slow-0	30	29	0	Term52
jurassic-slow-0	31	29	0	Term53
jurassic-slow-0	32	28	1237994	
jurassic-slow-0	33	32	0	Term50
jurassic-slow-0	34	32	0	Term51
jurassic-slow-0	35	27	15697739	
jurassic-slow-0	36	35	11347049	
jurassic-slow-0	37	36	0	Term44
jurassic-slow-0	38	36	1713987	
jurassic-slow-0	39	38	0	Term45
jurassic-slow-0	40	38	0	Term46
jurassic-slow-0	41	35	6939619	
jurassic-slow-0	42	41	0	Term49
jurassic-slow-0	43	41	5672093	
jurassic-slow-0	44	43	0	Term47
jurassic-slow-0	45	43	0	Term48
jurassic-slow-0	46	12	103526853	
jurassic-slow-0	47	46	32816875	
jurassic-slow-0	48	47	5977272	
jurassic-slow-0	49	48	0	Term6
jurassic-slow-0	50	48	0	Term7
jurassic-slow-0	51	47	32364448	
jurassic-slow-0	52	51	5122466	
jurassic-slow-0	53	52	0	Term8
jurassic-slow-0	54	52	0	Term9
jurassic-slow-0	55	51	3689040	
jurassic-slow-0	56	55	0	Term10
jurassic-slow-0	57	55	0	Term11
jurassic-slow-0	58	46	96256845	
jurassic-slow-0	59	58	81439155	
jurassic-slow-0	60	59	45047917	
jurassic-slow-0	61	60	0	Term21
jurassic-slow-0	62	60	24927844	
jurassic-slow-0	63	62	0	Term22
jurassic-slow-0	64	62	0	Term23
jurassic-slow-0	65	59	67586921	
jurassic-slow-0	66	65	0	Term12
jurassic-slow-0	67	65	39556887	
jurassic-slow-0	68	67	0	Term20
jurassic-slow-0	69	67	31875887	
jurassic-slow-0	70	69	0	Term19
jurassic-slow-0	71	69	25794198	
jurassic-slow-0	72	71	0	Term18
jurassic-slow-0	73	71	24918936	
jurassic-slow-0	74	73	372120	
jurassic-slow-0	75	74	0	Term16
jurassic-slow-0	76	74	0	Term17
jurassic-slow-0	77	73	21973768	
jurassic-slow-0	78	77	0	Term15
jurassic-slow-0	79	77	10843183	
jurassic-slow-0	80	79	0	Term13
jurassic-slow-0	81	79	0	Term14
jurassic-slow-0	82	58	81102475	
jurassic-slow-0	83	82	76629900	
jurassic-slow-0	84	83	0	Term31
jurassic-slow-0	85	83	74815812	
jurassic-slow-0	86	85	13659101	
jurassic-slow-0	87	86	0	Term32
jurassic-slow-0	88	86	0	Term33
jurassic-slow-0	89	85	53057069	
jurassic-slow-0	90	89	0	Term34
jurassic-slow-0	91	89	22012864	
jurassic-slow-0	92	91	0	Term35
jurassic-slow-0	93	91	0	Term36
jurassic-slow-0	94	82	46365159	
jurassic-slow-0	95	94	20618801	
jurassic-slow-0	96	95	0	Term29
jurassic-slow-0	97	95	0	Term30
jurassic-slow-0	98	94	31034854	
jurassic-slow-0	99	98	4614580	
jurassic-slow-0	100	99	0	Term27
jurassic-slow-0	101	99	0	Term28
jurassic-slow-0	102	98	30725709	
jurassic-slow-0	103	102	0	Term24
jurassic-slow-0	104	102	2500207	
jurassic-slow-0	105	104	0	Term25
jurassic-slow-0	106	104	0	Term26
jurassic-slow-1	0	-1	185577950	
jurassic-slow-1	1	0	167847992	
jurassic-slow-1	2	1	152408795	
jurassic-slow-1	3	2	7376426	
jurassic-slow-1	4	3	0	Term33
jurassic-slow-1	5	3	0	Term34
jurassic-slow-1	6	2	93698381	
jurassic-slow-1	7	6	33911394	
jurassic-slow-1	8	7	0	Term21
jurassic-slow-1	9	7	0	Term22
jurassic-slow-1	10	6	90805416	
jurassic-slow-1	11	10	0	Term23
jurassic-slow-1	12	10	65442268	
jurassic-slow-1	13	12	46264862	
jurassic-slow-1	14	13	0	Term26
jurassic-slow-1	15	13	2752447	
jurassic-slow-1	16	15	0	Term24
jurassic-slow-1	17	15	0	Term25
jurassic-slow-1	18	12	51014801	
jurassic-slow-1	19	18	0	Term32
jurassic-slow-1	20	18	50519532	
jurassic-slow-1	21	20	0	Term27
jurassic-slow-1	22	20	29709163	
jurassic-slow-1	23	22	0	Term28
jurassic-slow-1	24	22	27206665	
jurassic-slow-1	25	24	0	Term31
jurassic-slow-1	26	24	7719932	
jurassic-slow-1	27	26	0	Term29
jurassic-slow-1	28	26	0	Term30
jurassic-slow-1	29	1	161126304	
jurassic-slow-1	30	29	130732840	
jurassic-slow-1	31	30	57009055	
jurassic-slow-1	32	31	0	Term19
jurassic-slow-1	33	31	0	Term20
jurassic-slow-1	34	30	69911998	
jurassic-slow-1	35	34	0	Term18
jurassic-slow-1	36	34	42217739	
jurassic-slow-1	37	36	2750402	
jurassic-slow-1	38	37	0	Term16
jurassic-slow-1	39	37	0	Term17
jurassic-slow-1	40	36	19921001	
jurassic-slow-1	41	40	0	Term13
jurassic-slow-1	42	40	18897862	
jurassic-slow-1	43	42	0	Term14
jurassic-slow-1	44	42	0	Term15
jurassic-slow-1	45	29	116823665	
jurassic-slow-1	46	45	38806289	
jurassic-slow-1	47	46	0	Term10
jurassic-slow-1	48	46	5898644	
jurassic-slow-1	49	48	0	Term11
jurassic-slow-1	50	48	0	Term12
jurassic-slow-1	51	45	62361513	
jurassic-slow-1	52	51	0	Term0
jurassic-slow-1	53	51	48556851	
jurassic-slow-1	54	53	1898382	
jurassic-slow-1	55	54	0	Term1
jurassic-slow-1	56	54	0	Term2
jurassic-slow-1	57	53	21322889	
jurassic-slow-1	58	57	0	Term3
jurassic-slow-1	59	57	17188630	
jurassic-slow-1	60	59	0	Term4
jurassic-slow-1	61	59	15880343	
jurassic-slow-1	62	61	14277007	
jurassic-slow-1	63	62	0	Term5
jurassic-slow-1	64	62	0	Term6
jurassic-slow-1	65	61	15193012	
jurassic-slow-1	66	65	0	Term9
jurassic-slow-1	67	65	5642224	
jurassic-slow-1	68	67	0	Term7
jurassic-slow-1	69	67	0	Term8
jurassic-slow-1	70	0	135765619	
jurassic-slow-1	71	70	121228181	
jurassic-slow-1	72	71	71973360	
jurassic-slow-1	73	72	0	Term66
jurassic-slow-1	74	72	62779173	
jurassic-slow-1	75	74	0	Term63
jurassic-slow-1	76	74	33317581	
jurassic-slow-1	77	76	0	Term64
jurassic-slow-1	78	76	0	Term65
jurassic-slow-1	79	71	104035789	
jurassic-slow-1	80	79	0	Term67
jurassic-slow-1	81	79	91422371	
jurassic-slow-1	82	81	0	Term73
jurassic-slow-1	83	81	87424764	
jurassic-slow-1	84	83	48783717	
jurassic-slow-1	85	84	0	Term68
jurassic-slow-1	86	84	0	Term69
jurassic-slow-1	87	83	66815336	
jurassic-slow-1	88	87	0	Term70
jurassic-slow-1	89	87	39336765	
jurassic-slow-1	90	89	0	Term71
jurassic-slow-1	91	89	0	Term72
jurassic-slow-1	92	70	123944112	
jurassic-slow-1	93	92	95868158	
jurassic-slow-1	94	93	42948808	
jurassic-slow-1	95	94	0	Term35
jurassic-slow-1	96	94	29639413	
jurassic-slow-1	97	96	0	Term36
jurassic-slow-1	98	96	0	Term37
jurassic-slow-1	99	93	86812203	
jurassic-slow-1	100	99	63068894	
jurassic-slow-1	101	100	0	Term45
jurassic-slow-1	102	100	61467982	
jurassic-slow-1	103	102	0	Term44
jurassic-slow-1	104	102	29296984	
jurassic-slow-1	105	104	0	Term42
jurassic-slow-1	106	104	0	Term43
jurassic-slow-1	107	99	9521476	
jurassic-slow-1	108	107	5167091	
jurassic-slow-1	109	108	0	Term40
jurassic-slow-1	110	108	0	Term41
jurassic-slow-1	111	107	2530994	
jurassic-slow-1	112	111	0	Term38
jurassic-slow-1	113	111	0	Term39
jurassic-slow-1	114	92	107088814	
jurassic-slow-1	115	114	53304012	
jurassic-slow-1	116	115	23251623	
jurassic-slow-1	117	116	0	Term49
jurassic-slow-1	118	116	0	Term50
jurassic-slow-1	119	115	17383918	
jurassic-slow-1	120	119	0	Term48
jurassic-slow-1	121	119	15645257	
jurassic-slow-1	122	121	0	Term46
jurassic-slow-1	123	121	0	Term47
jurassic-slow-1	124	114	63581545	
jurassic-slow-1	125	124	60075093	
jurassic-slow-1	126	125	0	Term57
jurassic-slow-1	127	125	20903052	
jurassic-slow-1	128	127	5552132	
jurassic-slow-1	129	128	0	Term61
jurassic-slow-1	130	128	0	Term62
jurassic-slow-1	131	127	18505077	
jurassic-slow-1	132	131	0	Term58
jurassic-slow-1	133	131	15460014	
jurassic-slow-1	134	133	0	Term59
jurassic-slow-1	135	133	0	Term60
jurassic-slow-1	136	124	57703134	
jurassic-slow-1	137	136	35008574	
jurassic-slow-1	138	137	0	Term51
jurassic-slow-1	139	137	0	Term52
jurassic-slow-1	140	136	36060391	
jurassic-slow-1	141	140	0	Term53
jurassic-slow-1	142	140	22969672	
jurassic-slow-1	143	142	0	Term54
jurassic-slow-1	144	142	14104152	
jurassic-slow-1	145	144	0	Term55
jurassic-slow-1	146	144	0	Term56
jurassic-slow-10	0	-1	154637464	
jurassic-slow-10	1	0	67330890	
jurassic-slow-10	2	1	19512622	
jurassic-slow-10	3	2	0	Term23
jurassic-slow-10	4	2	17170320	
