# results from simulated data from project "project.tab"
# date: 2024-05-22T12:18:32-03:00
tree	terms	rootAge	lambda	ml-lambda
neogene-avg-0	90	20.064	98.353571	127.832031
neogene-avg-1	94	6.337	37.646516	72.656250
neogene-avg-10	88	16.308	22.663704	25.781250
neogene-avg-11	78	19.079	43.368712	59.472656
neogene-avg-12	75	6.337	62.659074	117.578125
neogene-avg-13	71	14.799	67.058899	110.253906
neogene-avg-14	95	18.969	93.805175	159.082031
neogene-avg-15	62	16.330	34.973923	63.378906
neogene-avg-16	86	14.453	43.433842	47.265625
neogene-avg-17	93	12.978	32.787830	59.472656
neogene-avg-18	55	14.497	27.645081	38.476562
neogene-avg-19	58	6.601	38.980487	67.285156
neogene-avg-2	67	18.246	66.578992	87.792969
neogene-avg-20	56	18.456	29.718436	38.964844
neogene-avg-21	91	12.357	58.057794	124.902344
neogene-avg-22	50	6.896	70.406009	350.488281
neogene-avg-23	88	15.110	99.844891	205.468750
neogene-avg-24	67	22.799	14.875585	11.621094
neogene-avg-25	60	22.254	32.842647	36.035156
neogene-avg-26	51	22.575	12.918728	20.898438
neogene-avg-27	81	9.732	94.733679	250.878906
neogene-avg-28	96	12.592	39.611665	51.660156
neogene-avg-29	53	10.519	49.740399	108.789062
neogene-avg-3	71	19.551	79.239476	110.253906
neogene-avg-30	50	17.993	20.425115	26.757812
neogene-avg-31	90	16.998	17.054635	29.199219
neogene-avg-32	83	15.528	93.143126	171.777344
neogene-avg-33	52	13.783	81.262827	117.578125
neogene-avg-34	51	17.554	93.983082	162.011719
neogene-avg-35	87	16.333	15.222137	19.921875
neogene-avg-36	69	12.679	97.564759	370.019531
neogene-avg-37	100	20.719	17.975765	25.781250
neogene-avg-38	52	7.795	13.482385	18.457031
neogene-avg-39	86	11.013	80.909287	192.773438
neogene-avg-4	68	5.283	84.697020	308.007812
neogene-avg-40	81	14.485	21.302066	34.082031
neogene-avg-41	99	5.656	62.534403	96.093750
neogene-avg-42	77	10.696	16.324117	18.945312
neogene-avg-43	67	17.978	30.585468	52.636719
neogene-avg-44	63	22.345	94.947843	171.777344
neogene-avg-45	79	18.155	32.486958	50.683594
neogene-avg-46	83	7.551	28.680208	54.101562
neogene-avg-47	93	10.300	56.061030	97.070312
neogene-avg-48	58	18.626	57.067484	64.355469
neogene-avg-49	80	6.785	76.448225	213.769531
neogene-avg-5	92	13.994	21.594060	32.128906
neogene-avg-6	78	5.511	32.948457	78.027344
neogene-avg-7	76	18.254	57.778105	99.511719
neogene-avg-8	89	13.787	45.395167	75.097656
neogene-avg-9	71	15.492	55.075434	100.000000
