# time calibrated phylogenetic trees
# data saved on: 2024-05-20T21:39:04-03:00
tree	node	parent	age	taxon
neogene-avg-0	0	-1	20064050	
neogene-avg-0	1	0	12338957	
neogene-avg-0	2	1	7039631	
neogene-avg-0	3	2	0	Term13
neogene-avg-0	4	2	0	Term14
neogene-avg-0	5	1	7645962	
neogene-avg-0	6	5	3905580	
neogene-avg-0	7	6	504770	
neogene-avg-0	8	7	0	Term11
neogene-avg-0	9	7	0	Term12
neogene-avg-0	10	6	3296216	
neogene-avg-0	11	10	0	Term10
neogene-avg-0	12	10	1372173	
neogene-avg-0	13	12	0	Term7
neogene-avg-0	14	12	808263	
neogene-avg-0	15	14	0	Term8
neogene-avg-0	16	14	0	Term9
neogene-avg-0	17	5	6957480	
neogene-avg-0	18	17	0	Term0
neogene-avg-0	19	17	6879963	
neogene-avg-0	20	19	6775216	
neogene-avg-0	21	20	0	Term1
neogene-avg-0	22	20	4529561	
neogene-avg-0	23	22	0	Term2
neogene-avg-0	24	22	0	Term3
neogene-avg-0	25	19	4251465	
neogene-avg-0	26	25	0	Term4
neogene-avg-0	27	25	3153186	
neogene-avg-0	28	27	0	Term5
neogene-avg-0	29	27	0	Term6
neogene-avg-0	30	0	19383066	
neogene-avg-0	31	30	9707323	
neogene-avg-0	32	31	4641981	
neogene-avg-0	33	32	0	Term15
neogene-avg-0	34	32	0	Term16
neogene-avg-0	35	31	8807295	
neogene-avg-0	36	35	6610851	
neogene-avg-0	37	36	0	Term17
neogene-avg-0	38	36	1982750	
neogene-avg-0	39	38	0	Term18
neogene-avg-0	40	38	0	Term19
neogene-avg-0	41	35	631224	
neogene-avg-0	42	41	0	Term20
neogene-avg-0	43	41	24413	
neogene-avg-0	44	43	0	Term21
neogene-avg-0	45	43	0	Term22
neogene-avg-0	46	30	18356707	
neogene-avg-0	47	46	0	Term23
neogene-avg-0	48	46	16153228	
neogene-avg-0	49	48	1648174	
neogene-avg-0	50	49	0	Term86
neogene-avg-0	51	49	1644155	
neogene-avg-0	52	51	0	Term89
neogene-avg-0	53	51	950476	
neogene-avg-0	54	53	0	Term87
neogene-avg-0	55	53	0	Term88
neogene-avg-0	56	48	15407055	
neogene-avg-0	57	56	1732017	
neogene-avg-0	58	57	0	Term83
neogene-avg-0	59	57	172486	
neogene-avg-0	60	59	0	Term84
neogene-avg-0	61	59	0	Term85
neogene-avg-0	62	56	14955050	
neogene-avg-0	63	62	12556139	
neogene-avg-0	64	63	6274689	
neogene-avg-0	65	64	0	Term37
neogene-avg-0	66	64	4632109	
neogene-avg-0	67	66	0	Term38
neogene-avg-0	68	66	848519	
neogene-avg-0	69	68	0	Term39
neogene-avg-0	70	68	0	Term40
neogene-avg-0	71	63	11965091	
neogene-avg-0	72	71	2090985	
neogene-avg-0	73	72	0	Term24
neogene-avg-0	74	72	1759792	
neogene-avg-0	75	74	0	Term27
neogene-avg-0	76	74	44444	
neogene-avg-0	77	76	0	Term25
neogene-avg-0	78	76	0	Term26
neogene-avg-0	79	71	10350956	
neogene-avg-0	80	79	5307322	
neogene-avg-0	81	80	2894599	
neogene-avg-0	82	81	0	Term35
neogene-avg-0	83	81	0	Term36
neogene-avg-0	84	80	261754	
neogene-avg-0	85	84	0	Term33
neogene-avg-0	86	84	0	Term34
neogene-avg-0	87	79	5342223	
neogene-avg-0	88	87	630588	
