# results from simulated data from project "project.tab"
# date: 2024-05-22T14:22:14-03:00
tree	terms	rootAge	lambda	ml-lambda
neogene-fast-0	89	17.511	3.959956	3.808594
neogene-fast-1	99	8.300	8.952055	12.109375
neogene-fast-10	71	13.328	8.090857	11.132812
neogene-fast-11	96	22.090	7.507260	10.156250
neogene-fast-12	92	6.471	8.767171	10.156250
neogene-fast-13	53	11.267	7.937163	13.574219
neogene-fast-14	93	20.194	9.479113	13.085938
neogene-fast-15	74	16.723	9.257477	10.156250
neogene-fast-16	50	21.516	5.603438	4.296875
neogene-fast-17	65	22.207	4.515676	5.273438
neogene-fast-18	55	11.919	3.115458	3.808594
neogene-fast-19	50	10.789	8.772716	12.109375
neogene-fast-2	92	21.991	3.737837	4.785156
neogene-fast-20	97	5.518	3.833016	5.273438
neogene-fast-21	57	10.056	1.440482	1.855469
neogene-fast-22	51	5.138	7.783395	11.621094
neogene-fast-23	68	5.053	2.232389	2.343750
neogene-fast-24	82	13.298	4.526672	4.785156
neogene-fast-25	57	20.430	5.238911	6.250000
neogene-fast-26	78	12.022	7.174544	10.156250
neogene-fast-27	56	19.154	6.625234	7.226562
neogene-fast-28	79	18.057	1.587551	2.832031
neogene-fast-29	93	19.193	8.292456	15.039062
neogene-fast-3	61	6.354	5.338346	8.203125
neogene-fast-30	82	9.224	4.697101	4.296875
neogene-fast-31	74	15.623	6.808996	8.203125
neogene-fast-32	94	17.659	1.397478	1.367188
neogene-fast-33	76	14.045	2.380359	2.832031
neogene-fast-34	82	6.828	5.672901	6.738281
neogene-fast-35	85	20.855	7.021917	7.226562
neogene-fast-36	58	9.023	1.781024	1.367188
neogene-fast-37	52	20.018	1.342500	1.855469
neogene-fast-38	97	16.074	7.219853	9.667969
neogene-fast-39	62	9.700	8.082502	12.109375
neogene-fast-4	96	15.819	5.934402	6.738281
neogene-fast-40	87	9.072	1.970018	1.367188
neogene-fast-41	54	10.418	5.446509	8.203125
neogene-fast-42	74	5.346	1.919496	1.855469
neogene-fast-43	56	10.250	3.760145	4.785156
neogene-fast-44	75	10.096	6.532704	10.156250
neogene-fast-45	74	12.805	2.440208	2.343750
neogene-fast-46	97	10.309	9.535628	15.039062
neogene-fast-47	92	14.996	6.240347	7.714844
neogene-fast-48	100	8.063	9.875315	11.621094
neogene-fast-49	91	9.910	7.644198	7.714844
neogene-fast-5	75	18.941	2.073850	1.367188
neogene-fast-6	63	19.406	1.558206	2.343750
neogene-fast-7	71	21.053	8.835700	10.156250
neogene-fast-8	69	14.180	9.701489	13.574219
neogene-fast-9	69	14.966	6.039243	6.250000
