# simulated lambda of project "project.tab"
# date: 2024-05-20T21:37:38-03:00
tree	lambda
neogene-slow-0	161.133966
neogene-slow-1	457.319505
neogene-slow-10	961.498641
neogene-slow-11	282.329727
neogene-slow-12	322.562792
neogene-slow-13	480.652051
neogene-slow-14	989.650949
neogene-slow-15	640.385674
neogene-slow-16	748.329924
neogene-slow-17	756.805132
neogene-slow-18	338.921042
neogene-slow-19	910.187126
neogene-slow-2	637.921243
neogene-slow-20	529.282428
neogene-slow-21	188.715436
neogene-slow-22	343.659334
neogene-slow-23	693.549022
neogene-slow-24	152.461645
neogene-slow-25	994.782591
neogene-slow-26	415.255962
neogene-slow-27	337.221122
neogene-slow-28	394.891864
neogene-slow-29	151.702563
neogene-slow-3	795.701341
neogene-slow-30	170.894916
neogene-slow-31	245.389338
neogene-slow-32	618.493620
neogene-slow-33	531.905982
neogene-slow-34	249.903350
neogene-slow-35	158.162106
neogene-slow-36	303.278224
neogene-slow-37	136.369613
neogene-slow-38	679.301919
neogene-slow-39	353.267276
neogene-slow-4	616.722125
neogene-slow-40	801.300595
neogene-slow-41	686.988242
neogene-slow-42	511.080703
neogene-slow-43	839.059242
neogene-slow-44	339.221948
neogene-slow-45	957.218573
neogene-slow-46	579.935627
neogene-slow-47	740.728204
neogene-slow-48	965.261994
neogene-slow-49	838.946652
neogene-slow-5	382.042815
neogene-slow-6	104.790801
neogene-slow-7	842.717902
neogene-slow-8	793.610600
neogene-slow-9	628.954606
