# simulated lambda of project "project.tab"
# date: 2024-05-20T21:43:32-03:00
tree	lambda
paleogene-avg-0	96.544151
paleogene-avg-1	13.049847
paleogene-avg-10	48.450179
paleogene-avg-11	13.281207
paleogene-avg-12	40.154420
paleogene-avg-13	89.658070
paleogene-avg-14	71.439187
paleogene-avg-15	26.344302
paleogene-avg-16	85.787724
paleogene-avg-17	11.380305
paleogene-avg-18	26.275403
paleogene-avg-19	55.695220
paleogene-avg-2	63.304831
paleogene-avg-20	56.855995
paleogene-avg-21	86.650403
paleogene-avg-22	11.757639
paleogene-avg-23	71.821310
paleogene-avg-24	74.009270
paleogene-avg-25	10.055329
paleogene-avg-26	84.599741
paleogene-avg-27	21.460541
paleogene-avg-28	26.740778
paleogene-avg-29	61.348600
paleogene-avg-3	66.688987
paleogene-avg-30	44.569419
paleogene-avg-31	46.171327
paleogene-avg-32	54.659675
paleogene-avg-33	77.652692
paleogene-avg-34	21.022573
paleogene-avg-35	31.368922
paleogene-avg-36	59.511156
paleogene-avg-37	30.232607
paleogene-avg-38	33.622672
paleogene-avg-39	92.332978
paleogene-avg-4	91.292216
paleogene-avg-40	75.005112
paleogene-avg-41	28.374527
paleogene-avg-42	21.990950
paleogene-avg-43	73.386490
paleogene-avg-44	66.990130
paleogene-avg-45	73.307178
paleogene-avg-46	47.019550
paleogene-avg-47	41.856413
paleogene-avg-48	85.239876
paleogene-avg-49	14.440980
paleogene-avg-5	88.939357
paleogene-avg-6	24.251184
paleogene-avg-7	47.724295
paleogene-avg-8	55.133115
paleogene-avg-9	91.390110
