# results from simulated data from project "project.tab"
# date: 2024-05-23T00:05:58-03:00
tree	terms	rootAge	lambda	ml-lambda
paleogene-fast-0	61	54.821	4.702036	3.808594
paleogene-fast-1	62	25.676	9.387198	11.132812
paleogene-fast-10	75	26.515	7.885269	9.667969
paleogene-fast-11	57	23.517	1.099244	1.367188
paleogene-fast-12	63	59.774	2.448692	4.296875
paleogene-fast-13	54	30.170	5.627857	7.714844
paleogene-fast-14	72	34.376	9.603196	9.667969
paleogene-fast-15	91	40.345	8.318018	7.714844
paleogene-fast-16	98	30.463	8.927133	10.156250
paleogene-fast-17	61	27.891	9.138198	9.667969
paleogene-fast-18	71	65.065	1.683750	2.832031
paleogene-fast-19	83	57.456	4.757929	8.203125
paleogene-fast-2	58	44.872	6.355663	9.667969
paleogene-fast-20	84	27.124	7.983941	15.527344
paleogene-fast-21	82	53.042	6.768373	10.644531
paleogene-fast-22	82	62.500	8.991130	13.085938
paleogene-fast-23	57	59.717	8.295185	11.132812
paleogene-fast-24	55	31.883	5.179807	6.738281
paleogene-fast-25	51	30.195	8.968421	16.503906
paleogene-fast-26	61	35.133	2.318583	2.343750
paleogene-fast-27	51	58.147	8.592583	9.667969
paleogene-fast-28	64	57.227	3.835622	6.738281
paleogene-fast-29	98	63.803	3.150515	4.296875
paleogene-fast-3	86	51.586	7.664966	8.691406
paleogene-fast-30	62	39.146	3.319279	5.761719
paleogene-fast-31	70	26.111	5.484302	5.761719
paleogene-fast-32	56	47.529	7.107448	10.156250
paleogene-fast-33	91	62.104	5.612043	6.250000
paleogene-fast-34	54	64.384	4.179114	4.296875
paleogene-fast-35	100	48.391	1.169132	1.367188
paleogene-fast-36	53	50.205	4.431709	3.808594
paleogene-fast-37	71	48.597	8.442754	12.109375
paleogene-fast-38	67	23.176	7.210853	8.691406
paleogene-fast-39	65	59.405	3.866584	7.226562
paleogene-fast-4	62	33.013	5.911965	5.273438
paleogene-fast-40	93	31.879	8.542176	12.109375
paleogene-fast-41	100	49.899	3.258294	1.855469
paleogene-fast-42	54	36.052	8.154450	13.085938
paleogene-fast-43	79	50.815	9.616730	10.156250
paleogene-fast-44	61	44.308	3.611950	5.761719
paleogene-fast-45	53	61.632	9.687716	8.203125
paleogene-fast-46	54	41.746	6.740078	8.691406
paleogene-fast-47	64	31.086	2.986877	3.320312
paleogene-fast-48	84	45.612	2.857169	2.832031
paleogene-fast-49	50	53.760	1.550216	1.855469
paleogene-fast-5	61	30.937	1.869704	3.808594
paleogene-fast-6	66	49.804	6.993513	7.226562
paleogene-fast-7	66	48.241	5.388261	8.203125
paleogene-fast-8	78	25.100	1.929810	2.343750
paleogene-fast-9	50	59.987	8.970160	5.761719
